#: table_doi: 10.17182/hepdata.65229.v1/t34
#: name: Table 34
#: description: Transverse $N_\text{ch}$ in $|\eta| < 2.5$, $p_T^\text{lead} > 210\;\text{GeV}$ in incl jet / excl dijet events.

#: data_file: Table34.yaml
#: keyword reactions: P P --> JET X | P P --> JET JET X
#: keyword phrases: Inclusive | Proton-Proton Scattering | Dijet Production | Jet Production
#: keyword cmenergies: 7000.0
#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Inclusive jet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.095475,0.04775,0.1432,0.2818,0.03059,-0.03059,0.04418,-0.04799
0.19095,0.1432,0.2387,0.3259,0.03985,-0.03985,0.107,-0.07018
0.28645,0.2387,0.3342,0.3663,0.04122,-0.04122,0.03806,-0.0153
0.38195,0.3342,0.4297,0.4265,0.03737,-0.03737,0.0655,-0.07179
0.47745000000000004,0.4297,0.5252,0.5085,0.03814,-0.03814,0.009078,-0.05989
0.5729500000000001,0.5252,0.6207,0.562,0.04351,-0.04351,0.0758,-0.1464
0.66845,0.6207,0.7162,0.591,0.05506,-0.05506,0.1748,-0.1372
0.7639499999999999,0.7162,0.8117,0.5959,0.05196,-0.05196,0.112,-0.07472
0.85945,0.8117,0.9072,0.575,0.05218,-0.05218,0.0624,-0.04733
0.9551,0.9072,1.003,0.5373,0.04219,-0.04219,0.04887,-0.03812
1.0985,1.003,1.194,0.4797,0.02674,-0.02674,0.01694,-0.01131
1.2894999999999999,1.194,1.385,0.4402,0.02636,-0.02636,0.04469,-0.0377
1.4805000000000001,1.385,1.576,0.4023,0.0274,-0.0274,0.0256,-0.02971
1.6715,1.576,1.767,0.3465,0.02533,-0.02533,0.01214,-0.03841
1.8624999999999998,1.767,1.958,0.2836,0.02491,-0.02491,0.01853,-0.02891
2.1965,1.958,2.435,0.1783,0.01146,-0.01146,0.02823,-0.02244
2.674,2.435,2.913,0.08041,0.006379,-0.006379,0.01825,-0.01646
3.1515,2.913,3.39,0.03804,0.005746,-0.005746,0.006706,-0.008405
3.6285,3.39,3.867,0.01567,0.003071,-0.003071,0.004884,-0.002883

#: PT(LEAD) [GEV],,,> 210
#: RE,,,P P --> JET JET X
#: Region,,,Transverse
#: SQRT(S) [GeV],,,7000.0
#: Selection,,,Exclusive dijet
$N_\text{ch} / \delta\eta \delta\phi$,$N_\text{ch} / \delta\eta \delta\phi$ LOW,$N_\text{ch} / \delta\eta \delta\phi$ HIGH,"$1/N \, \mathrm{d}N / (\mathrm{d}N_\text{ch} / \delta\eta \delta\phi)$",stat +,stat -,sys +,sys -
0.095475,0.04775,0.1432,0.7349,0.1494,-0.1494,0.2582,-0.2659
0.19095,0.1432,0.2387,0.6311,0.1489,-0.1489,0.1412,-0.138
0.28645,0.2387,0.3342,0.5436,0.09164,-0.09164,0.0971,-0.06141
0.38195,0.3342,0.4297,0.5399,0.0844,-0.0844,0.1207,-0.09427
0.47745000000000004,0.4297,0.5252,0.6497,0.09763,-0.09763,0.07789,-0.1141
0.5729500000000001,0.5252,0.6207,0.6798,0.1029,-0.1029,0.1312,-0.1513
0.66845,0.6207,0.7162,0.7185,0.161,-0.161,0.2319,-0.152
0.7639499999999999,0.7162,0.8117,0.7164,0.131,-0.131,0.1792,-0.1328
0.85945,0.8117,0.9072,0.6922,0.1464,-0.1464,0.13,-0.1225
0.9551,0.9072,1.003,0.6333,0.1212,-0.1212,0.06766,-0.07066
1.0985,1.003,1.194,0.5124,0.0679,-0.0679,0.04519,-0.03684
1.2894999999999999,1.194,1.385,0.3669,0.05119,-0.05119,0.05894,-0.06133
1.4805000000000001,1.385,1.576,0.2703,0.04624,-0.04624,0.07014,-0.07611
1.6715,1.576,1.767,0.1955,0.03199,-0.03199,0.06608,-0.06827
1.8624999999999998,1.767,1.958,0.1494,0.03476,-0.03476,0.05843,-0.06667
2.1965,1.958,2.435,0.06792,0.01273,-0.01273,0.03685,-0.03682
2.674,2.435,2.913,0.0282,0.007055,-0.007055,0.02048,-0.02095
3.1515,2.913,3.39,0.02301,0.01152,-0.01152,0.00966,-0.01014
3.6285,3.39,3.867,0.003661,0.00197,-0.00197,0.007817,-0.001247

