#: table_doi: 10.17182/hepdata.58995.v1/t13
#: name: Table 13
#: description: Mean value of SUM(PT) v jet PT for R=0.6.

#: data_file: Table13.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: MEAN
#: keyword phrases: Inclusive | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.7468,0.0004,-0.0004,0.0242,-0.0242
5.5,5.0,6.0,0.9217,0.0006,-0.0006,0.0273,-0.0273
7.0,6.0,8.0,1.1168,0.0008,-0.0008,0.0331,-0.0331
9.5,8.0,11.0,1.3796,0.0014,-0.0014,0.0409,-0.0409
12.5,11.0,14.0,1.6206,0.003,-0.003,0.0483,-0.0483
16.5,14.0,19.0,1.8405,0.0053,-0.0053,0.0545,-0.0545
21.5,19.0,24.0,2.1417,0.0118,-0.0118,0.0695,-0.0695
27.5,24.0,31.0,2.5022,0.0216,-0.0216,0.0812,-0.0812
40.5,31.0,50.0,3.2295,0.0422,-0.0422,0.1274,-0.1274
75.0,50.0,100.0,5.0765,0.1969,-0.1969,0.2857,-0.2857

#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.6598,0.0003,-0.0003,0.0207,-0.0207
5.5,5.0,6.0,0.8007,0.0005,-0.0005,0.0231,-0.0231
7.0,6.0,8.0,0.9471,0.0007,-0.0007,0.0273,-0.0273
9.5,8.0,11.0,1.1106,0.0012,-0.0012,0.032,-0.032
12.5,11.0,14.0,1.2198,0.0023,-0.0023,0.0351,-0.0351
16.5,14.0,19.0,1.2506,0.0038,-0.0038,0.036,-0.036
21.5,19.0,24.0,1.2605,0.0074,-0.0074,0.04,-0.04
27.5,24.0,31.0,1.2901,0.0119,-0.0119,0.0409,-0.0409
40.5,31.0,50.0,1.3811,0.0193,-0.0193,0.0536,-0.0536
75.0,50.0,100.0,1.5792,0.0643,-0.0643,0.1027,-0.1027

