#: table_doi: 10.17182/hepdata.58995.v1/t142
#: name: Table 142
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.6 and jet PT in the range 19 to 24 GeV.

#: data_file: Table142.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,19.0-24.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.000151163,8.4651e-06,-8.4651e-06,9.7614e-06,-9.7614e-06
0.75,0.5,1.0,0.00016483,7.91185e-06,-7.91185e-06,1.56883e-05,-1.56883e-05
1.5,1.0,2.0,0.000145806,4.9574e-06,-4.9574e-06,6.19288e-06,-6.19288e-06
2.5,2.0,3.0,0.000160295,4.64856e-06,-4.64856e-06,6.49343e-06,-6.49343e-06
3.5,3.0,4.0,0.000178166,4.63231e-06,-4.63231e-06,9.3787e-06,-9.3787e-06
4.5,4.0,5.0,0.000184584,4.24542e-06,-4.24542e-06,1.45751e-05,-1.45751e-05
5.5,5.0,6.0,0.000184191,4.0522e-06,-4.0522e-06,1.40009e-05,-1.40009e-05
6.5,6.0,7.0,0.000196549,4.12752e-06,-4.12752e-06,1.00509e-05,-1.00509e-05
7.5,7.0,8.0,0.000203711,4.07422e-06,-4.07422e-06,1.05301e-05,-1.05301e-05
8.5,8.0,9.0,0.000203287,3.86245e-06,-3.86245e-06,1.05141e-05,-1.05141e-05
9.5,9.0,10.0,0.000194953,3.50916e-06,-3.50916e-06,9.57259e-06,-9.57259e-06
11.0,10.0,12.0,0.000186741,2.98785e-06,-2.98785e-06,9.43363e-06,-9.43363e-06
13.5,12.0,15.0,0.000175193,2.62789e-06,-2.62789e-06,8.8797e-06,-8.8797e-06
16.5,15.0,18.0,0.00015933,2.38995e-06,-2.38995e-06,9.52788e-06,-9.52788e-06
19.5,18.0,21.0,0.000139045,2.22472e-06,-2.22472e-06,1.09068e-05,-1.09068e-05
