#: table_doi: 10.17182/hepdata.58995.v1/t100
#: name: Table 100
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 11 to 14 GeV.

#: data_file: Table100.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,11.0-14.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00103269,1.75557e-05,-1.75557e-05,0.000117518,-0.000117518
0.55,0.5,0.6,0.00410014,6.56023e-05,-6.56023e-05,0.00032883,-0.00032883
0.6499999999999999,0.6,0.7,0.0114088,0.000102679,-0.000102679,0.00066033,-0.00066033
0.75,0.7,0.8,0.0264083,0.00015845,-0.00015845,0.00115595,-0.00115595
0.8500000000000001,0.8,0.9,0.0479674,0.00019187,-0.00019187,0.00190123,-0.00190123
0.95,0.9,1.0,0.0684524,0.000205357,-0.000205357,0.00258312,-0.00258312
1.05,1.0,1.1,0.0749941,0.000224982,-0.000224982,0.0026076,-0.0026076
1.15,1.1,1.2,0.0662937,0.000198881,-0.000198881,0.00241677,-0.00241677
1.25,1.2,1.3,0.0506477,0.000151943,-0.000151943,0.00244162,-0.00244162
1.35,1.3,1.4,0.035064,0.000140256,-0.000140256,0.00195637,-0.00195637
1.5,1.4,1.6,0.0196331,7.85325e-05,-7.85325e-05,0.001064,-0.001064
1.7000000000000002,1.6,1.8,0.00858477,5.15086e-05,-5.15086e-05,0.000733734,-0.000733734
1.9,1.8,2.0,0.00396014,3.56413e-05,-3.56413e-05,0.000766019,-0.000766019
2.1,2.0,2.2,0.00201052,2.41262e-05,-2.41262e-05,0.000508132,-0.000508132
2.3,2.2,2.4,0.00106919,1.81763e-05,-1.81763e-05,0.000278826,-0.000278826
2.5,2.4,2.6,0.000620114,1.36425e-05,-1.36425e-05,0.000161863,-0.000161863
2.7,2.6,2.8,0.000359796,1.00743e-05,-1.00743e-05,9.63978e-05,-9.63978e-05
2.9,2.8,3.0,0.000236593,8.51735e-06,-8.51735e-06,6.92821e-05,-6.92821e-05
3.15,3.0,3.3,0.000131332,5.25328e-06,-5.25328e-06,3.90174e-05,-3.90174e-05
3.45,3.3,3.6,8.45653e-05,4.90479e-06,-4.90479e-06,2.48602e-05,-2.48602e-05
3.75,3.6,3.9,5.06235e-05,3.34115e-06,-3.34115e-06,1.48242e-05,-1.48242e-05
4.05,3.9,4.2,2.84062e-05,2.55655e-06,-2.55655e-06,9.31904e-06,-9.31904e-06
4.35,4.2,4.5,2.31022e-05,2.54125e-06,-2.54125e-06,6.831e-06,-6.831e-06
4.65,4.5,4.8,1.5739e-05,2.23494e-06,-2.23494e-06,4.60889e-06,-4.60889e-06
4.949999999999999,4.8,5.1,1.08477e-05,1.77902e-06,-1.77902e-06,2.83983e-06,-2.83983e-06
5.25,5.1,5.4,5.2349e-06,1.19356e-06,-1.19356e-06,1.71738e-06,-1.71738e-06
5.550000000000001,5.4,5.7,4.3851e-06,9.95414e-07,-9.95414e-07,1.28615e-06,-1.28615e-06
6.35,5.7,7.0,1.9137e-06,3.54778e-07,-3.54778e-07,4.33598e-07,-4.33598e-07

#: PT(C=JET) [GeV],,,11.0-14.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00215344,2.58413e-05,-2.58413e-05,0.000273835,-0.000273835
0.55,0.5,0.6,0.00933791,0.000102717,-0.000102717,0.000554329,-0.000554329
0.6499999999999999,0.6,0.7,0.0214571,0.0001502,-0.0001502,0.000897873,-0.000897873
0.75,0.7,0.8,0.0413219,0.000206609,-0.000206609,0.00174729,-0.00174729
0.8500000000000001,0.8,0.9,0.0626824,0.000250729,-0.000250729,0.00197723,-0.00197723
0.95,0.9,1.0,0.074791,0.000224373,-0.000224373,0.00273371,-0.00273371
1.05,1.0,1.1,0.0718606,0.000215582,-0.000215582,0.0023572,-0.0023572
1.15,1.1,1.2,0.0577485,0.000173246,-0.000173246,0.00242819,-0.00242819
1.25,1.2,1.3,0.0408093,0.000163237,-0.000163237,0.00189664,-0.00189664
1.35,1.3,1.4,0.0266593,0.000106637,-0.000106637,0.00197836,-0.00197836
1.5,1.4,1.6,0.0134651,6.73256e-05,-6.73256e-05,0.00108283,-0.00108283
1.7000000000000002,1.6,1.8,0.00540447,4.32357e-05,-4.32357e-05,0.000662461,-0.000662461
1.9,1.8,2.0,0.00233242,2.56566e-05,-2.56566e-05,0.000432793,-0.000432793
2.1,2.0,2.2,0.00112122,1.79396e-05,-1.79396e-05,0.000298867,-0.000298867
2.3,2.2,2.4,0.000536297,1.17985e-05,-1.17985e-05,0.000146225,-0.000146225
2.5,2.4,2.6,0.000300492,9.91623e-06,-9.91623e-06,8.43044e-05,-8.43044e-05
2.7,2.6,2.8,0.000194913,7.99142e-06,-7.99142e-06,5.53905e-05,-5.53905e-05
2.9,2.8,3.0,0.000126656,5.69954e-06,-5.69954e-06,3.86719e-05,-3.86719e-05
3.15,3.0,3.3,6.39741e-05,3.90242e-06,-3.90242e-06,1.89708e-05,-1.89708e-05
3.45,3.3,3.6,4.35348e-05,3.43925e-06,-3.43925e-06,1.30934e-05,-1.30934e-05
3.75,3.6,3.9,2.35697e-05,2.5691e-06,-2.5691e-06,6.90198e-06,-6.90198e-06
4.05,3.9,4.2,1.39757e-05,1.98455e-06,-1.98455e-06,4.12164e-06,-4.12164e-06
4.35,4.2,4.5,1.01869e-05,2.14944e-06,-2.14944e-06,3.34196e-06,-3.34196e-06
4.65,4.5,4.8,7.4131e-06,1.71243e-06,-1.71243e-06,2.18311e-06,-2.18311e-06
4.949999999999999,4.8,5.1,4.1668e-06,9.33357e-07,-9.33357e-07,1.22017e-06,-1.22017e-06
5.25,5.1,5.4,4.5585e-06,1.77327e-06,-1.77327e-06,1.49549e-06,-1.49549e-06
5.550000000000001,5.4,5.7,-,0,0,0,0
6.35,5.7,7.0,-,0,0,0,0

