#: table_doi: 10.17182/hepdata.58995.v1/t150
#: name: Table 150
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 11 to 14 GeV.

#: data_file: Table150.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,11.0-14.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00113676,1.9325e-05,-1.9325e-05,9.77286e-05,-9.77286e-05
0.75,0.5,1.0,0.00146538,1.90499e-05,-1.90499e-05,0.000112137,-0.000112137
1.5,1.0,2.0,0.00151246,1.20997e-05,-1.20997e-05,8.5918e-05,-8.5918e-05
2.5,2.0,3.0,0.00196602,1.37621e-05,-1.37621e-05,0.000105233,-0.000105233
3.5,3.0,4.0,0.00232215,1.16107e-05,-1.16107e-05,0.000175349,-0.000175349
4.5,4.0,5.0,0.00266727,1.33363e-05,-1.33363e-05,0.000197486,-0.000197486
5.5,5.0,6.0,0.00295761,1.18304e-05,-1.18304e-05,0.000220912,-0.000220912
6.5,6.0,7.0,0.00311682,1.24673e-05,-1.24673e-05,0.000220701,-0.000220701
7.5,7.0,8.0,0.00318874,1.27549e-05,-1.27549e-05,0.000207831,-0.000207831
8.5,8.0,9.0,0.00316656,1.26662e-05,-1.26662e-05,0.000198738,-0.000198738
9.5,9.0,10.0,0.00307671,9.23013e-06,-9.23013e-06,0.000212872,-0.000212872
11.0,10.0,12.0,0.00283266,8.49797e-06,-8.49797e-06,0.000191199,-0.000191199
13.5,12.0,15.0,0.00224137,6.72411e-06,-6.72411e-06,0.000165315,-0.000165315
16.5,15.0,18.0,0.00142956,5.71822e-06,-5.71822e-06,0.000119665,-0.000119665
19.5,18.0,21.0,0.000793309,3.96655e-06,-3.96655e-06,9.20273e-05,-9.20273e-05
22.5,21.0,24.0,0.000379006,2.65304e-06,-2.65304e-06,5.63573e-05,-5.63573e-05
25.5,24.0,27.0,0.000162897,1.62897e-06,-1.62897e-06,3.04578e-05,-3.04578e-05
28.5,27.0,30.0,5.80589e-05,8.70884e-07,-8.70884e-07,1.14638e-05,-1.14638e-05
31.5,30.0,33.0,1.8013e-05,4.68339e-07,-4.68339e-07,3.90464e-06,-3.90464e-06
34.5,33.0,36.0,5.817e-06,2.85023e-07,-2.85023e-07,1.45172e-06,-1.45172e-06
37.5,36.0,39.0,1.4892e-06,1.57849e-07,-1.57849e-07,3.64056e-07,-3.64056e-07

#: PT(C=JET) [GeV],,,11.0-14.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00236036,2.83243e-05,-2.83243e-05,0.000188474,-0.000188474
0.75,0.5,1.0,0.00309015,2.78114e-05,-2.78114e-05,0.000177381,-0.000177381
1.5,1.0,2.0,0.00293268,1.75961e-05,-1.75961e-05,0.000119918,-0.000119918
2.5,2.0,3.0,0.00340722,1.70361e-05,-1.70361e-05,0.000165206,-0.000165206
3.5,3.0,4.0,0.00369797,1.47919e-05,-1.47919e-05,0.000209711,-0.000209711
4.5,4.0,5.0,0.0037951,1.51804e-05,-1.51804e-05,0.000245041,-0.000245041
5.5,5.0,6.0,0.00368811,1.47524e-05,-1.47524e-05,0.000231647,-0.000231647
6.5,6.0,7.0,0.00351834,1.40734e-05,-1.40734e-05,0.00022432,-0.00022432
7.5,7.0,8.0,0.00325569,1.30228e-05,-1.30228e-05,0.000195558,-0.000195558
8.5,8.0,9.0,0.00297213,1.18885e-05,-1.18885e-05,0.000165481,-0.000165481
9.5,9.0,10.0,0.00264225,1.0569e-05,-1.0569e-05,0.000156072,-0.000156072
11.0,10.0,12.0,0.00215488,8.61953e-06,-8.61953e-06,0.000114188,-0.000114188
13.5,12.0,15.0,0.00146696,5.86785e-06,-5.86785e-06,0.00011013,-0.00011013
16.5,15.0,18.0,0.000856553,4.28276e-06,-4.28276e-06,6.98813e-05,-6.98813e-05
19.5,18.0,21.0,0.000444358,2.66615e-06,-2.66615e-06,5.25621e-05,-5.25621e-05
22.5,21.0,24.0,0.00021162,1.90458e-06,-1.90458e-06,3.39516e-05,-3.39516e-05
25.5,24.0,27.0,8.83593e-05,1.14867e-06,-1.14867e-06,1.90272e-05,-1.90272e-05
28.5,27.0,30.0,3.38519e-05,7.1089e-07,-7.1089e-07,7.98669e-06,-7.98669e-06
31.5,30.0,33.0,1.2137e-05,3.76247e-07,-3.76247e-07,3.11481e-06,-3.11481e-06
34.5,33.0,36.0,4.459e-06,2.36333e-07,-2.36333e-07,1.37011e-06,-1.37011e-06
37.5,36.0,39.0,1.2456e-06,1.45733e-07,-1.45733e-07,4.08629e-07,-4.08629e-07

