#: table_doi: 10.17182/hepdata.58995.v1/t124
#: name: Table 124
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.2 and jet PT in the range 31 to 50 GeV.

#: data_file: Table124.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,3.45015e-05,6.71375e-06,-6.71375e-06,2.76435e-06,-2.76435e-06
6.5,4.0,9.0,3.90305e-05,4.80829e-06,-4.80829e-06,3.68273e-06,-3.68273e-06
12.0,9.0,15.0,2.61306e-05,3.82018e-06,-3.82018e-06,2.47358e-06,-2.47358e-06
18.0,15.0,21.0,2.3599e-05,3.81933e-06,-3.81933e-06,2.50267e-06,-2.50267e-06
24.0,21.0,27.0,2.41474e-05,3.57633e-06,-3.57633e-06,3.41377e-06,-3.41377e-06
30.0,27.0,33.0,2.4698e-05,3.57683e-06,-3.57683e-06,3.70648e-06,-3.70648e-06
36.0,33.0,39.0,1.83216e-05,2.88092e-06,-2.88092e-06,4.87673e-06,-4.87673e-06
42.0,39.0,45.0,1.45534e-05,2.43245e-06,-2.43245e-06,4.95477e-06,-4.95477e-06
50.0,45.0,55.0,8.1314e-06,1.56922e-06,-1.56922e-06,2.77264e-06,-2.77264e-06

#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,0.000101489,1.15081e-05,-1.15081e-05,5.88125e-06,-5.88125e-06
6.5,4.0,9.0,8.20188e-05,7.18162e-06,-7.18162e-06,3.79934e-06,-3.79934e-06
12.0,9.0,15.0,4.19191e-05,4.95493e-06,-4.95493e-06,3.50237e-06,-3.50237e-06
18.0,15.0,21.0,1.5461e-05,3.0325e-06,-3.0325e-06,1.95002e-06,-1.95002e-06
24.0,21.0,27.0,8.8397e-06,2.32455e-06,-2.32455e-06,1.48714e-06,-1.48714e-06
30.0,27.0,33.0,-,0,0,0,0
36.0,33.0,39.0,-,0,0,0,0
42.0,39.0,45.0,-,0,0,0,0
50.0,45.0,55.0,-,0,0,0,0

