#: table_doi: 10.17182/hepdata.58995.v1/t85
#: name: Table 85
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 50 to 100 GeV.

#: data_file: Table85.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,6.1471e-06,8.98096e-06,-8.98096e-06,1.28317e-06,-1.28317e-06
0.6,0.5,0.7,2.13174e-05,1.51639e-05,-1.51639e-05,1.48711e-06,-1.48711e-06
0.55,0.5,0.6,-,0,0,0,0
0.6499999999999999,0.6,0.7,-,0,0,0,0
0.75,0.7,0.8,4.29402e-05,3.69286e-05,-3.69286e-05,8.29333e-06,-8.29333e-06
0.8500000000000001,0.8,0.9,4.47008e-05,3.55818e-05,-3.55818e-05,7.9138e-06,-7.9138e-06
0.95,0.9,1.0,6.71657e-05,4.10382e-05,-4.10382e-05,5.54185e-06,-5.54185e-06
1.05,1.0,1.1,8.03411e-05,3.89655e-05,-3.89655e-05,1.31213e-05,-1.31213e-05
1.15,1.1,1.2,0.000116857,5.31699e-05,-5.31699e-05,2.6199e-05,-2.6199e-05
1.25,1.2,1.3,6.09393e-05,3.34557e-05,-3.34557e-05,1.77888e-05,-1.77888e-05
1.35,1.3,1.4,5.64497e-05,2.62491e-05,-2.62491e-05,1.751e-05,-1.751e-05
1.5,1.4,1.6,7.69775e-05,3.25615e-05,-3.25615e-05,9.5133e-06,-9.5133e-06
1.7000000000000002,1.6,1.8,7.74618e-05,3.18368e-05,-3.18368e-05,9.90495e-06,-9.90495e-06
1.9,1.8,2.0,6.63534e-05,2.72049e-05,-2.72049e-05,2.20519e-05,-2.20519e-05
2.1,2.0,2.2,6.61363e-05,2.69836e-05,-2.69836e-05,3.23941e-05,-3.23941e-05
2.3,2.2,2.4,5.92563e-05,2.3821e-05,-2.3821e-05,2.8031e-05,-2.8031e-05
2.5,2.4,2.6,5.1044e-05,2.06218e-05,-2.06218e-05,2.54082e-05,-2.54082e-05
2.7,2.6,2.8,4.6323e-05,1.95483e-05,-1.95483e-05,2.5959e-05,-2.5959e-05
2.8,2.6,3.0,-,0,0,0,0
2.9,2.8,3.0,3.75345e-05,1.65903e-05,-1.65903e-05,2.23997e-05,-2.23997e-05
3.15,3.0,3.3,3.02808e-05,1.35961e-05,-1.35961e-05,1.95233e-05,-1.95233e-05
3.3,3.0,3.6,-,0,0,0,0
3.45,3.3,3.6,2.83676e-05,1.23683e-05,-1.23683e-05,1.66703e-05,-1.66703e-05
3.75,3.6,3.9,2.54699e-05,1.19709e-05,-1.19709e-05,1.59541e-05,-1.59541e-05
4.05,3.9,4.2,1.52311e-05,7.7983e-06,-7.7983e-06,8.80545e-06,-8.80545e-06
4.35,4.2,4.5,1.12313e-05,6.33443e-06,-6.33443e-06,6.42039e-06,-6.42039e-06
4.65,4.5,4.8,9.4405e-06,5.81534e-06,-5.81534e-06,5.86202e-06,-5.86202e-06
5.1,4.8,5.4,6.0434e-06,3.32953e-06,-3.32953e-06,2.68134e-06,-2.68134e-06
6.2,5.4,7.0,2.4167e-06,1.40924e-06,-1.40924e-06,8.19575e-07,-8.19575e-07

#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,1.55396e-05,1.14527e-05,-1.14527e-05,4.1348e-06,-4.1348e-06
0.6,0.5,0.7,-,0,0,0,0
0.55,0.5,0.6,2.83561e-05,2.79591e-05,-2.79591e-05,3.19149e-06,-3.19149e-06
0.6499999999999999,0.6,0.7,8.92139e-05,5.35283e-05,-5.35283e-05,1.60948e-05,-1.60948e-05
0.75,0.7,0.8,0.000165497,7.01706e-05,-7.01706e-05,2.58003e-05,-2.58003e-05
0.8500000000000001,0.8,0.9,0.000216089,7.84405e-05,-7.84405e-05,3.27445e-05,-3.27445e-05
0.95,0.9,1.0,0.000228918,7.5314e-05,-7.5314e-05,5.31707e-05,-5.31707e-05
1.05,1.0,1.1,0.000200173,6.40553e-05,-6.40553e-05,5.24042e-05,-5.24042e-05
1.15,1.1,1.2,0.00018327,6.41446e-05,-6.41446e-05,2.80455e-05,-2.80455e-05
1.25,1.2,1.3,0.000152005,5.73058e-05,-5.73058e-05,3.19702e-05,-3.19702e-05
1.35,1.3,1.4,0.000105739,4.38818e-05,-4.38818e-05,2.64376e-05,-2.64376e-05
1.5,1.4,1.6,8.39775e-05,3.39269e-05,-3.39269e-05,2.26777e-05,-2.26777e-05
1.7000000000000002,1.6,1.8,4.33301e-05,2.33116e-05,-2.33116e-05,1.17585e-05,-1.17585e-05
1.9,1.8,2.0,3.33931e-05,1.88671e-05,-1.88671e-05,1.0191e-05,-1.0191e-05
2.1,2.0,2.2,2.48536e-05,1.613e-05,-1.613e-05,1.13343e-05,-1.13343e-05
2.3,2.2,2.4,1.61972e-05,1.16458e-05,-1.16458e-05,8.2682e-06,-8.2682e-06
