#: table_doi: 10.17182/hepdata.58995.v1/t103
#: name: Table 103
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 24 to 31 GeV.

#: data_file: Table103.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,5.05485e-05,4.14498e-06,-4.14498e-06,5.3855e-06,-5.3855e-06
0.55,0.5,0.6,0.000187768,1.65236e-05,-1.65236e-05,1.15443e-05,-1.15443e-05
0.6499999999999999,0.6,0.7,0.000383297,2.26145e-05,-2.26145e-05,1.47208e-05,-1.47208e-05
0.75,0.7,0.8,0.000686512,2.8147e-05,-2.8147e-05,3.00501e-05,-3.00501e-05
0.8500000000000001,0.8,0.9,0.0011323,3.3969e-05,-3.3969e-05,4.48796e-05,-4.48796e-05
0.95,0.9,1.0,0.00156174,3.90435e-05,-3.90435e-05,5.89337e-05,-5.89337e-05
1.05,1.0,1.1,0.00200668,4.21403e-05,-4.21403e-05,6.97737e-05,-6.97737e-05
1.15,1.1,1.2,0.00209386,4.18771e-05,-4.18771e-05,7.63325e-05,-7.63325e-05
1.25,1.2,1.3,0.00199577,3.79197e-05,-3.79197e-05,9.6212e-05,-9.6212e-05
1.35,1.3,1.4,0.00180753,3.43431e-05,-3.43431e-05,0.00010085,-0.00010085
1.5,1.4,1.6,0.00142648,2.71032e-05,-2.71032e-05,7.73069e-05,-7.73069e-05
1.7000000000000002,1.6,1.8,0.00102498,2.25495e-05,-2.25495e-05,8.76041e-05,-8.76041e-05
1.9,1.8,2.0,0.000720026,1.80007e-05,-1.80007e-05,0.000139276,-0.000139276
2.1,2.0,2.2,0.000458041,1.37412e-05,-1.37412e-05,0.000115959,-0.000115959
2.3,2.2,2.4,0.000293968,1.02889e-05,-1.02889e-05,7.63616e-05,-7.63616e-05
2.5,2.4,2.6,0.000190449,7.80841e-06,-7.80841e-06,4.93215e-05,-4.93215e-05
2.7,2.6,2.8,0.00013459,6.59491e-06,-6.59491e-06,3.54797e-05,-3.54797e-05
2.9,2.8,3.0,8.6538e-05,4.93267e-06,-4.93267e-06,2.53731e-05,-2.53731e-05
3.15,3.0,3.3,5.40267e-05,3.56576e-06,-3.56576e-06,1.58962e-05,-1.58962e-05
3.45,3.3,3.6,3.0696e-05,2.51707e-06,-2.51707e-06,8.98879e-06,-8.98879e-06
3.75,3.6,3.9,1.94479e-05,1.96423e-06,-1.96423e-06,6.38014e-06,-6.38014e-06
3.9000000000000004,3.6,4.2,-,0,0,0,0
4.05,3.9,4.2,1.55073e-05,1.98493e-06,-1.98493e-06,4.8138e-06,-4.8138e-06
4.35,4.2,4.5,8.9547e-06,1.32529e-06,-1.32529e-06,2.89399e-06,-2.89399e-06
4.65,4.5,4.8,5.0653e-06,1.09918e-06,-1.09918e-06,1.66175e-06,-1.66175e-06
5.1,4.8,5.4,3.8849e-06,7.17367e-07,-7.17367e-07,7.62881e-07,-7.62881e-07
5.7,5.4,6.0,2.5809e-06,6.90767e-07,-6.90767e-07,6.42365e-07,-6.42365e-07

#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.000117504,6.46275e-06,-6.46275e-06,1.4942e-05,-1.4942e-05
0.55,0.5,0.6,0.000429059,2.57435e-05,-2.57435e-05,2.19953e-05,-2.19953e-05
0.6499999999999999,0.6,0.7,0.000836006,3.26042e-05,-3.26042e-05,3.54884e-05,-3.54884e-05
0.75,0.7,0.8,0.00164707,4.61179e-05,-4.61179e-05,6.96458e-05,-6.96458e-05
0.8500000000000001,0.8,0.9,0.00241556,5.31423e-05,-5.31423e-05,7.61954e-05,-7.61954e-05
0.95,0.9,1.0,0.00288048,5.4729e-05,-5.4729e-05,0.000105285,-0.000105285
1.05,1.0,1.1,0.0028507,5.13127e-05,-5.13127e-05,9.351e-05,-9.351e-05
1.15,1.1,1.2,0.00250382,4.50687e-05,-4.50687e-05,0.000105279,-0.000105279
1.25,1.2,1.3,0.00195261,3.90521e-05,-3.90521e-05,9.40296e-05,-9.40296e-05
1.35,1.3,1.4,0.00141427,3.1114e-05,-3.1114e-05,0.000104952,-0.000104952
1.5,1.4,1.6,0.000868054,1.99652e-05,-1.99652e-05,6.98069e-05,-6.98069e-05
1.7000000000000002,1.6,1.8,0.000446543,1.38428e-05,-1.38428e-05,5.47357e-05,-5.47357e-05
1.9,1.8,2.0,0.000231892,9.50757e-06,-9.50757e-06,4.30289e-05,-4.30289e-05
2.1,2.0,2.2,0.000130408,7.17245e-06,-7.17245e-06,3.4798e-05,-3.4798e-05
2.3,2.2,2.4,7.10914e-05,4.83422e-06,-4.83422e-06,2.02886e-05,-2.02886e-05
2.5,2.4,2.6,4.1964e-05,3.69283e-06,-3.69283e-06,1.18784e-05,-1.18784e-05
2.7,2.6,2.8,2.38896e-05,2.43674e-06,-2.43674e-06,7.55493e-06,-7.55493e-06
2.9,2.8,3.0,1.52404e-05,2.08794e-06,-2.08794e-06,4.48415e-06,-4.48415e-06
3.15,3.0,3.3,1.26372e-05,1.87031e-06,-1.87031e-06,4.14582e-06,-4.14582e-06
3.45,3.3,3.6,5.9228e-06,1.18456e-06,-1.18456e-06,1.75325e-06,-1.75325e-06
3.75,3.6,3.9,-,0,0,0,0
3.9000000000000004,3.6,4.2,2.9992e-06,6.14612e-07,-6.14612e-07,7.01757e-07,-7.01757e-07
