#: table_doi: 10.17182/hepdata.58995.v1/t67
#: name: Table 67
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.2 and jet PT in the range 5 to 6 GeV.

#: data_file: Table67.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0113162,0.000124478,-0.000124478,0.00127658,-0.00127658
0.55,0.5,0.6,0.0425886,0.000511064,-0.000511064,0.00348473,-0.00348473
0.6499999999999999,0.6,0.7,0.0963129,0.000770504,-0.000770504,0.00376361,-0.00376361
0.75,0.7,0.8,0.181788,0.000908938,-0.000908938,0.0073506,-0.0073506
0.8500000000000001,0.8,0.9,0.274768,0.00109907,-0.00109907,0.00971838,-0.00971838
0.95,0.9,1.0,0.336375,0.0013455,-0.0013455,0.0115303,-0.0115303
1.05,1.0,1.1,0.330416,0.00132166,-0.00132166,0.0111561,-0.0111561
1.15,1.1,1.2,0.277408,0.00110963,-0.00110963,0.00885971,-0.00885971
1.25,1.2,1.3,0.205436,0.000821744,-0.000821744,0.00683518,-0.00683518
1.35,1.3,1.4,0.140434,0.000702169,-0.000702169,0.00547512,-0.00547512
1.5,1.4,1.6,0.0752529,0.000451517,-0.000451517,0.00275162,-0.00275162
1.7000000000000002,1.6,1.8,0.0314468,0.000251574,-0.000251574,0.00164488,-0.00164488
1.9,1.8,2.0,0.0131608,0.00015793,-0.00015793,0.00063609,-0.00063609
2.1,2.0,2.2,0.00633667,0.00011406,-0.00011406,0.000788833,-0.000788833
2.3,2.2,2.4,0.00311137,8.08956e-05,-8.08956e-05,0.000410595,-0.000410595
2.5,2.4,2.6,0.00166083,5.8129e-05,-5.8129e-05,0.000163404,-0.000163404
2.7,2.6,2.8,0.00113361,5.10127e-05,-5.10127e-05,0.000111487,-0.000111487
2.9,2.8,3.0,0.000698152,3.90965e-05,-3.90965e-05,0.000127453,-0.000127453
3.15,3.0,3.3,0.000400157,2.68105e-05,-2.68105e-05,6.44029e-05,-6.44029e-05
3.45,3.3,3.6,0.000225729,1.87355e-05,-1.87355e-05,4.40808e-05,-4.40808e-05
3.75,3.6,3.9,0.000146233,1.55007e-05,-1.55007e-05,3.97464e-05,-3.97464e-05
4.05,3.9,4.2,8.87503e-05,1.18038e-05,-1.18038e-05,2.48263e-05,-2.48263e-05
