#: table_doi: 10.17182/hepdata.58995.v1/t14
#: name: Table 14
#: description: Mean value of SUM(PT) v jet PT for R=0.8.

#: data_file: Table14.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: MEAN
#: keyword phrases: Inclusive | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.6197,0.0003,-0.0003,0.022,-0.022
5.5,5.0,6.0,0.7778,0.0004,-0.0004,0.0242,-0.0242
7.0,6.0,8.0,0.9779,0.0005,-0.0005,0.0298,-0.0298
9.5,8.0,11.0,1.2706,0.0009,-0.0009,0.0387,-0.0387
12.5,11.0,14.0,1.5784,0.002,-0.002,0.048,-0.048
16.5,14.0,19.0,1.8523,0.0038,-0.0038,0.0564,-0.0564
21.5,19.0,24.0,2.1559,0.0088,-0.0088,0.0715,-0.0715
27.5,24.0,31.0,2.4695,0.017,-0.017,0.0819,-0.0819
40.5,31.0,50.0,3.1461,0.0341,-0.0341,0.126,-0.126
75.0,50.0,100.0,4.9609,0.1708,-0.1708,0.2818,-0.2818

#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.5521,0.0002,-0.0002,0.019,-0.019
5.5,5.0,6.0,0.6839,0.0004,-0.0004,0.0203,-0.0203
7.0,6.0,8.0,0.8427,0.0004,-0.0004,0.025,-0.025
9.5,8.0,11.0,1.0552,0.0008,-0.0008,0.0312,-0.0312
12.5,11.0,14.0,1.242,0.0016,-0.0016,0.0368,-0.0368
16.5,14.0,19.0,1.3472,0.0028,-0.0028,0.0399,-0.0399
21.5,19.0,24.0,1.3752,0.0058,-0.0058,0.0446,-0.0446
27.5,24.0,31.0,1.3678,0.0099,-0.0099,0.0444,-0.0444
40.5,31.0,50.0,1.4319,0.0165,-0.0165,0.0565,-0.0565
75.0,50.0,100.0,1.5741,0.056,-0.056,0.1029,-0.1029

