#: table_doi: 10.17182/hepdata.58995.v1/t123
#: name: Table 123
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.2 and jet PT in the range 24 to 31 GeV.

#: data_file: Table123.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,7.73971e-05,1.06808e-05,-1.06808e-05,4.73579e-06,-4.73579e-06
0.75,0.5,1.0,7.72922e-05,9.81611e-06,-9.81611e-06,3.32266e-06,-3.32266e-06
1.5,1.0,2.0,6.03174e-05,5.9111e-06,-5.9111e-06,3.49425e-06,-3.49425e-06
2.5,2.0,3.0,6.40706e-05,5.57415e-06,-5.57415e-06,4.47165e-06,-4.47165e-06
3.5,3.0,4.0,6.96857e-05,5.3658e-06,-5.3658e-06,3.2357e-06,-3.2357e-06
4.5,4.0,5.0,7.71535e-05,5.55505e-06,-5.55505e-06,3.52043e-06,-3.52043e-06
5.5,5.0,6.0,7.14718e-05,4.78861e-06,-4.78861e-06,2.89791e-06,-2.89791e-06
6.5,6.0,7.0,7.34381e-05,4.70004e-06,-4.70004e-06,2.68024e-06,-2.68024e-06
7.5,7.0,8.0,7.23041e-05,4.55516e-06,-4.55516e-06,2.82171e-06,-2.82171e-06
8.5,8.0,9.0,6.73142e-05,4.10617e-06,-4.10617e-06,2.58174e-06,-2.58174e-06
9.5,9.0,10.0,7.15557e-05,4.29334e-06,-4.29334e-06,2.65432e-06,-2.65432e-06
11.0,10.0,12.0,7.01144e-05,3.71606e-06,-3.71606e-06,2.72004e-06,-2.72004e-06
13.5,12.0,15.0,5.95964e-05,2.92022e-06,-2.92022e-06,2.1595e-06,-2.1595e-06
16.5,15.0,18.0,5.82676e-05,2.85511e-06,-2.85511e-06,2.82523e-06,-2.82523e-06
19.5,18.0,21.0,5.87114e-05,2.81815e-06,-2.81815e-06,2.68985e-06,-2.68985e-06
22.5,21.0,24.0,5.10832e-05,2.55416e-06,-2.55416e-06,2.86431e-06,-2.86431e-06
25.5,24.0,27.0,4.71114e-05,2.40268e-06,-2.40268e-06,3.36673e-06,-3.36673e-06
28.5,27.0,30.0,4.34443e-05,2.30255e-06,-2.30255e-06,3.38531e-06,-3.38531e-06
31.5,30.0,33.0,3.24151e-05,1.88008e-06,-1.88008e-06,3.10509e-06,-3.10509e-06
34.5,33.0,36.0,2.4635e-05,1.60127e-06,-1.60127e-06,4.36115e-06,-4.36115e-06
37.5,36.0,39.0,1.80438e-05,1.37133e-06,-1.37133e-06,4.02971e-06,-4.02971e-06
40.5,39.0,42.0,1.21183e-05,1.05429e-06,-1.05429e-06,2.28866e-06,-2.28866e-06
43.5,42.0,45.0,8.1676e-06,8.4943e-07,-8.4943e-07,1.93389e-06,-1.93389e-06
47.5,45.0,50.0,5.9217e-06,6.63232e-07,-6.63232e-07,1.28145e-06,-1.28145e-06

#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.000195447,1.73948e-05,-1.73948e-05,7.85687e-06,-7.85687e-06
0.75,0.5,1.0,0.000188157,1.58052e-05,-1.58052e-05,7.97172e-06,-7.97172e-06
1.5,1.0,2.0,0.00016681,1.03422e-05,-1.03422e-05,1.1774e-05,-1.1774e-05
2.5,2.0,3.0,0.000160513,9.14922e-06,-9.14922e-06,5.41953e-06,-5.41953e-06
3.5,3.0,4.0,0.000176042,9.15416e-06,-9.15416e-06,7.35593e-06,-7.35593e-06
4.5,4.0,5.0,0.000187292,8.99004e-06,-8.99004e-06,6.18633e-06,-6.18633e-06
5.5,5.0,6.0,0.000155954,7.48579e-06,-7.48579e-06,9.32078e-06,-9.32078e-06
6.5,6.0,7.0,0.000143582,6.89195e-06,-6.89195e-06,5.94264e-06,-5.94264e-06
7.5,7.0,8.0,0.000129969,6.36849e-06,-6.36849e-06,4.99325e-06,-4.99325e-06
8.5,8.0,9.0,0.000117998,5.89989e-06,-5.89989e-06,6.13134e-06,-6.13134e-06
9.5,9.0,10.0,0.000107483,5.48163e-06,-5.48163e-06,5.74204e-06,-5.74204e-06
11.0,10.0,12.0,8.62724e-05,4.22735e-06,-4.22735e-06,3.39436e-06,-3.39436e-06
13.5,12.0,15.0,5.8262e-05,3.02963e-06,-3.02963e-06,2.35583e-06,-2.35583e-06
16.5,15.0,18.0,3.48801e-05,2.19744e-06,-2.19744e-06,2.37364e-06,-2.37364e-06
19.5,18.0,21.0,2.0103e-05,1.58813e-06,-1.58813e-06,1.50168e-06,-1.50168e-06
22.5,21.0,24.0,1.23958e-05,1.21479e-06,-1.21479e-06,6.83006e-07,-6.83006e-07
25.5,24.0,27.0,7.5868e-06,9.10422e-07,-9.10422e-07,6.31899e-07,-6.31899e-07
