#: table_doi: 10.17182/hepdata.58995.v1/t27
#: name: Table 27
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 5 to 6 GeV.

#: data_file: Table27.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00589954,4.12968e-05,-4.12968e-05,0.000437482,-0.000437482
1.5,1.0,2.0,0.0121151,6.05754e-05,-6.05754e-05,0.000753379,-0.000753379
2.5,2.0,3.0,0.0175663,5.2699e-05,-5.2699e-05,0.000846835,-0.000846835
3.5,3.0,4.0,0.0215967,6.47902e-05,-6.47902e-05,0.000845037,-0.000845037
4.5,4.0,5.0,0.0238683,7.16048e-05,-7.16048e-05,0.000950844,-0.000950844
5.5,5.0,6.0,0.0240881,4.81762e-05,-4.81762e-05,0.00104444,-0.00104444
6.5,6.0,7.0,0.0229518,4.59036e-05,-4.59036e-05,0.00120316,-0.00120316
7.5,7.0,8.0,0.0208556,4.17112e-05,-4.17112e-05,0.00116025,-0.00116025
8.5,8.0,9.0,0.0178436,3.56873e-05,-3.56873e-05,0.000944365,-0.000944365
9.5,9.0,10.0,0.014983,4.49489e-05,-4.49489e-05,0.000854292,-0.000854292
11.0,10.0,12.0,0.0107805,3.23415e-05,-3.23415e-05,0.000586622,-0.000586622
13.5,12.0,15.0,0.00563443,1.69033e-05,-1.69033e-05,0.000364936,-0.000364936
16.5,15.0,18.0,0.00212261,1.0613e-05,-1.0613e-05,0.000209483,-0.000209483
19.5,18.0,21.0,0.00066208,5.29664e-06,-5.29664e-06,9.89096e-05,-9.89096e-05
22.5,21.0,24.0,0.000177736,2.66605e-06,-2.66605e-06,3.06774e-05,-3.06774e-05
25.5,24.0,27.0,4.50256e-05,1.39579e-06,-1.39579e-06,8.59258e-06,-8.59258e-06
28.5,27.0,30.0,8.4666e-06,6.34994e-07,-6.34994e-07,2.11304e-06,-2.11304e-06

#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00972083,5.8325e-05,-5.8325e-05,0.000644074,-0.000644074
1.5,1.0,2.0,0.0179902,7.19607e-05,-7.19607e-05,0.00096428,-0.00096428
2.5,2.0,3.0,0.0230475,6.91424e-05,-6.91424e-05,0.000950831,-0.000950831
3.5,3.0,4.0,0.025344,7.60319e-05,-7.60319e-05,0.000910974,-0.000910974
4.5,4.0,5.0,0.0254351,5.08702e-05,-5.08702e-05,0.00100235,-0.00100235
5.5,5.0,6.0,0.0239507,4.79014e-05,-4.79014e-05,0.00115337,-0.00115337
6.5,6.0,7.0,0.0215614,4.31228e-05,-4.31228e-05,0.0010104,-0.0010104
7.5,7.0,8.0,0.0185276,3.70552e-05,-3.70552e-05,0.000851464,-0.000851464
8.5,8.0,9.0,0.0153594,4.60782e-05,-4.60782e-05,0.000749312,-0.000749312
9.5,9.0,10.0,0.0122949,3.68846e-05,-3.68846e-05,0.000599808,-0.000599808
11.0,10.0,12.0,0.00845806,2.53742e-05,-2.53742e-05,0.000413321,-0.000413321
13.5,12.0,15.0,0.00420853,1.68341e-05,-1.68341e-05,0.00028886,-0.00028886
16.5,15.0,18.0,0.00152791,7.63955e-06,-7.63955e-06,0.00016375,-0.00016375
19.5,18.0,21.0,0.000467642,4.67642e-06,-4.67642e-06,7.47277e-05,-7.47277e-05
22.5,21.0,24.0,0.000126193,2.14527e-06,-2.14527e-06,2.25214e-05,-2.25214e-05
25.5,24.0,27.0,2.85028e-05,1.0831e-06,-1.0831e-06,6.22451e-06,-6.22451e-06
28.5,27.0,30.0,6.0739e-06,6.31687e-07,-6.31687e-07,1.7392e-06,-1.7392e-06

