#: table_doi: 10.17182/hepdata.58995.v1/t162
#: name: Table 162
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=1.0 and jet PT in the range 19 to 24 GeV.

#: data_file: Table162.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,19.0-24.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00013547,6.23163e-06,-6.23163e-06,1.06557e-05,-1.06557e-05
0.75,0.5,1.0,0.00017448,6.28129e-06,-6.28129e-06,1.36296e-05,-1.36296e-05
1.5,1.0,2.0,0.000162987,3.9117e-06,-3.9117e-06,8.21431e-06,-8.21431e-06
2.5,2.0,3.0,0.000185695,3.7139e-06,-3.7139e-06,1.10235e-05,-1.10235e-05
3.5,3.0,4.0,0.000219152,3.50644e-06,-3.50644e-06,1.92255e-05,-1.92255e-05
4.5,4.0,5.0,0.000258405,3.61767e-06,-3.61767e-06,2.71645e-05,-2.71645e-05
5.5,5.0,6.0,0.000276377,3.5929e-06,-3.5929e-06,2.76307e-05,-2.76307e-05
6.5,6.0,7.0,0.000303765,3.64518e-06,-3.64518e-06,2.92373e-05,-2.92373e-05
7.5,7.0,8.0,0.000320462,3.52508e-06,-3.52508e-06,2.7882e-05,-2.7882e-05
8.5,8.0,9.0,0.000337856,3.37856e-06,-3.37856e-06,2.77618e-05,-2.77618e-05
9.5,9.0,10.0,0.000350851,3.50851e-06,-3.50851e-06,3.13104e-05,-3.13104e-05
11.0,10.0,12.0,0.000355252,2.84202e-06,-2.84202e-06,3.16972e-05,-3.16972e-05
13.5,12.0,15.0,0.000346976,2.77581e-06,-2.77581e-06,2.936e-05,-2.936e-05
16.5,15.0,18.0,0.000314146,2.51317e-06,-2.51317e-06,2.68499e-05,-2.68499e-05
19.5,18.0,21.0,0.000258046,2.06436e-06,-2.06436e-06,3.00033e-05,-3.00033e-05
22.5,21.0,24.0,0.000184219,1.65797e-06,-1.65797e-06,2.47457e-05,-2.47457e-05
25.5,24.0,27.0,0.000112571,1.23828e-06,-1.23828e-06,1.50294e-05,-1.50294e-05
28.5,27.0,30.0,6.2142e-05,9.3213e-07,-9.3213e-07,9.50001e-06,-9.50001e-06
31.5,30.0,33.0,3.22068e-05,6.44137e-07,-6.44137e-07,6.11515e-06,-6.11515e-06
34.5,33.0,36.0,1.57705e-05,4.57345e-07,-4.57345e-07,4.04728e-06,-4.04728e-06
37.5,36.0,39.0,6.7e-06,2.7552e-07,-2.7552e-07,1.65293e-06,-1.65293e-06
40.5,39.0,42.0,2.548e-06,1.65601e-07,-1.65601e-07,5.91824e-07,-5.91824e-07

#: PT(C=JET) [GeV],,,19.0-24.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.000314834,9.44502e-06,-9.44502e-06,2.90655e-05,-2.90655e-05
0.75,0.5,1.0,0.000414037,9.52285e-06,-9.52285e-06,2.25108e-05,-2.25108e-05
1.5,1.0,2.0,0.000376487,6.02379e-06,-6.02379e-06,1.71498e-05,-1.71498e-05
2.5,2.0,3.0,0.00044311,5.76043e-06,-5.76043e-06,2.43751e-05,-2.43751e-05
3.5,3.0,4.0,0.000491138,5.40251e-06,-5.40251e-06,3.78272e-05,-3.78272e-05
4.5,4.0,5.0,0.000504593,5.04593e-06,-5.04593e-06,4.31184e-05,-4.31184e-05
5.5,5.0,6.0,0.000496403,4.46763e-06,-4.46763e-06,4.14013e-05,-4.14013e-05
6.5,6.0,7.0,0.000486014,4.37412e-06,-4.37412e-06,3.89509e-05,-3.89509e-05
7.5,7.0,8.0,0.000462842,4.16558e-06,-4.16558e-06,3.49408e-05,-3.49408e-05
8.5,8.0,9.0,0.000435054,3.91548e-06,-3.91548e-06,3.00282e-05,-3.00282e-05
9.5,9.0,10.0,0.000399935,3.19948e-06,-3.19948e-06,2.82117e-05,-2.82117e-05
11.0,10.0,12.0,0.000351928,2.81542e-06,-2.81542e-06,2.87893e-05,-2.87893e-05
13.5,12.0,15.0,0.000271404,2.17123e-06,-2.17123e-06,2.06837e-05,-2.06837e-05
16.5,15.0,18.0,0.000183591,1.65231e-06,-1.65231e-06,1.70166e-05,-1.70166e-05
19.5,18.0,21.0,0.000116154,1.27769e-06,-1.27769e-06,1.22244e-05,-1.22244e-05
22.5,21.0,24.0,6.97193e-05,9.76071e-07,-9.76071e-07,7.92933e-06,-7.92933e-06
25.5,24.0,27.0,4.03902e-05,7.27024e-07,-7.27024e-07,5.999e-06,-5.999e-06
28.5,27.0,30.0,2.26476e-05,5.43543e-07,-5.43543e-07,3.98727e-06,-3.98727e-06
31.5,30.0,33.0,1.22095e-05,3.90704e-07,-3.90704e-07,2.52566e-06,-2.52566e-06
34.5,33.0,36.0,5.8982e-06,2.77214e-07,-2.77214e-07,1.38241e-06,-1.38241e-06
37.5,36.0,39.0,2.6361e-06,1.7398e-07,-1.7398e-07,8.4997e-07,-8.4997e-07
40.5,39.0,42.0,1.3249e-06,1.33811e-07,-1.33811e-07,4.31063e-07,-4.31063e-07

