#: table_doi: 10.17182/hepdata.58995.v1/t47
#: name: Table 47
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 5 to 6 GeV.

#: data_file: Table47.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00717879,2.87151e-05,-2.87151e-05,0.000551273,-0.000551273
1.5,1.0,2.0,0.0156779,3.13557e-05,-3.13557e-05,0.000941064,-0.000941064
2.5,2.0,3.0,0.0234431,4.68861e-05,-4.68861e-05,0.00126332,-0.00126332
3.5,3.0,4.0,0.0285433,2.85433e-05,-2.85433e-05,0.00142831,-0.00142831
4.5,4.0,5.0,0.0301189,3.01189e-05,-3.01189e-05,0.0016527,-0.0016527
5.5,5.0,6.0,0.0283229,2.83229e-05,-2.83229e-05,0.00188746,-0.00188746
6.5,6.0,7.0,0.024372,2.4372e-05,-2.4372e-05,0.00171074,-0.00171074
7.5,7.0,8.0,0.0195193,1.95193e-05,-1.95193e-05,0.00115824,-0.00115824
8.5,8.0,9.0,0.0144547,1.44547e-05,-1.44547e-05,0.000945654,-0.000945654
9.5,9.0,10.0,0.0100202,2.00405e-05,-2.00405e-05,0.000756512,-0.000756512
11.0,10.0,12.0,0.00527252,1.0545e-05,-1.0545e-05,0.000547936,-0.000547936
13.5,12.0,15.0,0.00144729,4.34186e-06,-4.34186e-06,0.000224712,-0.000224712
16.5,15.0,18.0,0.000189099,1.13459e-06,-1.13459e-06,3.00726e-05,-3.00726e-05
19.5,18.0,21.0,1.45155e-05,2.75794e-07,-2.75794e-07,2.59462e-06,-2.59462e-06

#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.011269,3.3807e-05,-3.3807e-05,0.000861691,-0.000861691
1.5,1.0,2.0,0.0215655,4.3131e-05,-4.3131e-05,0.00116214,-0.00116214
2.5,2.0,3.0,0.0282974,5.65948e-05,-5.65948e-05,0.00109996,-0.00109996
3.5,3.0,4.0,0.0308655,3.08655e-05,-3.08655e-05,0.00134928,-0.00134928
4.5,4.0,5.0,0.0297368,2.97368e-05,-2.97368e-05,0.00167453,-0.00167453
5.5,5.0,6.0,0.0260419,2.60419e-05,-2.60419e-05,0.00158642,-0.00158642
6.5,6.0,7.0,0.0211792,2.11792e-05,-2.11792e-05,0.00131993,-0.00131993
7.5,7.0,8.0,0.0162253,1.62253e-05,-1.62253e-05,0.000920132,-0.000920132
8.5,8.0,9.0,0.0116543,2.33086e-05,-2.33086e-05,0.000746605,-0.000746605
9.5,9.0,10.0,0.00791698,1.5834e-05,-1.5834e-05,0.000589642,-0.000589642
11.0,10.0,12.0,0.00413566,8.27133e-06,-8.27133e-06,0.000412407,-0.000412407
13.5,12.0,15.0,0.00114378,3.43134e-06,-3.43134e-06,0.000177882,-0.000177882
16.5,15.0,18.0,0.000161271,1.29017e-06,-1.29017e-06,2.74161e-05,-2.74161e-05
19.5,18.0,21.0,1.38738e-05,3.74594e-07,-3.74594e-07,2.50587e-06,-2.50587e-06

