#: table_doi: 10.17182/hepdata.58995.v1/t45
#: name: Table 45
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.6 and jet PT in the range 50 to 100 GeV.

#: data_file: Table45.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,2.5517e-06,3.33768e-06,-3.33768e-06,4.085e-07,-4.085e-07
1.5,1.0,2.0,1.6384e-06,1.86453e-06,-1.86453e-06,1.59912e-07,-1.59912e-07
2.5,2.0,3.0,2.9429e-06,2.24252e-06,-2.24252e-06,6.34832e-07,-6.34832e-07
3.5,3.0,4.0,5.6259e-06,2.99299e-06,-2.99299e-06,1.19476e-06,-1.19476e-06
4.5,4.0,5.0,5.9721e-06,2.62176e-06,-2.62176e-06,1.1831e-06,-1.1831e-06
5.5,5.0,6.0,5.2969e-06,2.14524e-06,-2.14524e-06,1.22954e-06,-1.22954e-06
6.5,6.0,7.0,6.5377e-06,2.48431e-06,-2.48431e-06,1.73656e-06,-1.73656e-06
7.5,7.0,8.0,6.859e-06,2.46935e-06,-2.46935e-06,1.80307e-06,-1.80307e-06
8.5,8.0,9.0,6.7543e-06,2.40455e-06,-2.40455e-06,1.3351e-06,-1.3351e-06
9.5,9.0,10.0,6.6975e-06,2.39102e-06,-2.39102e-06,1.14207e-06,-1.14207e-06
11.0,10.0,12.0,7.3191e-06,2.23965e-06,-2.23965e-06,1.71377e-06,-1.71377e-06
13.5,12.0,15.0,8.9769e-06,2.16343e-06,-2.16343e-06,7.14551e-07,-7.14551e-07
16.5,15.0,18.0,8.0411e-06,1.96203e-06,-1.96203e-06,9.55391e-07,-9.55391e-07
19.5,18.0,21.0,5.1734e-06,1.53131e-06,-1.53131e-06,8.80005e-07,-8.80005e-07
22.5,21.0,24.0,3.689e-06,1.28022e-06,-1.28022e-06,1.01698e-06,-1.01698e-06
25.5,24.0,27.0,2.8286e-06,1.14275e-06,-1.14275e-06,8.928e-07,-8.928e-07

#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,5.6955e-06,3.72484e-06,-3.72484e-06,7.62599e-07,-7.62599e-07
1.5,1.0,2.0,8.6079e-06,4.01987e-06,-4.01987e-06,1.01884e-06,-1.01884e-06
2.5,2.0,3.0,1.0049e-05,4.00953e-06,-4.00953e-06,2.27842e-06,-2.27842e-06
3.5,3.0,4.0,1.40029e-05,4.45293e-06,-4.45293e-06,1.12674e-06,-1.12674e-06
4.5,4.0,5.0,1.4899e-05,4.24622e-06,-4.24622e-06,1.88356e-06,-1.88356e-06
5.5,5.0,6.0,1.42371e-05,4.07182e-06,-4.07182e-06,1.77522e-06,-1.77522e-06
6.5,6.0,7.0,1.23685e-05,3.47555e-06,-3.47555e-06,1.50473e-06,-1.50473e-06
7.5,7.0,8.0,1.24295e-05,3.44298e-06,-3.44298e-06,2.62438e-06,-2.62438e-06
8.5,8.0,9.0,1.31229e-05,3.59567e-06,-3.59567e-06,2.72215e-06,-2.72215e-06
9.5,9.0,10.0,1.16859e-05,3.33048e-06,-3.33048e-06,2.30519e-06,-2.30519e-06
11.0,10.0,12.0,7.8611e-06,2.20898e-06,-2.20898e-06,1.87787e-06,-1.87787e-06
13.5,12.0,15.0,4.3331e-06,1.40827e-06,-1.40827e-06,5.99979e-07,-5.99979e-07
16.5,15.0,18.0,2.2972e-06,9.78595e-07,-9.78595e-07,5.64e-07,-5.64e-07
19.5,18.0,21.0,-,0,0,0,0
22.5,21.0,24.0,-,0,0,0,0
25.5,24.0,27.0,-,0,0,0,0

