#: table_doi: 10.17182/hepdata.58995.v1/t144
#: name: Table 144
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.6 and jet PT in the range 31 to 50 GeV.

#: data_file: Table144.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,2.66719e-05,3.21097e-06,-3.21097e-06,2.17024e-06,-2.17024e-06
6.5,4.0,9.0,3.16062e-05,2.40514e-06,-2.40514e-06,1.85227e-06,-1.85227e-06
12.0,9.0,15.0,2.37284e-05,2.09782e-06,-2.09782e-06,1.58682e-06,-1.58682e-06
18.0,15.0,21.0,2.23067e-05,2.12146e-06,-2.12146e-06,2.57718e-06,-2.57718e-06
24.0,21.0,27.0,2.04018e-05,1.91125e-06,-1.91125e-06,3.18415e-06,-3.18415e-06
30.0,27.0,33.0,1.90256e-05,1.80596e-06,-1.80596e-06,3.84622e-06,-3.84622e-06
36.0,33.0,39.0,1.27441e-05,1.34272e-06,-1.34272e-06,3.56457e-06,-3.56457e-06
42.0,39.0,45.0,8.186e-06,9.97572e-07,-9.97572e-07,2.53704e-06,-2.53704e-06
50.0,45.0,55.0,3.9361e-06,6.07166e-07,-6.07166e-07,1.51061e-06,-1.51061e-06

#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,7.37656e-05,5.57275e-06,-5.57275e-06,3.88421e-06,-3.88421e-06
6.5,4.0,9.0,6.1802e-05,3.46846e-06,-3.46846e-06,3.34583e-06,-3.34583e-06
12.0,9.0,15.0,3.43684e-05,2.54272e-06,-2.54272e-06,2.70786e-06,-2.70786e-06
18.0,15.0,21.0,1.39442e-05,1.60137e-06,-1.60137e-06,1.90319e-06,-1.90319e-06
24.0,21.0,27.0,6.4364e-06,1.03926e-06,-1.03926e-06,1.31698e-06,-1.31698e-06
30.0,27.0,33.0,2.5661e-06,5.94316e-07,-5.94316e-07,8.29557e-07,-8.29557e-07
36.0,33.0,39.0,-,0,0,0,0
42.0,39.0,45.0,-,0,0,0,0
50.0,45.0,55.0,-,0,0,0,0

