#: table_doi: 10.17182/hepdata.58995.v1/t26
#: name: Table 26
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 4 to 5 GeV.

#: data_file: Table26.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,4.0-5.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.0145223,7.26114e-05,-7.26114e-05,0.00106776,-0.00106776
1.5,1.0,2.0,0.0288338,8.65015e-05,-8.65015e-05,0.00176853,-0.00176853
2.5,2.0,3.0,0.0403022,8.06045e-05,-8.06045e-05,0.00188432,-0.00188432
3.5,3.0,4.0,0.0481068,9.62135e-05,-9.62135e-05,0.00196061,-0.00196061
4.5,4.0,5.0,0.0503724,0.000100745,-0.000100745,0.00202181,-0.00202181
5.5,5.0,6.0,0.0485807,9.71613e-05,-9.71613e-05,0.00214801,-0.00214801
6.5,6.0,7.0,0.0438123,8.76246e-05,-8.76246e-05,0.00232783,-0.00232783
7.5,7.0,8.0,0.0376887,7.53774e-05,-7.53774e-05,0.00212198,-0.00212198
8.5,8.0,9.0,0.0308261,6.16523e-05,-6.16523e-05,0.00165316,-0.00165316
9.5,9.0,10.0,0.0242792,4.85584e-05,-4.85584e-05,0.00141091,-0.00141091
11.0,10.0,12.0,0.0159782,3.19565e-05,-3.19565e-05,0.00103797,-0.00103797
13.5,12.0,15.0,0.00711294,2.13388e-05,-2.13388e-05,0.000586419,-0.000586419
16.5,15.0,18.0,0.00208251,1.04125e-05,-1.04125e-05,0.000255818,-0.000255818
19.5,18.0,21.0,0.000520006,4.68005e-06,-4.68005e-06,8.27006e-05,-8.27006e-05
22.5,21.0,24.0,0.000103614,1.96866e-06,-1.96866e-06,1.79063e-05,-1.79063e-05
25.5,24.0,27.0,1.7826e-05,8.55647e-07,-8.55647e-07,3.40537e-06,-3.40537e-06

#: PT(C=JET) [GeV],,,4.0-5.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.0222958,8.91831e-05,-8.91831e-05,0.00151693,-0.00151693
1.5,1.0,2.0,0.0394481,0.000118344,-0.000118344,0.00201262,-0.00201262
2.5,2.0,3.0,0.0494937,9.89874e-05,-9.89874e-05,0.00198346,-0.00198346
3.5,3.0,4.0,0.0531702,0.00010634,-0.00010634,0.00196586,-0.00196586
4.5,4.0,5.0,0.0514637,0.000102927,-0.000102927,0.00207648,-0.00207648
5.5,5.0,6.0,0.0465567,9.31134e-05,-9.31134e-05,0.00227795,-0.00227795
6.5,6.0,7.0,0.0399545,7.99089e-05,-7.99089e-05,0.00190403,-0.00190403
7.5,7.0,8.0,0.0328668,6.57336e-05,-6.57336e-05,0.00153703,-0.00153703
8.5,8.0,9.0,0.0259118,5.18235e-05,-5.18235e-05,0.00128387,-0.00128387
9.5,9.0,10.0,0.0197887,3.95774e-05,-3.95774e-05,0.00104543,-0.00104543
11.0,10.0,12.0,0.0126182,2.52364e-05,-2.52364e-05,0.000758983,-0.000758983
13.5,12.0,15.0,0.00542683,1.62805e-05,-1.62805e-05,0.000462715,-0.000462715
16.5,15.0,18.0,0.00158108,7.9054e-06,-7.9054e-06,0.0002118,-0.0002118
19.5,18.0,21.0,0.000391726,3.91726e-06,-3.91726e-06,6.54851e-05,-6.54851e-05
22.5,21.0,24.0,8.16182e-05,1.7956e-06,-1.7956e-06,1.45834e-05,-1.45834e-05
25.5,24.0,27.0,1.34916e-05,7.42039e-07,-7.42039e-07,2.94865e-06,-2.94865e-06

