#: table_doi: 10.17182/hepdata.58995.v1/t159
#: name: Table 159
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=1.0 and jet PT in the range 8 to 11 GeV.

#: data_file: Table159.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,8.0-11.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00491576,3.44103e-05,-3.44103e-05,0.000426596,-0.000426596
0.75,0.5,1.0,0.00737928,3.68964e-05,-3.68964e-05,0.000591955,-0.000591955
1.5,1.0,2.0,0.00799644,2.39893e-05,-2.39893e-05,0.000498352,-0.000498352
2.5,2.0,3.0,0.0109425,2.18851e-05,-2.18851e-05,0.000736653,-0.000736653
3.5,3.0,4.0,0.013269,2.65379e-05,-2.65379e-05,0.00123594,-0.00123594
4.5,4.0,5.0,0.0148458,2.96916e-05,-2.96916e-05,0.00147863,-0.00147863
5.5,5.0,6.0,0.0157675,3.1535e-05,-3.1535e-05,0.00145642,-0.00145642
6.5,6.0,7.0,0.0157443,3.14885e-05,-3.14885e-05,0.00141173,-0.00141173
7.5,7.0,8.0,0.0150284,1.50284e-05,-1.50284e-05,0.00129375,-0.00129375
8.5,8.0,9.0,0.0137584,2.75168e-05,-2.75168e-05,0.00113053,-0.00113053
9.5,9.0,10.0,0.0119894,2.39789e-05,-2.39789e-05,0.00105534,-0.00105534
11.0,10.0,12.0,0.00895954,1.79191e-05,-1.79191e-05,0.000802367,-0.000802367
13.5,12.0,15.0,0.00463375,9.2675e-06,-9.2675e-06,0.000498554,-0.000498554
16.5,15.0,18.0,0.00156711,4.70134e-06,-4.70134e-06,0.000224945,-0.000224945
19.5,18.0,21.0,0.000408385,2.04193e-06,-2.04193e-06,7.65317e-05,-7.65317e-05
22.5,21.0,24.0,8.93741e-05,8.04367e-07,-8.04367e-07,1.75201e-05,-1.75201e-05
25.5,24.0,27.0,1.59942e-05,3.19884e-07,-3.19884e-07,3.0389e-06,-3.0389e-06
28.5,27.0,30.0,2.776e-06,1.38802e-07,-1.38802e-07,5.39516e-07,-5.39516e-07

#: PT(C=JET) [GeV],,,8.0-11.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00914373,4.57186e-05,-4.57186e-05,0.000829009,-0.000829009
0.75,0.5,1.0,0.0133647,5.3459e-05,-5.3459e-05,0.000826024,-0.000826024
1.5,1.0,2.0,0.0132979,2.65957e-05,-2.65957e-05,0.000626977,-0.000626977
2.5,2.0,3.0,0.0159395,3.1879e-05,-3.1879e-05,0.00088561,-0.00088561
3.5,3.0,4.0,0.0170814,3.41629e-05,-3.41629e-05,0.0012473,-0.0012473
4.5,4.0,5.0,0.0169087,3.38174e-05,-3.38174e-05,0.00143982,-0.00143982
5.5,5.0,6.0,0.0159642,3.19283e-05,-3.19283e-05,0.00133145,-0.00133145
6.5,6.0,7.0,0.0145313,2.90625e-05,-2.90625e-05,0.00116459,-0.00116459
7.5,7.0,8.0,0.0127225,2.54451e-05,-2.54451e-05,0.000960445,-0.000960445
8.5,8.0,9.0,0.0108067,2.16134e-05,-2.16134e-05,0.000745898,-0.000745898
9.5,9.0,10.0,0.00884864,1.76973e-05,-1.76973e-05,0.00062419,-0.00062419
11.0,10.0,12.0,0.00629267,1.25853e-05,-1.25853e-05,0.000545361,-0.000545361
13.5,12.0,15.0,0.00311559,6.23119e-06,-6.23119e-06,0.00031503,-0.00031503
16.5,15.0,18.0,0.00108917,3.26751e-06,-3.26751e-06,0.000152491,-0.000152491
19.5,18.0,21.0,0.000307239,1.84343e-06,-1.84343e-06,5.50052e-05,-5.50052e-05
22.5,21.0,24.0,7.23132e-05,7.23132e-07,-7.23132e-07,1.31997e-05,-1.31997e-05
25.5,24.0,27.0,1.66826e-05,3.50334e-07,-3.50334e-07,3.25199e-06,-3.25199e-06
28.5,27.0,30.0,2.7201e-06,1.27847e-07,-1.27847e-07,5.63319e-07,-5.63319e-07

