#: table_doi: 10.17182/hepdata.58995.v1/t28
#: name: Table 28
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 6 to 8 GeV.

#: data_file: Table28.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,6.0-8.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00456394,4.10755e-05,-4.10755e-05,0.000335814,-0.000335814
1.5,1.0,2.0,0.00890955,5.34573e-05,-5.34573e-05,0.00052195,-0.00052195
2.5,2.0,3.0,0.0132146,5.28584e-05,-5.28584e-05,0.000657551,-0.000657551
3.5,3.0,4.0,0.0165069,4.95206e-05,-4.95206e-05,0.000730417,-0.000730417
4.5,4.0,5.0,0.0183854,5.51562e-05,-5.51562e-05,0.000732422,-0.000732422
5.5,5.0,6.0,0.0192182,5.76545e-05,-5.76545e-05,0.00083328,-0.00083328
6.5,6.0,7.0,0.0188437,5.65311e-05,-5.65311e-05,0.000987813,-0.000987813
7.5,7.0,8.0,0.017808,5.34241e-05,-5.34241e-05,0.000990709,-0.000990709
8.5,8.0,9.0,0.0160441,4.81323e-05,-4.81323e-05,0.000849126,-0.000849126
9.5,9.0,10.0,0.0139367,4.18101e-05,-4.18101e-05,0.000794636,-0.000794636
11.0,10.0,12.0,0.010707,3.21211e-05,-3.21211e-05,0.00056097,-0.00056097
13.5,12.0,15.0,0.00619222,1.85767e-05,-1.85767e-05,0.000337519,-0.000337519
16.5,15.0,18.0,0.00276077,1.10431e-05,-1.10431e-05,0.000223724,-0.000223724
19.5,18.0,21.0,0.00107123,7.4986e-06,-7.4986e-06,0.000122711,-0.000122711
22.5,21.0,24.0,0.000359246,3.9517e-06,-3.9517e-06,5.92178e-05,-5.92178e-05
25.5,24.0,27.0,0.000107079,2.14159e-06,-2.14159e-06,2.04348e-05,-2.04348e-05
28.5,27.0,30.0,2.78868e-05,1.19913e-06,-1.19913e-06,6.95982e-06,-6.95982e-06
32.0,30.0,34.0,5.2538e-06,4.99111e-07,-4.99111e-07,1.25924e-06,-1.25924e-06

#: PT(C=JET) [GeV],,,6.0-8.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00799188,5.59432e-05,-5.59432e-05,0.000524733,-0.000524733
1.5,1.0,2.0,0.014344,5.73758e-05,-5.73758e-05,0.000739792,-0.000739792
2.5,2.0,3.0,0.018554,7.42158e-05,-7.42158e-05,0.000752065,-0.000752065
3.5,3.0,4.0,0.0205567,6.16702e-05,-6.16702e-05,0.0007389,-0.0007389
4.5,4.0,5.0,0.0208696,6.26089e-05,-6.26089e-05,0.000822433,-0.000822433
5.5,5.0,6.0,0.0198267,5.94801e-05,-5.94801e-05,0.000954774,-0.000954774
6.5,6.0,7.0,0.0181805,5.45415e-05,-5.45415e-05,0.000851965,-0.000851965
7.5,7.0,8.0,0.0160599,4.81796e-05,-4.81796e-05,0.000738056,-0.000738056
8.5,8.0,9.0,0.0137308,4.11925e-05,-4.11925e-05,0.000669862,-0.000669862
9.5,9.0,10.0,0.0114298,3.42893e-05,-3.42893e-05,0.000557604,-0.000557604
11.0,10.0,12.0,0.00828567,2.4857e-05,-2.4857e-05,0.000389603,-0.000389603
13.5,12.0,15.0,0.00450348,1.80139e-05,-1.80139e-05,0.000266886,-0.000266886
16.5,15.0,18.0,0.00187778,9.3889e-06,-9.3889e-06,0.000161696,-0.000161696
19.5,18.0,21.0,0.000712008,5.69606e-06,-5.69606e-06,9.17551e-05,-9.17551e-05
22.5,21.0,24.0,0.000243028,3.4024e-06,-3.4024e-06,4.25591e-05,-4.25591e-05
25.5,24.0,27.0,6.82098e-05,1.77346e-06,-1.77346e-06,1.48958e-05,-1.48958e-05
28.5,27.0,30.0,2.26724e-05,1.08828e-06,-1.08828e-06,6.492e-06,-6.492e-06
32.0,30.0,34.0,5.558e-06,6.1696e-07,-6.1696e-07,1.55481e-06,-1.55481e-06

