#: table_doi: 10.17182/hepdata.58995.v1/t15
#: name: Table 15
#: description: Mean value of SUM(PT) v jet PT for R=1.0.

#: data_file: Table15.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: MEAN
#: keyword phrases: Inclusive | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.53,0.0002,-0.0002,0.0206,-0.0206
5.5,5.0,6.0,0.6698,0.0003,-0.0003,0.0222,-0.0222
7.0,6.0,8.0,0.8569,0.0004,-0.0004,0.0268,-0.0268
9.5,8.0,11.0,1.1439,0.0007,-0.0007,0.0358,-0.0358
12.5,11.0,14.0,1.4748,0.0014,-0.0014,0.0461,-0.0461
16.5,14.0,19.0,1.8076,0.0027,-0.0027,0.0565,-0.0565
21.5,19.0,24.0,2.1695,0.0064,-0.0064,0.0744,-0.0744
27.5,24.0,31.0,2.4774,0.0131,-0.0131,0.0841,-0.0841
40.5,31.0,50.0,3.0859,0.0278,-0.0278,0.1255,-0.1255
75.0,50.0,100.0,4.877,0.1484,-0.1484,0.2804,-0.2804

#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.4749,0.0002,-0.0002,0.0179,-0.0179
5.5,5.0,6.0,0.5924,0.0003,-0.0003,0.0184,-0.0184
7.0,6.0,8.0,0.7436,0.0003,-0.0003,0.0226,-0.0226
9.5,8.0,11.0,0.9643,0.0006,-0.0006,0.0293,-0.0293
12.5,11.0,14.0,1.1938,0.0011,-0.0011,0.0363,-0.0363
16.5,14.0,19.0,1.3756,0.002,-0.002,0.0419,-0.0419
21.5,19.0,24.0,1.4974,0.0046,-0.0046,0.0497,-0.0497
27.5,24.0,31.0,1.4965,0.0082,-0.0082,0.0497,-0.0497
40.5,31.0,50.0,1.4971,0.014,-0.014,0.06,-0.06
75.0,50.0,100.0,1.6103,0.0527,-0.0527,0.1059,-0.1059

