#: table_doi: 10.17182/hepdata.58995.v1/t146
#: name: Table 146
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 4 to 5 GeV.

#: data_file: Table146.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,4.0-5.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0330167,9.905e-05,-9.905e-05,0.00289004,-0.00289004
0.75,0.5,1.0,0.0452949,9.05898e-05,-9.05898e-05,0.00308671,-0.00308671
1.5,1.0,2.0,0.0440696,4.40696e-05,-4.40696e-05,0.00220436,-0.00220436
2.5,2.0,3.0,0.0492758,4.92758e-05,-4.92758e-05,0.0023358,-0.0023358
3.5,3.0,4.0,0.0485729,4.85729e-05,-4.85729e-05,0.00317995,-0.00317995
4.5,4.0,5.0,0.0429516,4.29516e-05,-4.29516e-05,0.00312161,-0.00312161
5.5,5.0,6.0,0.033927,3.3927e-05,-3.3927e-05,0.00250187,-0.00250187
6.5,6.0,7.0,0.024629,2.4629e-05,-2.4629e-05,0.00180061,-0.00180061
7.5,7.0,8.0,0.0164996,1.64996e-05,-1.64996e-05,0.00135287,-0.00135287
8.5,8.0,9.0,0.0102699,2.05399e-05,-2.05399e-05,0.000999567,-0.000999567
9.5,9.0,10.0,0.00593499,1.187e-05,-1.187e-05,0.000728168,-0.000728168
11.0,10.0,12.0,0.00244872,7.34616e-06,-7.34616e-06,0.00036289,-0.00036289
13.5,12.0,15.0,0.000442396,2.21198e-06,-2.21198e-06,7.32162e-05,-7.32162e-05
16.5,15.0,18.0,3.65363e-05,5.11508e-07,-5.11508e-07,6.10287e-06,-6.10287e-06
19.5,18.0,21.0,3.5066e-06,1.57798e-07,-1.57798e-07,6.20097e-07,-6.20097e-07

#: PT(C=JET) [GeV],,,4.0-5.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0476512,9.53025e-05,-9.53025e-05,0.00377469,-0.00377469
0.75,0.5,1.0,0.0606704,0.000121341,-0.000121341,0.00337253,-0.00337253
1.5,1.0,2.0,0.0520878,5.20878e-05,-5.20878e-05,0.00199164,-0.00199164
2.5,2.0,3.0,0.0520545,5.20545e-05,-5.20545e-05,0.00244711,-0.00244711
3.5,3.0,4.0,0.0460563,4.60563e-05,-4.60563e-05,0.00264212,-0.00264212
4.5,4.0,5.0,0.0376737,3.76737e-05,-3.76737e-05,0.00245429,-0.00245429
5.5,5.0,6.0,0.028232,2.8232e-05,-2.8232e-05,0.00179,-0.00179
6.5,6.0,7.0,0.0197763,1.97763e-05,-1.97763e-05,0.00140342,-0.00140342
7.5,7.0,8.0,0.0130426,2.60852e-05,-2.60852e-05,0.00101724,-0.00101724
8.5,8.0,9.0,0.00810923,1.62185e-05,-1.62185e-05,0.000739942,-0.000739942
9.5,9.0,10.0,0.00474283,9.48566e-06,-9.48566e-06,0.000518771,-0.000518771
11.0,10.0,12.0,0.0020343,6.10291e-06,-6.10291e-06,0.000272042,-0.000272042
13.5,12.0,15.0,0.000404106,2.02053e-06,-2.02053e-06,6.7118e-05,-6.7118e-05
16.5,15.0,18.0,3.92192e-05,6.66727e-07,-6.66727e-07,6.46891e-06,-6.46891e-06
19.5,18.0,21.0,4.8945e-06,2.05568e-07,-2.05568e-07,8.69041e-07,-8.69041e-07

