#: table_doi: 10.17182/hepdata.58995.v1/t11
#: name: Table 11
#: description: Mean value of SUM(PT) v jet PT for R=0.2.

#: data_file: Table11.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: MEAN
#: keyword phrases: Inclusive | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,1.0761,0.0011,-0.0011,0.0308,-0.0308
5.5,5.0,6.0,1.2111,0.0019,-0.0019,0.033,-0.033
7.0,6.0,8.0,1.3367,0.0024,-0.0024,0.0364,-0.0364
9.5,8.0,11.0,1.5155,0.0042,-0.0042,0.0413,-0.0413
12.5,11.0,14.0,1.7267,0.0085,-0.0085,0.047,-0.047
16.5,14.0,19.0,1.9956,0.0132,-0.0132,0.0544,-0.0544
21.5,19.0,24.0,2.3656,0.0266,-0.0266,0.0716,-0.0716
27.5,24.0,31.0,2.8323,0.0448,-0.0448,0.0858,-0.0858
40.5,31.0,50.0,3.6698,0.0794,-0.0794,0.1383,-0.1383
75.0,50.0,100.0,5.6877,0.3329,-0.3329,0.3152,-0.3152

#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=JET) [GEV],PT(C=JET) [GEV] LOW,PT(C=JET) [GEV] HIGH,MEAN(N=SUM(PT)) [GEV],stat +,stat -,sys +,sys -
4.5,4.0,5.0,0.9163,0.001,-0.001,0.0262,-0.0262
5.5,5.0,6.0,0.9964,0.0016,-0.0016,0.0271,-0.0271
7.0,6.0,8.0,1.0421,0.002,-0.002,0.0284,-0.0284
9.5,8.0,11.0,1.0795,0.0032,-0.0032,0.0294,-0.0294
12.5,11.0,14.0,1.0993,0.0058,-0.0058,0.0299,-0.0299
16.5,14.0,19.0,1.1479,0.0083,-0.0083,0.0313,-0.0313
21.5,19.0,24.0,1.1901,0.0145,-0.0145,0.036,-0.036
27.5,24.0,31.0,1.2721,0.0225,-0.0225,0.0385,-0.0385
40.5,31.0,50.0,1.3764,0.0328,-0.0328,0.0519,-0.0519
75.0,50.0,100.0,1.5419,0.0973,-0.0973,0.0992,-0.0992

