#: table_doi: 10.17182/hepdata.58995.v1/t130
#: name: Table 130
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 11 to 14 GeV.

#: data_file: Table130.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,11.0-14.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00102221,2.65775e-05,-2.65775e-05,7.06658e-05,-7.06658e-05
0.75,0.5,1.0,0.00129596,2.72151e-05,-2.72151e-05,6.5404e-05,-6.5404e-05
1.5,1.0,2.0,0.00116517,1.74775e-05,-1.74775e-05,5.35596e-05,-5.35596e-05
2.5,2.0,3.0,0.00139102,1.80832e-05,-1.80832e-05,4.88444e-05,-4.88444e-05
3.5,3.0,4.0,0.00151163,1.66279e-05,-1.66279e-05,7.85755e-05,-7.85755e-05
4.5,4.0,5.0,0.00162807,1.62807e-05,-1.62807e-05,9.13898e-05,-9.13898e-05
5.5,5.0,6.0,0.00167278,1.5055e-05,-1.5055e-05,7.66383e-05,-7.66383e-05
6.5,6.0,7.0,0.00169841,1.52857e-05,-1.52857e-05,8.07237e-05,-8.07237e-05
7.5,7.0,8.0,0.00169286,1.52357e-05,-1.52357e-05,8.75225e-05,-8.75225e-05
8.5,8.0,9.0,0.00165814,1.32651e-05,-1.32651e-05,7.51852e-05,-7.51852e-05
9.5,9.0,10.0,0.00156678,1.25342e-05,-1.25342e-05,6.83841e-05,-6.83841e-05
11.0,10.0,12.0,0.00143757,1.15005e-05,-1.15005e-05,6.51204e-05,-6.51204e-05
13.5,12.0,15.0,0.00118642,8.30491e-06,-8.30491e-06,4.73972e-05,-4.73972e-05
16.5,15.0,18.0,0.000828809,6.63047e-06,-6.63047e-06,2.99635e-05,-2.99635e-05
19.5,18.0,21.0,0.000521199,5.21199e-06,-5.21199e-06,3.19636e-05,-3.19636e-05
22.5,21.0,24.0,0.000307087,3.68504e-06,-3.68504e-06,2.83852e-05,-2.83852e-05
25.5,24.0,27.0,0.000175653,2.81044e-06,-2.81044e-06,1.9434e-05,-1.9434e-05
28.5,27.0,30.0,9.43513e-05,1.98138e-06,-1.98138e-06,9.72322e-06,-9.72322e-06
31.5,30.0,33.0,5.10234e-05,1.42865e-06,-1.42865e-06,7.5611e-06,-7.5611e-06
34.5,33.0,36.0,2.63481e-05,1.02758e-06,-1.02758e-06,6.27894e-06,-6.27894e-06
37.5,36.0,39.0,1.2517e-05,7.51018e-07,-7.51018e-07,2.72131e-06,-2.72131e-06
40.5,39.0,42.0,4.8887e-06,4.15543e-07,-4.15543e-07,9.16831e-07,-9.16831e-07
43.5,42.0,45.0,2.5427e-06,3.07669e-07,-3.07669e-07,6.56863e-07,-6.56863e-07

#: PT(C=JET) [GeV],,,11.0-14.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00231809,4.17256e-05,-4.17256e-05,0.000154931,-0.000154931
0.75,0.5,1.0,0.00269641,4.04461e-05,-4.04461e-05,0.000141324,-0.000141324
1.5,1.0,2.0,0.00235329,2.58861e-05,-2.58861e-05,8.7484e-05,-8.7484e-05
2.5,2.0,3.0,0.0024881,2.4881e-05,-2.4881e-05,9.0054e-05,-9.0054e-05
3.5,3.0,4.0,0.00247371,2.22634e-05,-2.22634e-05,9.84212e-05,-9.84212e-05
4.5,4.0,5.0,0.00232163,2.08947e-05,-2.08947e-05,9.61728e-05,-9.61728e-05
5.5,5.0,6.0,0.0021045,1.6836e-05,-1.6836e-05,9.89563e-05,-9.89563e-05
6.5,6.0,7.0,0.0019381,1.55048e-05,-1.55048e-05,8.03554e-05,-8.03554e-05
7.5,7.0,8.0,0.00170815,1.36652e-05,-1.36652e-05,6.81551e-05,-6.81551e-05
8.5,8.0,9.0,0.00151,1.359e-05,-1.359e-05,6.26058e-05,-6.26058e-05
9.5,9.0,10.0,0.00131406,1.18266e-05,-1.18266e-05,5.31343e-05,-5.31343e-05
11.0,10.0,12.0,0.00104914,9.4423e-06,-9.4423e-06,4.68252e-05,-4.68252e-05
13.5,12.0,15.0,0.000701536,6.31383e-06,-6.31383e-06,2.74945e-05,-2.74945e-05
16.5,15.0,18.0,0.000413338,4.54672e-06,-4.54672e-06,1.83552e-05,-1.83552e-05
19.5,18.0,21.0,0.000236783,3.31496e-06,-3.31496e-06,1.87462e-05,-1.87462e-05
22.5,21.0,24.0,0.000134626,2.5579e-06,-2.5579e-06,1.54439e-05,-1.54439e-05
25.5,24.0,27.0,7.29821e-05,1.75157e-06,-1.75157e-06,8.14528e-06,-8.14528e-06
28.5,27.0,30.0,4.04702e-05,1.29505e-06,-1.29505e-06,6.15932e-06,-6.15932e-06
31.5,30.0,33.0,2.04019e-05,8.97684e-07,-8.97684e-07,4.82409e-06,-4.82409e-06
34.5,33.0,36.0,9.7611e-06,5.85664e-07,-5.85664e-07,2.32328e-06,-2.32328e-06
37.5,36.0,39.0,5.4596e-06,5.07746e-07,-5.07746e-07,1.27918e-06,-1.27918e-06
40.5,39.0,42.0,-,0,0,0,0
43.5,42.0,45.0,-,0,0,0,0

