#: table_doi: 10.17182/hepdata.58995.v1/t158
#: name: Table 158
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=1.0 and jet PT in the range 6 to 8 GeV.

#: data_file: Table158.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,6.0-8.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0126197,5.04786e-05,-5.04786e-05,0.00113268,-0.00113268
0.75,0.5,1.0,0.0187552,5.62655e-05,-5.62655e-05,0.00140188,-0.00140188
1.5,1.0,2.0,0.0203676,4.07352e-05,-4.07352e-05,0.00117357,-0.00117357
2.5,2.0,3.0,0.0261236,5.22472e-05,-5.22472e-05,0.00169381,-0.00169381
3.5,3.0,4.0,0.0295597,2.95597e-05,-2.95597e-05,0.00265511,-0.00265511
4.5,4.0,5.0,0.0304229,3.04229e-05,-3.04229e-05,0.00291426,-0.00291426
5.5,5.0,6.0,0.0291056,2.91056e-05,-2.91056e-05,0.0026542,-0.0026542
6.5,6.0,7.0,0.0259058,2.59058e-05,-2.59058e-05,0.00232287,-0.00232287
7.5,7.0,8.0,0.0215089,2.15089e-05,-2.15089e-05,0.00185164,-0.00185164
8.5,8.0,9.0,0.016452,1.6452e-05,-1.6452e-05,0.0014244,-0.0014244
9.5,9.0,10.0,0.011927,1.1927e-05,-1.1927e-05,0.00120805,-0.00120805
11.0,10.0,12.0,0.00677088,1.35418e-05,-1.35418e-05,0.000806161,-0.000806161
13.5,12.0,15.0,0.00210909,4.21818e-06,-4.21818e-06,0.00032287,-0.00032287
16.5,15.0,18.0,0.000357143,1.42857e-06,-1.42857e-06,6.10077e-05,-6.10077e-05
19.5,18.0,21.0,4.97945e-05,5.97534e-07,-5.97534e-07,9.33152e-06,-9.33152e-06
22.5,21.0,24.0,8.9863e-06,3.95397e-07,-3.95397e-07,1.76159e-06,-1.76159e-06
25.5,24.0,27.0,1.5928e-06,1.11494e-07,-1.11494e-07,2.71127e-07,-2.71127e-07

#: PT(C=JET) [GeV],,,6.0-8.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0210615,6.31846e-05,-6.31846e-05,0.00192099,-0.00192099
0.75,0.5,1.0,0.0298032,5.96065e-05,-5.96065e-05,0.00180205,-0.00180205
1.5,1.0,2.0,0.0285291,5.70582e-05,-5.70582e-05,0.0012114,-0.0012114
2.5,2.0,3.0,0.0322572,3.22572e-05,-3.22572e-05,0.00172357,-0.00172357
3.5,3.0,4.0,0.0321063,3.21063e-05,-3.21063e-05,0.00234442,-0.00234442
4.5,4.0,5.0,0.0295898,2.95898e-05,-2.95898e-05,0.00251965,-0.00251965
5.5,5.0,6.0,0.0256352,2.56352e-05,-2.56352e-05,0.00213804,-0.00213804
6.5,6.0,7.0,0.0211098,2.11098e-05,-2.11098e-05,0.00169182,-0.00169182
7.5,7.0,8.0,0.0164381,1.64381e-05,-1.64381e-05,0.00124094,-0.00124094
8.5,8.0,9.0,0.01228,1.228e-05,-1.228e-05,0.000917554,-0.000917554
9.5,9.0,10.0,0.00873436,1.74687e-05,-1.74687e-05,0.000728259,-0.000728259
11.0,10.0,12.0,0.00500601,1.0012e-05,-1.0012e-05,0.00055895,-0.00055895
13.5,12.0,15.0,0.00165456,4.96367e-06,-4.96367e-06,0.000235808,-0.000235808
16.5,15.0,18.0,0.000311087,1.55544e-06,-1.55544e-06,5.38837e-05,-5.38837e-05
19.5,18.0,21.0,5.06127e-05,5.06127e-07,-5.06127e-07,9.10339e-06,-9.10339e-06
22.5,21.0,24.0,8.7124e-06,3.3107e-07,-3.3107e-07,1.59031e-06,-1.59031e-06
25.5,24.0,27.0,1.5524e-06,1.00908e-07,-1.00908e-07,3.02619e-07,-3.02619e-07

