#: table_doi: 10.17182/hepdata.58995.v1/t164
#: name: Table 164
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=1.0 and jet PT in the range 31 to 50 GeV.

#: data_file: Table164.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,2.52029e-05,2.50281e-06,-2.50281e-06,2.16452e-06,-2.16452e-06
6.5,4.0,9.0,3.2561e-05,1.87703e-06,-1.87703e-06,2.68656e-06,-2.68656e-06
12.0,9.0,15.0,3.07629e-05,1.86267e-06,-1.86267e-06,3.49993e-06,-3.49993e-06
18.0,15.0,21.0,2.78591e-05,1.82247e-06,-1.82247e-06,4.12668e-06,-4.12668e-06
24.0,21.0,27.0,2.48114e-05,1.61431e-06,-1.61431e-06,4.3912e-06,-4.3912e-06
30.0,27.0,33.0,2.16738e-05,1.44944e-06,-1.44944e-06,4.49622e-06,-4.49622e-06
36.0,33.0,39.0,1.37351e-05,1.06359e-06,-1.06359e-06,4.11164e-06,-4.11164e-06
42.0,39.0,45.0,7.2327e-06,6.93207e-07,-6.93207e-07,2.05153e-06,-2.05153e-06
50.0,45.0,55.0,2.842e-06,4.04438e-07,-4.04438e-07,1.09305e-06,-1.09305e-06

#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,6.81806e-05,4.15754e-06,-4.15754e-06,4.30943e-06,-4.30943e-06
6.5,4.0,9.0,6.77469e-05,2.74815e-06,-2.74815e-06,4.93942e-06,-4.93942e-06
12.0,9.0,15.0,4.2643e-05,2.12733e-06,-2.12733e-06,4.0018e-06,-4.0018e-06
18.0,15.0,21.0,1.87874e-05,1.3935e-06,-1.3935e-06,2.63369e-06,-2.63369e-06
24.0,21.0,27.0,7.921e-06,8.28442e-07,-8.28442e-07,1.52703e-06,-1.52703e-06
30.0,27.0,33.0,3.4211e-06,5.08595e-07,-5.08595e-07,8.08012e-07,-8.08012e-07
36.0,33.0,39.0,1.5928e-06,3.28671e-07,-3.28671e-07,6.28129e-07,-6.28129e-07
42.0,39.0,45.0,-,0,0,0,0
50.0,45.0,55.0,-,0,0,0,0

