#: table_doi: 10.17182/hepdata.58995.v1/t83
#: name: Table 83
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 24 to 31 GeV.

#: data_file: Table83.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,7.45528e-05,7.45528e-06,-7.45528e-06,8.29616e-06,-8.29616e-06
0.55,0.5,0.6,0.000180244,2.27107e-05,-2.27107e-05,1.66284e-05,-1.66284e-05
0.6499999999999999,0.6,0.7,0.000370603,3.22424e-05,-3.22424e-05,2.6378e-05,-2.6378e-05
0.75,0.7,0.8,0.000641097,4.03891e-05,-4.03891e-05,2.54831e-05,-2.54831e-05
0.8500000000000001,0.8,0.9,0.000986895,4.83579e-05,-4.83579e-05,7.28366e-05,-7.28366e-05
0.95,0.9,1.0,0.00135,5.53498e-05,-5.53498e-05,4.16315e-05,-4.16315e-05
1.05,1.0,1.1,0.00167544,6.03157e-05,-6.03157e-05,7.23742e-05,-7.23742e-05
1.15,1.1,1.2,0.00163134,5.54655e-05,-5.54655e-05,6.97098e-05,-6.97098e-05
1.25,1.2,1.3,0.00150955,5.13247e-05,-5.13247e-05,6.11321e-05,-6.11321e-05
1.35,1.3,1.4,0.00141608,4.67308e-05,-4.67308e-05,6.58746e-05,-6.58746e-05
1.5,1.4,1.6,0.00125284,3.88379e-05,-3.88379e-05,5.70832e-05,-5.70832e-05
1.7000000000000002,1.6,1.8,0.00105142,3.46967e-05,-3.46967e-05,7.34713e-05,-7.34713e-05
1.9,1.8,2.0,0.000842089,3.03152e-05,-3.03152e-05,9.6939e-05,-9.6939e-05
2.1,2.0,2.2,0.000576888,2.30755e-05,-2.30755e-05,0.000123762,-0.000123762
2.3,2.2,2.4,0.000399077,1.83575e-05,-1.83575e-05,9.0156e-05,-9.0156e-05
2.5,2.4,2.6,0.000278885,1.42231e-05,-1.42231e-05,6.9491e-05,-6.9491e-05
2.7,2.6,2.8,0.000207583,1.26625e-05,-1.26625e-05,5.455e-05,-5.455e-05
2.9,2.8,3.0,0.000135371,9.61137e-06,-9.61137e-06,3.9796e-05,-3.9796e-05
3.15,3.0,3.3,7.56845e-05,6.13045e-06,-6.13045e-06,2.26233e-05,-2.26233e-05
3.45,3.3,3.6,4.24369e-05,4.20125e-06,-4.20125e-06,1.24754e-05,-1.24754e-05
3.75,3.6,3.9,2.76106e-05,3.31327e-06,-3.31327e-06,8.22433e-06,-8.22433e-06
4.05,3.6,4.5,-,0,0,0,0
4.05,3.9,4.2,2.21357e-05,3.40889e-06,-3.40889e-06,5.49692e-06,-5.49692e-06
4.35,4.2,4.5,1.4552e-05,2.67756e-06,-2.67756e-06,4.14161e-06,-4.14161e-06
4.65,4.5,4.8,8.248e-06,2.02893e-06,-2.02893e-06,2.70577e-06,-2.70577e-06
5.1,4.8,5.4,4.6196e-06,1.02088e-06,-1.02088e-06,1.01493e-06,-1.01493e-06

#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.000162055,1.11818e-05,-1.11818e-05,1.72266e-05,-1.72266e-05
0.55,0.5,0.6,0.000510619,4.18708e-05,-4.18708e-05,4.54394e-05,-4.54394e-05
0.6499999999999999,0.6,0.7,0.000890088,5.0735e-05,-5.0735e-05,8.03844e-05,-8.03844e-05
0.75,0.7,0.8,0.00166709,6.83507e-05,-6.83507e-05,7.32761e-05,-7.32761e-05
0.8500000000000001,0.8,0.9,0.00222179,7.55408e-05,-7.55408e-05,7.5704e-05,-7.5704e-05
0.95,0.9,1.0,0.00264482,8.19895e-05,-8.19895e-05,8.79975e-05,-8.79975e-05
1.05,1.0,1.1,0.00249448,7.48345e-05,-7.48345e-05,7.77703e-05,-7.77703e-05
1.15,1.1,1.2,0.00215266,6.67324e-05,-6.67324e-05,0.000119118,-0.000119118
1.25,1.2,1.3,0.00178607,5.89403e-05,-5.89403e-05,8.50026e-05,-8.50026e-05
1.35,1.3,1.4,0.0013967,5.02812e-05,-5.02812e-05,7.81279e-05,-7.81279e-05
1.5,1.4,1.6,0.000814033,3.01192e-05,-3.01192e-05,5.09926e-05,-5.09926e-05
1.7000000000000002,1.6,1.8,0.000424896,2.08199e-05,-2.08199e-05,3.6216e-05,-3.6216e-05
1.9,1.8,2.0,0.000255177,1.55658e-05,-1.55658e-05,3.23008e-05,-3.23008e-05
2.1,2.0,2.2,0.000144041,1.12352e-05,-1.12352e-05,2.90773e-05,-2.90773e-05
2.3,2.2,2.4,7.7981e-05,7.64214e-06,-7.64214e-06,1.82314e-05,-1.82314e-05
2.5,2.4,2.6,5.19495e-05,6.38979e-06,-6.38979e-06,1.33917e-05,-1.33917e-05
2.7,2.6,2.8,2.84838e-05,4.52892e-06,-4.52892e-06,7.6874e-06,-7.6874e-06
2.9,2.8,3.0,2.24753e-05,4.78724e-06,-4.78724e-06,6.99231e-06,-6.99231e-06
3.15,3.0,3.3,1.0382e-05,2.1387e-06,-2.1387e-06,3.40597e-06,-3.40597e-06
3.45,3.3,3.6,9.1481e-06,2.32362e-06,-2.32362e-06,2.22805e-06,-2.22805e-06
3.75,3.6,3.9,-,0,0,0,0
4.05,3.6,4.5,2.7158e-06,6.70217e-07,-6.70217e-07,5.69885e-07,-5.69885e-07
4.05,3.9,4.2,-,0,0,0,0
4.35,4.2,4.5,-,0,0,0,0
4.65,4.5,4.8,-,0,0,0,0
5.1,4.8,5.4,-,0,0,0,0

