#: table_doi: 10.17182/hepdata.58995.v1/t154
#: name: Table 154
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 31 to 50 GeV.

#: data_file: Table154.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,2.4749e-05,2.7107e-06,-2.7107e-06,1.65471e-06,-1.65471e-06
6.5,4.0,9.0,3.06685e-05,2.04935e-06,-2.04935e-06,2.60029e-06,-2.60029e-06
12.0,9.0,15.0,2.59631e-05,1.89592e-06,-1.89592e-06,2.85116e-06,-2.85116e-06
18.0,15.0,21.0,2.38293e-05,1.87088e-06,-1.87088e-06,3.53835e-06,-3.53835e-06
24.0,21.0,27.0,2.15761e-05,1.69354e-06,-1.69354e-06,4.02587e-06,-4.02587e-06
30.0,27.0,33.0,1.91505e-05,1.53757e-06,-1.53757e-06,4.07976e-06,-4.07976e-06
36.0,33.0,39.0,1.27095e-05,1.14911e-06,-1.14911e-06,3.78531e-06,-3.78531e-06
42.0,39.0,45.0,7.3926e-06,7.95981e-07,-7.95981e-07,2.20684e-06,-2.20684e-06
50.0,45.0,55.0,3.1469e-06,4.59537e-07,-4.59537e-07,1.25735e-06,-1.25735e-06

#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,6.8473e-05,4.63139e-06,-4.63139e-06,3.70173e-06,-3.70173e-06
6.5,4.0,9.0,6.17426e-05,2.9621e-06,-2.9621e-06,3.82737e-06,-3.82737e-06
12.0,9.0,15.0,3.64363e-05,2.20219e-06,-2.20219e-06,2.78549e-06,-2.78549e-06
18.0,15.0,21.0,1.48849e-05,1.39316e-06,-1.39316e-06,1.79183e-06,-1.79183e-06
24.0,21.0,27.0,7.0331e-06,9.04944e-07,-9.04944e-07,1.75184e-06,-1.75184e-06
30.0,27.0,33.0,2.7277e-06,5.06462e-07,-5.06462e-07,7.90409e-07,-7.90409e-07
36.0,33.0,39.0,1.4857e-06,3.66593e-07,-3.66593e-07,6.28908e-07,-6.28908e-07
42.0,39.0,45.0,-,0,0,0,0
50.0,45.0,55.0,-,0,0,0,0

