#: table_doi: 10.17182/hepdata.58995.v1/t107
#: name: Table 107
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=1.0 and jet PT in the range 5 to 6 GeV.

#: data_file: Table107.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0153535,4.60604e-05,-4.60604e-05,0.00245809,-0.00245809
0.55,0.5,0.6,0.0721819,0.000216546,-0.000216546,0.00465335,-0.00465335
0.6499999999999999,0.6,0.7,0.169945,0.00033989,-0.00033989,0.0068063,-0.0068063
0.75,0.7,0.8,0.28875,0.00028875,-0.00028875,0.0119614,-0.0119614
0.8500000000000001,0.8,0.9,0.355333,0.000355333,-0.000355333,0.0139804,-0.0139804
0.95,0.9,1.0,0.325396,0.000325396,-0.000325396,0.0123864,-0.0123864
1.05,1.0,1.1,0.248659,0.000248659,-0.000248659,0.00852723,-0.00852723
1.15,1.1,1.2,0.168447,0.000168447,-0.000168447,0.00630496,-0.00630496
1.25,1.2,1.3,0.10918,0.000218361,-0.000218361,0.00452934,-0.00452934
1.35,1.3,1.4,0.0687057,0.000137411,-0.000137411,0.00300032,-0.00300032
1.5,1.4,1.6,0.0363505,0.000109052,-0.000109052,0.00203693,-0.00203693
1.7000000000000002,1.6,1.8,0.0160248,6.40992e-05,-6.40992e-05,0.00168306,-0.00168306
1.9,1.8,2.0,0.00766255,3.83127e-05,-3.83127e-05,0.0015229,-0.0015229
2.1,2.0,2.2,0.00394187,3.1535e-05,-3.1535e-05,0.000960322,-0.000960322
2.3,2.2,2.4,0.00221275,2.43403e-05,-2.43403e-05,0.000573713,-0.000573713
2.5,2.4,2.6,0.00134937,1.75419e-05,-1.75419e-05,0.000349454,-0.000349454
2.7,2.6,2.8,0.000779255,1.40266e-05,-1.40266e-05,0.000203223,-0.000203223
2.9,2.8,3.0,0.000477779,1.09889e-05,-1.09889e-05,0.000139909,-0.000139909
3.15,3.0,3.3,0.000320473,8.01183e-06,-8.01183e-06,9.39019e-05,-9.39019e-05
3.45,3.3,3.6,0.000153579,5.06811e-06,-5.06811e-06,4.59073e-05,-4.59073e-05
3.75,3.6,3.9,0.000114849,4.82367e-06,-4.82367e-06,3.44331e-05,-3.44331e-05
4.05,3.9,4.2,7.85137e-05,4.08271e-06,-4.08271e-06,2.29914e-05,-2.29914e-05
