#: table_doi: 10.17182/hepdata.58995.v1/t16
#: name: Table 16
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.2 and jet PT in the range 4 to 5 GeV.

#: data_file: Table16.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,4.0-5.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.0157071,0.00010995,-0.00010995,0.00102108,-0.00102108
1.5,1.0,2.0,0.0298116,0.000149058,-0.000149058,0.00142723,-0.00142723
2.5,2.0,3.0,0.0412379,0.000123714,-0.000123714,0.00198199,-0.00198199
3.5,3.0,4.0,0.0490006,0.000147002,-0.000147002,0.00196125,-0.00196125
4.5,4.0,5.0,0.051677,0.000155031,-0.000155031,0.00194047,-0.00194047
5.5,5.0,6.0,0.0507307,0.000152192,-0.000152192,0.0018681,-0.0018681
6.5,6.0,7.0,0.0472535,0.000141761,-0.000141761,0.00188896,-0.00188896
7.5,7.0,8.0,0.042454,0.000127362,-0.000127362,0.00189432,-0.00189432
8.5,8.0,9.0,0.0366003,0.000109801,-0.000109801,0.00131659,-0.00131659
9.5,9.0,10.0,0.0303574,9.10723e-05,-9.10723e-05,0.00127284,-0.00127284
11.0,10.0,12.0,0.022026,6.60781e-05,-6.60781e-05,0.00105288,-0.00105288
13.5,12.0,15.0,0.0119001,4.76005e-05,-4.76005e-05,0.000720523,-0.000720523
16.5,15.0,18.0,0.00486153,2.43076e-05,-2.43076e-05,0.000397993,-0.000397993
19.5,18.0,21.0,0.00180254,1.44203e-05,-1.44203e-05,0.000219274,-0.000219274
22.5,21.0,24.0,0.000589901,8.25862e-06,-8.25862e-06,9.57277e-05,-9.57277e-05
25.5,24.0,27.0,0.000175543,4.38859e-06,-4.38859e-06,3.24442e-05,-3.24442e-05
28.5,27.0,30.0,4.37879e-05,2.18939e-06,-2.18939e-06,9.93145e-06,-9.93145e-06
32.0,30.0,34.0,1.00465e-05,1.11517e-06,-1.11517e-06,2.46765e-06,-2.46765e-06

#: PT(C=JET) [GeV],,,4.0-5.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.0244762,0.000122381,-0.000122381,0.00129238,-0.00129238
1.5,1.0,2.0,0.0427031,0.000170812,-0.000170812,0.00186188,-0.00186188
2.5,2.0,3.0,0.052707,0.000158121,-0.000158121,0.00194874,-0.00194874
3.5,3.0,4.0,0.0560762,0.000168228,-0.000168228,0.00204197,-0.00204197
4.5,4.0,5.0,0.0546594,0.000163978,-0.000163978,0.00205246,-0.00205246
5.5,5.0,6.0,0.0503378,0.000151013,-0.000151013,0.00194437,-0.00194437
6.5,6.0,7.0,0.0443257,0.000132977,-0.000132977,0.00158461,-0.00158461
7.5,7.0,8.0,0.0375554,0.000112666,-0.000112666,0.00153518,-0.00153518
8.5,8.0,9.0,0.0308775,9.26325e-05,-9.26325e-05,0.0013227,-0.0013227
9.5,9.0,10.0,0.0248517,7.45551e-05,-7.45551e-05,0.00105612,-0.00105612
11.0,10.0,12.0,0.0173574,5.20721e-05,-5.20721e-05,0.000861247,-0.000861247
13.5,12.0,15.0,0.00904968,3.61987e-05,-3.61987e-05,0.000568475,-0.000568475
16.5,15.0,18.0,0.0036084,2.16504e-05,-2.16504e-05,0.000320518,-0.000320518
19.5,18.0,21.0,0.00127663,1.27663e-05,-1.27663e-05,0.000166104,-0.000166104
22.5,21.0,24.0,0.000426845,7.6832e-06,-7.6832e-06,6.7336e-05,-6.7336e-05
25.5,24.0,27.0,0.000128803,3.8641e-06,-3.8641e-06,2.79645e-05,-2.79645e-05
28.5,27.0,30.0,3.71847e-05,2.00797e-06,-2.00797e-06,9.07802e-06,-9.07802e-06
32.0,30.0,34.0,8.8727e-06,1.12684e-06,-1.12684e-06,2.19266e-06,-2.19266e-06

