#: table_doi: 10.17182/hepdata.58995.v1/t20
#: name: Table 20
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.2 and jet PT in the range 11 to 14 GeV.

#: data_file: Table20.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,11.0-14.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.000471732,1.88693e-05,-1.88693e-05,3.41965e-05,-3.41965e-05
1.5,1.0,2.0,0.000806148,2.25721e-05,-2.25721e-05,2.74682e-05,-2.74682e-05
2.5,2.0,3.0,0.00114496,2.40441e-05,-2.40441e-05,9.01104e-05,-9.01104e-05
3.5,3.0,4.0,0.00142866,2.42873e-05,-2.42873e-05,5.48875e-05,-5.48875e-05
4.5,4.0,5.0,0.00163734,2.45602e-05,-2.45602e-05,5.98247e-05,-5.98247e-05
5.5,5.0,6.0,0.00180241,2.52338e-05,-2.52338e-05,6.45102e-05,-6.45102e-05
6.5,6.0,7.0,0.00184376,2.39689e-05,-2.39689e-05,7.31489e-05,-7.31489e-05
7.5,7.0,8.0,0.00180865,2.35125e-05,-2.35125e-05,8.35119e-05,-8.35119e-05
8.5,8.0,9.0,0.00172512,2.24265e-05,-2.24265e-05,6.02311e-05,-6.02311e-05
9.5,9.0,10.0,0.00156347,2.03251e-05,-2.03251e-05,6.41404e-05,-6.41404e-05
11.0,10.0,12.0,0.00130545,1.56654e-05,-1.56654e-05,5.7425e-05,-5.7425e-05
13.5,12.0,15.0,0.00092209,1.19872e-05,-1.19872e-05,4.03091e-05,-4.03091e-05
16.5,15.0,18.0,0.000490925,8.34573e-06,-8.34573e-06,3.0131e-05,-3.0131e-05
19.5,18.0,21.0,0.000228553,5.48527e-06,-5.48527e-06,1.84237e-05,-1.84237e-05
22.5,21.0,24.0,0.000102832,3.59911e-06,-3.59911e-06,1.32517e-05,-1.32517e-05
25.5,24.0,27.0,4.66885e-05,2.47449e-06,-2.47449e-06,8.61956e-06,-8.61956e-06
28.5,27.0,30.0,1.73523e-05,1.37083e-06,-1.37083e-06,3.53114e-06,-3.53114e-06
32.0,30.0,34.0,5.356e-06,7.98029e-07,-7.98029e-07,1.18038e-06,-1.18038e-06

#: PT(C=JET) [GeV],,,11.0-14.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00101324,2.73575e-05,-2.73575e-05,5.05403e-05,-5.05403e-05
1.5,1.0,2.0,0.00175998,3.34396e-05,-3.34396e-05,7.38981e-05,-7.38981e-05
2.5,2.0,3.0,0.00211034,3.37654e-05,-3.37654e-05,8.19508e-05,-8.19508e-05
3.5,3.0,4.0,0.00229346,3.21085e-05,-3.21085e-05,8.11186e-05,-8.11186e-05
4.5,4.0,5.0,0.00228151,2.96597e-05,-2.96597e-05,8.33611e-05,-8.33611e-05
5.5,5.0,6.0,0.0021944,2.85273e-05,-2.85273e-05,8.26041e-05,-8.26041e-05
6.5,6.0,7.0,0.00196358,2.55266e-05,-2.55266e-05,6.81055e-05,-6.81055e-05
7.5,7.0,8.0,0.00169325,2.20123e-05,-2.20123e-05,6.76454e-05,-6.76454e-05
8.5,8.0,9.0,0.00143539,2.00954e-05,-2.00954e-05,6.02179e-05,-6.02179e-05
9.5,9.0,10.0,0.00119594,1.67432e-05,-1.67432e-05,5.43726e-05,-5.43726e-05
11.0,10.0,12.0,0.000867434,1.30115e-05,-1.30115e-05,4.77167e-05,-4.77167e-05
13.5,12.0,15.0,0.00049031,8.82558e-06,-8.82558e-06,2.43975e-05,-2.43975e-05
16.5,15.0,18.0,0.000225029,5.40069e-06,-5.40069e-06,1.04366e-05,-1.04366e-05
19.5,18.0,21.0,0.000100262,3.70969e-06,-3.70969e-06,1.01691e-05,-1.01691e-05
22.5,21.0,24.0,4.10872e-05,2.34197e-06,-2.34197e-06,7.37078e-06,-7.37078e-06
25.5,24.0,27.0,1.56378e-05,1.37613e-06,-1.37613e-06,2.71698e-06,-2.71698e-06
28.5,27.0,30.0,5.29e-06,7.45884e-07,-7.45884e-07,1.17249e-06,-1.17249e-06
32.0,30.0,34.0,-,0,0,0,0

