#: table_doi: 10.17182/hepdata.58995.v1/t52
#: name: Table 52
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 19 to 24 GeV.

#: data_file: Table52.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,19.0-24.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,7.05649e-05,3.45768e-06,-3.45768e-06,5.70879e-06,-5.70879e-06
1.5,1.0,2.0,0.000118752,3.91881e-06,-3.91881e-06,6.18422e-06,-6.18422e-06
2.5,2.0,3.0,0.00017042,4.09009e-06,-4.09009e-06,8.07836e-06,-8.07836e-06
3.5,3.0,4.0,0.000232304,4.41378e-06,-4.41378e-06,1.28924e-05,-1.28924e-05
4.5,4.0,5.0,0.000276164,4.41862e-06,-4.41862e-06,1.69228e-05,-1.69228e-05
5.5,5.0,6.0,0.000311043,4.3546e-06,-4.3546e-06,2.3411e-05,-2.3411e-05
6.5,6.0,7.0,0.000341312,4.43706e-06,-4.43706e-06,2.73434e-05,-2.73434e-05
7.5,7.0,8.0,0.000367726,4.41271e-06,-4.41271e-06,2.214e-05,-2.214e-05
8.5,8.0,9.0,0.000386642,4.63971e-06,-4.63971e-06,2.24918e-05,-2.24918e-05
9.5,9.0,10.0,0.000382628,4.2089e-06,-4.2089e-06,2.08207e-05,-2.08207e-05
11.0,10.0,12.0,0.000354875,3.54875e-06,-3.54875e-06,1.93106e-05,-1.93106e-05
13.5,12.0,15.0,0.000285564,2.85564e-06,-2.85564e-06,1.34912e-05,-1.34912e-05
16.5,15.0,18.0,0.000184275,2.21129e-06,-2.21129e-06,1.31534e-05,-1.31534e-05
19.5,18.0,21.0,0.000103001,1.54501e-06,-1.54501e-06,1.09912e-05,-1.09912e-05
22.5,21.0,24.0,5.23448e-05,1.09924e-06,-1.09924e-06,8.13014e-06,-8.13014e-06
25.5,24.0,27.0,2.38035e-05,7.14104e-07,-7.14104e-07,3.72378e-06,-3.72378e-06
28.5,27.0,30.0,9.1273e-06,4.10728e-07,-4.10728e-07,2.47486e-06,-2.47486e-06
32.0,30.0,34.0,3.241e-06,2.75483e-07,-2.75483e-07,1.06325e-06,-1.06325e-06

#: PT(C=JET) [GeV],,,19.0-24.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.000156535,5.16565e-06,-5.16565e-06,1.07623e-05,-1.07623e-05
1.5,1.0,2.0,0.000284513,6.25929e-06,-6.25929e-06,1.76283e-05,-1.76283e-05
2.5,2.0,3.0,0.000378965,6.44241e-06,-6.44241e-06,1.29903e-05,-1.29903e-05
3.5,3.0,4.0,0.00043708,6.11912e-06,-6.11912e-06,2.44726e-05,-2.44726e-05
4.5,4.0,5.0,0.000469809,6.10752e-06,-6.10752e-06,2.64557e-05,-2.64557e-05
5.5,5.0,6.0,0.000464126,5.56952e-06,-5.56952e-06,2.82736e-05,-2.82736e-05
6.5,6.0,7.0,0.00044024,4.84264e-06,-4.84264e-06,2.74365e-05,-2.74365e-05
7.5,7.0,8.0,0.000412272,4.53499e-06,-4.53499e-06,2.33798e-05,-2.33798e-05
8.5,8.0,9.0,0.000375407,4.12948e-06,-4.12948e-06,2.01465e-05,-2.01465e-05
9.5,9.0,10.0,0.000336249,3.69874e-06,-3.69874e-06,1.66469e-05,-1.66469e-05
11.0,10.0,12.0,0.000272842,3.00127e-06,-3.00127e-06,1.30509e-05,-1.30509e-05
13.5,12.0,15.0,0.000179685,2.15622e-06,-2.15622e-06,1.01693e-05,-1.01693e-05
16.5,15.0,18.0,9.74077e-05,1.46112e-06,-1.46112e-06,9.62514e-06,-9.62514e-06
19.5,18.0,21.0,4.71992e-05,9.91184e-07,-9.91184e-07,6.03781e-06,-6.03781e-06
22.5,21.0,24.0,2.11595e-05,6.55945e-07,-6.55945e-07,3.83799e-06,-3.83799e-06
25.5,24.0,27.0,8.7908e-06,4.39538e-07,-4.39538e-07,1.96666e-06,-1.96666e-06
28.5,27.0,30.0,3.4997e-06,2.51979e-07,-2.51979e-07,9.73372e-07,-9.73372e-07
32.0,30.0,34.0,-,0,0,0,0

