#: table_doi: 10.17182/hepdata.58995.v1/t53
#: name: Table 53
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 24 to 31 GeV.

#: data_file: Table53.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,2.46877e-05,1.9997e-06,-1.9997e-06,1.75612e-06,-1.75612e-06
1.5,1.0,2.0,4.99549e-05,2.64761e-06,-2.64761e-06,2.77553e-06,-2.77553e-06
2.5,2.0,3.0,6.66711e-05,2.66684e-06,-2.66684e-06,4.97985e-06,-4.97985e-06
3.5,3.0,4.0,8.28427e-05,2.73381e-06,-2.73381e-06,3.80084e-06,-3.80084e-06
4.5,4.0,5.0,0.0001004,2.81119e-06,-2.81119e-06,5.5092e-06,-5.5092e-06
5.5,5.0,6.0,0.000112403,2.81008e-06,-2.81008e-06,9.52446e-06,-9.52446e-06
6.5,6.0,7.0,0.000127379,2.92971e-06,-2.92971e-06,1.00605e-05,-1.00605e-05
7.5,7.0,8.0,0.000137147,2.88008e-06,-2.88008e-06,8.13802e-06,-8.13802e-06
8.5,8.0,9.0,0.000140837,2.81673e-06,-2.81673e-06,8.19277e-06,-8.19277e-06
9.5,9.0,10.0,0.000141471,2.82941e-06,-2.82941e-06,7.69814e-06,-7.69814e-06
11.0,10.0,12.0,0.000136557,2.45802e-06,-2.45802e-06,7.43074e-06,-7.43074e-06
13.5,12.0,15.0,0.000116576,1.98179e-06,-1.98179e-06,5.50753e-06,-5.50753e-06
16.5,15.0,18.0,7.97872e-05,1.51596e-06,-1.51596e-06,5.48562e-06,-5.48562e-06
19.5,18.0,21.0,4.7757e-05,1.14617e-06,-1.14617e-06,5.43088e-06,-5.43088e-06
22.5,21.0,24.0,2.52519e-05,8.33313e-07,-8.33313e-07,3.82464e-06,-3.82464e-06
25.5,24.0,27.0,1.12881e-05,5.19252e-07,-5.19252e-07,1.76589e-06,-1.76589e-06
28.5,27.0,30.0,4.9577e-06,3.37121e-07,-3.37121e-07,1.38038e-06,-1.38038e-06
32.0,30.0,34.0,1.6089e-06,1.85021e-07,-1.85021e-07,5.27814e-07,-5.27814e-07

#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,5.93397e-05,3.20434e-06,-3.20434e-06,4.97286e-06,-4.97286e-06
1.5,1.0,2.0,0.000119905,4.19668e-06,-4.19668e-06,5.57269e-06,-5.57269e-06
2.5,2.0,3.0,0.000150645,4.21807e-06,-4.21807e-06,5.97666e-06,-5.97666e-06
3.5,3.0,4.0,0.000174603,4.01586e-06,-4.01586e-06,7.94394e-06,-7.94394e-06
4.5,4.0,5.0,0.000188932,3.96757e-06,-3.96757e-06,1.19341e-05,-1.19341e-05
5.5,5.0,6.0,0.00019362,3.67878e-06,-3.67878e-06,1.17949e-05,-1.17949e-05
6.5,6.0,7.0,0.000187298,3.55867e-06,-3.55867e-06,1.16728e-05,-1.16728e-05
7.5,7.0,8.0,0.00017304,3.11472e-06,-3.11472e-06,9.81307e-06,-9.81307e-06
8.5,8.0,9.0,0.000155405,2.95269e-06,-2.95269e-06,8.33989e-06,-8.33989e-06
9.5,9.0,10.0,0.000135127,2.56741e-06,-2.56741e-06,6.6898e-06,-6.6898e-06
11.0,10.0,12.0,0.000104256,2.08512e-06,-2.08512e-06,5.21698e-06,-5.21698e-06
13.5,12.0,15.0,6.61085e-05,1.38828e-06,-1.38828e-06,3.77108e-06,-3.77108e-06
16.5,15.0,18.0,3.44106e-05,9.63498e-07,-9.63498e-07,3.28329e-06,-3.28329e-06
19.5,18.0,21.0,1.52084e-05,6.08337e-07,-6.08337e-07,2.22267e-06,-2.22267e-06
22.5,21.0,24.0,6.196e-06,3.46982e-07,-3.46982e-07,1.37598e-06,-1.37598e-06
25.5,24.0,27.0,3.1283e-06,2.81551e-07,-2.81551e-07,6.65344e-07,-6.65344e-07
28.5,27.0,30.0,1.4072e-06,1.89969e-07,-1.89969e-07,3.61369e-07,-3.61369e-07
32.0,30.0,34.0,-,0,0,0,0

