#: table_doi: 10.17182/hepdata.58995.v1/t73
#: name: Table 73
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.2 and jet PT in the range 24 to 31 GeV.

#: data_file: Table73.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,7.77875e-05,1.08125e-05,-1.08125e-05,7.68129e-06,-7.68129e-06
0.55,0.5,0.6,0.000216361,3.74305e-05,-3.74305e-05,1.50211e-05,-1.50211e-05
0.6499999999999999,0.6,0.7,0.000461889,5.58886e-05,-5.58886e-05,1.80492e-05,-1.80492e-05
0.75,0.7,0.8,0.000615206,5.6599e-05,-5.6599e-05,2.4876e-05,-2.4876e-05
0.8500000000000001,0.8,0.9,0.000992403,7.04606e-05,-7.04606e-05,3.51008e-05,-3.51008e-05
0.95,0.9,1.0,0.00122768,7.48886e-05,-7.48886e-05,4.20828e-05,-4.20828e-05
1.05,1.0,1.1,0.00152914,8.25736e-05,-8.25736e-05,5.63089e-05,-5.63089e-05
1.15,1.1,1.2,0.00155127,8.06659e-05,-8.06659e-05,6.9288e-05,-6.9288e-05
1.25,1.2,1.3,0.00144914,7.39061e-05,-7.39061e-05,4.82152e-05,-4.82152e-05
1.35,1.3,1.4,0.00141169,6.9173e-05,-6.9173e-05,6.28798e-05,-6.28798e-05
1.5,1.4,1.6,0.00132547,5.83206e-05,-5.83206e-05,5.52261e-05,-5.52261e-05
1.7000000000000002,1.6,1.8,0.0011771,5.41467e-05,-5.41467e-05,6.15705e-05,-6.15705e-05
1.9,1.8,2.0,0.00085025,4.25125e-05,-4.25125e-05,4.10944e-05,-4.10944e-05
2.1,2.0,2.2,0.000659201,3.55968e-05,-3.55968e-05,8.50241e-05,-8.50241e-05
2.3,2.2,2.4,0.000508357,3.05014e-05,-3.05014e-05,6.43328e-05,-6.43328e-05
2.5,2.4,2.6,0.000369229,2.43691e-05,-2.43691e-05,3.46053e-05,-3.46053e-05
2.7,2.6,2.8,0.000278156,2.11398e-05,-2.11398e-05,2.6703e-05,-2.6703e-05
2.9,2.8,3.0,0.000184522,1.58689e-05,-1.58689e-05,3.46268e-05,-3.46268e-05
3.15,3.0,3.3,0.000113609,1.13609e-05,-1.13609e-05,1.83033e-05,-1.83033e-05
3.45,3.3,3.6,6.37461e-05,7.64953e-06,-7.64953e-06,1.37233e-05,-1.37233e-05
3.75,3.3,4.2,-,0,0,0,0
3.75,3.6,3.9,4.3882e-05,6.45065e-06,-6.45065e-06,1.24098e-05,-1.24098e-05
4.05,3.9,4.2,3.18161e-05,5.50418e-06,-5.50418e-06,7.80882e-06,-7.80882e-06
4.35,4.2,4.5,2.34509e-05,5.04195e-06,-5.04195e-06,7.30789e-06,-7.30789e-06
4.8,4.5,5.1,1.23007e-05,2.75635e-06,-2.75635e-06,2.56802e-06,-2.56802e-06

#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.2
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
