#: table_doi: 10.17182/hepdata.58995.v1/t44
#: name: Table 44
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.6 and jet PT in the range 31 to 50 GeV.

#: data_file: Table44.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.03494e-05,4.54338e-06,-4.54338e-06,2.3418e-06,-2.3418e-06
1.5,1.0,2.0,2.3301e-05,6.36118e-06,-6.36118e-06,2.09035e-06,-2.09035e-06
2.5,2.0,3.0,3.29516e-05,6.98573e-06,-6.98573e-06,4.06907e-06,-4.06907e-06
3.5,3.0,4.0,3.4314e-05,6.1422e-06,-6.1422e-06,7.51951e-06,-7.51951e-06
4.5,4.0,5.0,4.16627e-05,6.62437e-06,-6.62437e-06,9.2552e-06,-9.2552e-06
5.5,5.0,6.0,4.88128e-05,6.8826e-06,-6.8826e-06,5.63793e-06,-5.63793e-06
6.5,6.0,7.0,5.43964e-05,6.96274e-06,-6.96274e-06,6.50759e-06,-6.50759e-06
7.5,7.0,8.0,5.62546e-05,6.80681e-06,-6.80681e-06,8.11198e-06,-8.11198e-06
8.5,8.0,9.0,5.81665e-05,6.86365e-06,-6.86365e-06,7.089e-06,-7.089e-06
9.5,9.0,10.0,5.92932e-05,6.87802e-06,-6.87802e-06,6.47144e-06,-6.47144e-06
11.0,10.0,12.0,5.63641e-05,5.91823e-06,-5.91823e-06,6.31177e-06,-6.31177e-06
13.5,12.0,15.0,4.93363e-05,4.83496e-06,-4.83496e-06,4.00876e-06,-4.00876e-06
16.5,15.0,18.0,3.89619e-05,4.12996e-06,-4.12996e-06,3.4805e-06,-3.4805e-06
19.5,18.0,21.0,2.53585e-05,3.24589e-06,-3.24589e-06,5.33967e-06,-5.33967e-06
22.5,21.0,24.0,1.42247e-05,2.33286e-06,-2.33286e-06,4.35941e-06,-4.35941e-06
25.5,24.0,27.0,7.8558e-06,1.68114e-06,-1.68114e-06,2.19817e-06,-2.19817e-06
28.5,27.0,30.0,3.99e-06,1.16904e-06,-1.16904e-06,1.84861e-06,-1.84861e-06
32.0,30.0,34.0,1.7111e-06,7.27229e-07,-7.27229e-07,9.1428e-07,-9.1428e-07

#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,3.50708e-05,9.01321e-06,-9.01321e-06,5.60885e-06,-5.60885e-06
1.5,1.0,2.0,5.69785e-05,1.03701e-05,-1.03701e-05,7.45018e-06,-7.45018e-06
2.5,2.0,3.0,7.4308e-05,1.05517e-05,-1.05517e-05,7.68132e-06,-7.68132e-06
3.5,3.0,4.0,9.13833e-05,1.08746e-05,-1.08746e-05,8.03961e-06,-8.03961e-06
4.5,4.0,5.0,9.22926e-05,1.00599e-05,-1.00599e-05,9.21098e-06,-9.21098e-06
5.5,5.0,6.0,8.98571e-05,9.43499e-06,-9.43499e-06,1.085e-05,-1.085e-05
6.5,6.0,7.0,8.33031e-05,8.58022e-06,-8.58022e-06,9.39369e-06,-9.39369e-06
7.5,7.0,8.0,7.59534e-05,7.89915e-06,-7.89915e-06,8.38201e-06,-8.38201e-06
8.5,8.0,9.0,6.7069e-05,7.17639e-06,-7.17639e-06,7.25359e-06,-7.25359e-06
9.5,9.0,10.0,5.5858e-05,6.20024e-06,-6.20024e-06,4.89388e-06,-4.89388e-06
11.0,10.0,12.0,4.43017e-05,5.0947e-06,-5.0947e-06,5.48446e-06,-5.48446e-06
13.5,12.0,15.0,2.69215e-05,3.55364e-06,-3.55364e-06,3.34298e-06,-3.34298e-06
16.5,15.0,18.0,1.25336e-05,2.23097e-06,-2.23097e-06,2.05592e-06,-2.05592e-06
19.5,18.0,21.0,5.8841e-06,1.52987e-06,-1.52987e-06,1.50173e-06,-1.50173e-06
22.5,21.0,24.0,2.7257e-06,1.03305e-06,-1.03305e-06,8.39488e-07,-8.39488e-07
25.5,24.0,27.0,-,0,0,0,0
28.5,27.0,30.0,-,0,0,0,0
32.0,30.0,34.0,-,0,0,0,0

