#: table_doi: 10.17182/hepdata.58995.v1/t32
#: name: Table 32
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 19 to 24 GeV.

#: data_file: Table32.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,19.0-24.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,7.18827e-05,5.03179e-06,-5.03179e-06,7.09203e-06,-7.09203e-06
1.5,1.0,2.0,0.000137856,6.34136e-06,-6.34136e-06,6.71967e-06,-6.71967e-06
2.5,2.0,3.0,0.000185436,6.6757e-06,-6.6757e-06,1.01228e-05,-1.01228e-05
3.5,3.0,4.0,0.000224594,6.51324e-06,-6.51324e-06,1.17521e-05,-1.17521e-05
4.5,4.0,5.0,0.000261093,6.78843e-06,-6.78843e-06,1.02327e-05,-1.02327e-05
5.5,5.0,6.0,0.000297522,6.84302e-06,-6.84302e-06,1.29003e-05,-1.29003e-05
6.5,6.0,7.0,0.000306792,6.74942e-06,-6.74942e-06,1.72104e-05,-1.72104e-05
7.5,7.0,8.0,0.000316458,6.32916e-06,-6.32916e-06,2.46553e-05,-2.46553e-05
8.5,8.0,9.0,0.000328349,6.56698e-06,-6.56698e-06,1.73777e-05,-1.73777e-05
9.5,9.0,10.0,0.000321956,6.43911e-06,-6.43911e-06,1.83571e-05,-1.83571e-05
11.0,10.0,12.0,0.000285789,5.42999e-06,-5.42999e-06,1.49733e-05,-1.49733e-05
13.5,12.0,15.0,0.000210307,3.99583e-06,-3.99583e-06,8.33569e-06,-8.33569e-06
16.5,15.0,18.0,0.000129216,2.97197e-06,-2.97197e-06,5.43169e-06,-5.43169e-06
19.5,18.0,21.0,7.25309e-05,2.17593e-06,-2.17593e-06,6.56555e-06,-6.56555e-06
22.5,21.0,24.0,3.76867e-05,1.54516e-06,-1.54516e-06,4.1611e-06,-4.1611e-06
25.5,24.0,27.0,1.7693e-05,1.06158e-06,-1.06158e-06,3.28004e-06,-3.28004e-06
28.5,27.0,30.0,6.7155e-06,5.84246e-07,-5.84246e-07,1.67601e-06,-1.67601e-06

#: PT(C=JET) [GeV],,,19.0-24.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.000179705,8.08675e-06,-8.08675e-06,1.29475e-05,-1.29475e-05
1.5,1.0,2.0,0.000332123,1.02958e-05,-1.02958e-05,1.53245e-05,-1.53245e-05
2.5,2.0,3.0,0.000401265,1.00316e-05,-1.00316e-05,1.51581e-05,-1.51581e-05
3.5,3.0,4.0,0.000437449,9.62387e-06,-9.62387e-06,1.57238e-05,-1.57238e-05
4.5,4.0,5.0,0.000440476,8.80953e-06,-8.80953e-06,1.91443e-05,-1.91443e-05
5.5,5.0,6.0,0.000429677,8.59354e-06,-8.59354e-06,2.29385e-05,-2.29385e-05
6.5,6.0,7.0,0.000394355,7.49274e-06,-7.49274e-06,1.848e-05,-1.848e-05
7.5,7.0,8.0,0.00034262,6.8524e-06,-6.8524e-06,1.57456e-05,-1.57456e-05
8.5,8.0,9.0,0.000289565,5.79131e-06,-5.79131e-06,1.41265e-05,-1.41265e-05
9.5,9.0,10.0,0.000244577,5.3807e-06,-5.3807e-06,1.19318e-05,-1.19318e-05
11.0,10.0,12.0,0.000189386,4.16649e-06,-4.16649e-06,8.57899e-06,-8.57899e-06
13.5,12.0,15.0,0.000108477,2.82041e-06,-2.82041e-06,6.88383e-06,-6.88383e-06
16.5,15.0,18.0,5.04284e-05,1.765e-06,-1.765e-06,3.76765e-06,-3.76765e-06
19.5,18.0,21.0,2.25679e-05,1.15096e-06,-1.15096e-06,2.399e-06,-2.399e-06
22.5,21.0,24.0,8.6141e-06,6.89129e-07,-6.89129e-07,9.84875e-07,-9.84875e-07
25.5,24.0,27.0,3.8786e-06,4.5767e-07,-4.5767e-07,6.23182e-07,-6.23182e-07
28.5,27.0,30.0,-,0,0,0,0

