#: table_doi: 10.17182/hepdata.58995.v1/t93
#: name: Table 93
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.6 and jet PT in the range 24 to 31 GeV.

#: data_file: Table93.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,5.86153e-05,5.21676e-06,-5.21676e-06,6.61366e-06,-6.61366e-06
0.55,0.5,0.6,0.000160873,1.70525e-05,-1.70525e-05,9.03757e-06,-9.03757e-06
0.6499999999999999,0.6,0.7,0.000377509,2.64256e-05,-2.64256e-05,1.49247e-05,-1.49247e-05
0.75,0.7,0.8,0.000655957,3.27979e-05,-3.27979e-05,2.99306e-05,-2.99306e-05
0.8500000000000001,0.8,0.9,0.00102005,3.87618e-05,-3.87618e-05,3.88154e-05,-3.88154e-05
0.95,0.9,1.0,0.00136988,4.3836e-05,-4.3836e-05,6.10172e-05,-6.10172e-05
1.05,1.0,1.1,0.00168487,4.71765e-05,-4.71765e-05,5.3147e-05,-5.3147e-05
1.15,1.1,1.2,0.00169421,4.40495e-05,-4.40495e-05,5.73284e-05,-5.73284e-05
1.25,1.2,1.3,0.00162655,4.22902e-05,-4.22902e-05,6.84117e-05,-6.84117e-05
1.35,1.3,1.4,0.00154934,3.87335e-05,-3.87335e-05,7.10504e-05,-7.10504e-05
1.5,1.4,1.6,0.00129066,3.09759e-05,-3.09759e-05,5.7893e-05,-5.7893e-05
1.7000000000000002,1.6,1.8,0.000974366,2.53335e-05,-2.53335e-05,7.76809e-05,-7.76809e-05
1.9,1.8,2.0,0.000727636,2.18291e-05,-2.18291e-05,0.000121798,-0.000121798
2.1,2.0,2.2,0.000489706,1.665e-05,-1.665e-05,0.000126569,-0.000126569
2.3,2.2,2.4,0.00032914,1.28365e-05,-1.28365e-05,8.38707e-05,-8.38707e-05
2.5,2.4,2.6,0.000219794,9.89075e-06,-9.89075e-06,5.59725e-05,-5.59725e-05
2.7,2.6,2.8,0.000150968,8.15229e-06,-8.15229e-06,3.87712e-05,-3.87712e-05
2.9,2.8,3.0,0.00010342,6.51545e-06,-6.51545e-06,3.0531e-05,-3.0531e-05
3.15,3.0,3.3,6.44465e-05,4.64015e-06,-4.64015e-06,1.8979e-05,-1.8979e-05
3.45,3.3,3.6,3.52952e-05,3.14127e-06,-3.14127e-06,1.03418e-05,-1.03418e-05
3.5999999999999996,3.3,3.9,-,0,0,0,0
3.75,3.6,3.9,2.12752e-05,2.34028e-06,-2.34028e-06,6.23009e-06,-6.23009e-06
4.05,3.9,4.2,1.6061e-05,2.28067e-06,-2.28067e-06,5.06689e-06,-5.06689e-06
4.35,4.2,4.5,9.728e-06,1.76076e-06,-1.76076e-06,2.83941e-06,-2.83941e-06
4.65,4.5,4.8,5.712e-06,1.27956e-06,-1.27956e-06,1.874e-06,-1.874e-06
5.1,4.8,5.4,4.3546e-06,8.60977e-07,-8.60977e-07,8.63882e-07,-8.63882e-07

#: PT(C=JET) [GeV],,,24.0-31.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00013085,7.98184e-06,-7.98184e-06,1.56583e-05,-1.56583e-05
0.55,0.5,0.6,0.000452872,3.12482e-05,-3.12482e-05,3.17624e-05,-3.17624e-05
0.6499999999999999,0.6,0.7,0.00083215,3.9111e-05,-3.9111e-05,3.37918e-05,-3.37918e-05
0.75,0.7,0.8,0.00159726,5.27096e-05,-5.27096e-05,6.25996e-05,-6.25996e-05
0.8500000000000001,0.8,0.9,0.0022233,6.00292e-05,-6.00292e-05,7.61137e-05,-7.61137e-05
0.95,0.9,1.0,0.00262087,6.29008e-05,-6.29008e-05,8.48044e-05,-8.48044e-05
1.05,1.0,1.1,0.00253783,5.83701e-05,-5.83701e-05,8.00524e-05,-8.00524e-05
1.15,1.1,1.2,0.00216778,5.20266e-05,-5.20266e-05,8.80822e-05,-8.80822e-05
1.25,1.2,1.3,0.00169007,4.39419e-05,-4.39419e-05,0.000104839,-0.000104839
1.35,1.3,1.4,0.00125469,3.51312e-05,-3.51312e-05,8.7819e-05,-8.7819e-05
1.5,1.4,1.6,0.000780316,2.34095e-05,-2.34095e-05,6.12635e-05,-6.12635e-05
1.7000000000000002,1.6,1.8,0.000414844,1.61789e-05,-1.61789e-05,4.2616e-05,-4.2616e-05
1.9,1.8,2.0,0.000226279,1.13139e-05,-1.13139e-05,3.59747e-05,-3.59747e-05
2.1,2.0,2.2,0.000132309,8.60011e-06,-8.60011e-06,3.45761e-05,-3.45761e-05
2.3,2.2,2.4,7.22182e-05,5.84967e-06,-5.84967e-06,2.05186e-05,-2.05186e-05
2.5,2.4,2.6,4.91011e-05,5.05742e-06,-5.05742e-06,1.34587e-05,-1.34587e-05
2.7,2.6,2.8,2.52052e-05,3.25147e-06,-3.25147e-06,6.57909e-06,-6.57909e-06
2.9,2.8,3.0,1.76967e-05,2.93766e-06,-2.93766e-06,5.20462e-06,-5.20462e-06
3.15,3.0,3.3,1.10456e-05,1.97717e-06,-1.97717e-06,3.62368e-06,-3.62368e-06
3.45,3.3,3.6,-,0,0,0,0
3.5999999999999996,3.3,3.9,4.3841e-06,7.54318e-07,-7.54318e-07,9.89052e-07,-9.89052e-07
3.75,3.6,3.9,-,0,0,0,0
4.05,3.9,4.2,-,0,0,0,0
4.35,4.2,4.5,-,0,0,0,0
4.65,4.5,4.8,-,0,0,0,0
5.1,4.8,5.4,-,0,0,0,0

