#: table_doi: 10.17182/hepdata.58995.v1/t101
#: name: Table 101
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 14 to 19 GeV.

#: data_file: Table101.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,14.0-19.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.000489784,1.32242e-05,-1.32242e-05,5.54451e-05,-5.54451e-05
0.55,0.5,0.6,0.00172417,4.82767e-05,-4.82767e-05,0.000107079,-0.000107079
0.6499999999999999,0.6,0.7,0.0043184,6.90944e-05,-6.90944e-05,0.000210275,-0.000210275
0.75,0.7,0.8,0.00934531,9.34531e-05,-9.34531e-05,0.000409064,-0.000409064
0.8500000000000001,0.8,0.9,0.0173971,0.00012178,-0.00012178,0.000689549,-0.000689549
0.95,0.9,1.0,0.0261256,0.000156754,-0.000156754,0.000985873,-0.000985873
1.05,1.0,1.1,0.0309147,0.000154573,-0.000154573,0.00107492,-0.00107492
1.15,1.1,1.2,0.0301759,0.000150879,-0.000150879,0.00110008,-0.00110008
1.25,1.2,1.3,0.0254344,0.000127172,-0.000127172,0.00122614,-0.00122614
1.35,1.3,1.4,0.0194413,0.000116648,-0.000116648,0.00108472,-0.00108472
1.5,1.4,1.6,0.0119608,7.17646e-05,-7.17646e-05,0.000648203,-0.000648203
1.7000000000000002,1.6,1.8,0.00583687,4.66949e-05,-4.66949e-05,0.000498873,-0.000498873
1.9,1.8,2.0,0.00291352,3.20487e-05,-3.20487e-05,0.000563568,-0.000563568
2.1,2.0,2.2,0.00155102,2.32653e-05,-2.32653e-05,0.000392157,-0.000392157
2.3,2.2,2.4,0.000889365,1.68979e-05,-1.68979e-05,0.000231816,-0.000231816
