#: table_doi: 10.17182/hepdata.58995.v1/t127
#: name: Table 127
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 5 to 6 GeV.

#: data_file: Table127.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0119108,8.33759e-05,-8.33759e-05,0.000789627,-0.000789627
0.75,0.5,1.0,0.0160081,9.60483e-05,-9.60483e-05,0.000950695,-0.000950695
1.5,1.0,2.0,0.0157855,6.3142e-05,-6.3142e-05,0.000760331,-0.000760331
2.5,2.0,3.0,0.0191379,5.74138e-05,-5.74138e-05,0.000788381,-0.000788381
3.5,3.0,4.0,0.0210792,6.32377e-05,-6.32377e-05,0.000875994,-0.000875994
4.5,4.0,5.0,0.0215064,6.45193e-05,-6.45193e-05,0.000964678,-0.000964678
5.5,5.0,6.0,0.0211708,6.35124e-05,-6.35124e-05,0.000969938,-0.000969938
6.5,6.0,7.0,0.0198853,3.97706e-05,-3.97706e-05,0.000945126,-0.000945126
7.5,7.0,8.0,0.0179536,3.59072e-05,-3.59072e-05,0.000928219,-0.000928219
8.5,8.0,9.0,0.0157164,4.71492e-05,-4.71492e-05,0.000712631,-0.000712631
9.5,9.0,10.0,0.0133754,4.01263e-05,-4.01263e-05,0.000583788,-0.000583788
11.0,10.0,12.0,0.0101059,3.03177e-05,-3.03177e-05,0.000457787,-0.000457787
13.5,12.0,15.0,0.00575214,1.72564e-05,-1.72564e-05,0.000319593,-0.000319593
16.5,15.0,18.0,0.00255992,1.02397e-05,-1.02397e-05,0.000206499,-0.000206499
19.5,18.0,21.0,0.00101982,6.11891e-06,-6.11891e-06,0.00012144,-0.00012144
22.5,21.0,24.0,0.000367843,3.67843e-06,-3.67843e-06,5.77079e-05,-5.77079e-05
25.5,24.0,27.0,0.000122486,2.20476e-06,-2.20476e-06,2.12082e-05,-2.12082e-05
28.5,27.0,30.0,3.16678e-05,1.04504e-06,-1.04504e-06,5.38306e-06,-5.38306e-06
31.5,30.0,33.0,8.1122e-06,6.48975e-07,-6.48975e-07,1.46422e-06,-1.46422e-06

#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0197445,0.000118467,-0.000118467,0.00143335,-0.00143335
0.75,0.5,1.0,0.0254186,0.000127093,-0.000127093,0.00126864,-0.00126864
1.5,1.0,2.0,0.0224343,6.73028e-05,-6.73028e-05,0.000834,-0.000834
2.5,2.0,3.0,0.0242791,7.28374e-05,-7.28374e-05,0.000823703,-0.000823703
3.5,3.0,4.0,0.0238548,7.15643e-05,-7.15643e-05,0.000949108,-0.000949108
4.5,4.0,5.0,0.0224936,6.74807e-05,-6.74807e-05,0.000931788,-0.000931788
5.5,5.0,6.0,0.0204783,6.1435e-05,-6.1435e-05,0.000962917,-0.000962917
6.5,6.0,7.0,0.0178386,5.35157e-05,-5.35157e-05,0.000739602,-0.000739602
7.5,7.0,8.0,0.0154061,4.62184e-05,-4.62184e-05,0.000614703,-0.000614703
8.5,8.0,9.0,0.0128433,3.85298e-05,-3.85298e-05,0.000532492,-0.000532492
9.5,9.0,10.0,0.0105017,3.1505e-05,-3.1505e-05,0.000424636,-0.000424636
11.0,10.0,12.0,0.00764509,2.29353e-05,-2.29353e-05,0.000359238,-0.000359238
13.5,12.0,15.0,0.00418383,1.67353e-05,-1.67353e-05,0.000247943,-0.000247943
16.5,15.0,18.0,0.00181165,9.05825e-06,-9.05825e-06,0.000151779,-0.000151779
19.5,18.0,21.0,0.000711399,4.97979e-06,-4.97979e-06,8.31667e-05,-8.31667e-05
22.5,21.0,24.0,0.000254232,3.05078e-06,-3.05078e-06,3.8644e-05,-3.8644e-05
25.5,24.0,27.0,8.35421e-05,1.75438e-06,-1.75438e-06,1.46451e-05,-1.46451e-05
28.5,27.0,30.0,2.5857e-05,9.56709e-07,-9.56709e-07,4.86923e-06,-4.86923e-06
31.5,30.0,33.0,7.95e-06,6.91824e-07,-6.91824e-07,1.88027e-06,-1.88027e-06

