#: table_doi: 10.17182/hepdata.58995.v1/t77
#: name: Table 77
#: description: Distribution of the variable PT(C=AVERAGE) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 5 to 6 GeV.

#: data_file: Table77.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DPT(C
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
PT(C=AVERAGE) [GEV],PT(C=AVERAGE) [GEV] LOW,PT(C=AVERAGE) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DPT(C=AVERAGE) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.0111347,7.79426e-05,-7.79426e-05,0.00133011,-0.00133011
0.55,0.5,0.6,0.046044,0.000322308,-0.000322308,0.00357012,-0.00357012
0.6499999999999999,0.6,0.7,0.111156,0.000555782,-0.000555782,0.00421662,-0.00421662
0.75,0.7,0.8,0.217121,0.000651364,-0.000651364,0.0086304,-0.0086304
0.8500000000000001,0.8,0.9,0.32884,0.00065768,-0.00065768,0.0125132,-0.0125132
0.95,0.9,1.0,0.386764,0.000773528,-0.000773528,0.0119271,-0.0119271
1.05,1.0,1.1,0.357811,0.000715623,-0.000715623,0.0115778,-0.0115778
1.15,1.1,1.2,0.276146,0.000552292,-0.000552292,0.00993741,-0.00993741
1.25,1.2,1.3,0.186902,0.000560707,-0.000560707,0.00640941,-0.00640941
1.35,1.3,1.4,0.119973,0.00035992,-0.00035992,0.00558101,-0.00558101
1.5,1.4,1.6,0.0594524,0.00023781,-0.00023781,0.00270884,-0.00270884
1.7000000000000002,1.6,1.8,0.023208,0.000139248,-0.000139248,0.00142006,-0.00142006
1.9,1.8,2.0,0.00983307,8.84977e-05,-8.84977e-05,0.00114575,-0.00114575
2.1,2.0,2.2,0.00468239,6.08711e-05,-6.08711e-05,0.00101343,-0.00101343
2.3,2.2,2.4,0.00245149,4.65784e-05,-4.65784e-05,0.000556333,-0.000556333
2.5,2.4,2.6,0.00135166,3.37916e-05,-3.37916e-05,0.000339448,-0.000339448
2.7,2.6,2.8,0.000924412,2.95812e-05,-2.95812e-05,0.000247301,-0.000247301
2.9,2.8,3.0,0.000576884,2.24985e-05,-2.24985e-05,0.000169967,-0.000169967
3.15,3.0,3.3,0.000329903,1.51755e-05,-1.51755e-05,9.93012e-05,-9.93012e-05
3.45,3.3,3.6,0.000206893,1.24136e-05,-1.24136e-05,6.2029e-05,-6.2029e-05
