#: table_doi: 10.17182/hepdata.58995.v1/t165
#: name: Table 165
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=1.0 and jet PT in the range 50 to 100 GeV.

#: data_file: Table165.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,2.8942e-06,1.02041e-06,-1.02041e-06,3.40929e-07,-3.40929e-07
6.5,4.0,9.0,3.272e-06,6.46447e-07,-6.46447e-07,4.01856e-07,-4.01856e-07
12.0,9.0,15.0,1.9933e-06,5.08846e-07,-5.08846e-07,2.46174e-07,-2.46174e-07
18.0,15.0,21.0,2.124e-06,5.18669e-07,-5.18669e-07,4.63829e-07,-4.63829e-07
24.0,21.0,27.0,2.373e-06,5.71658e-07,-5.71658e-07,5.0322e-07,-5.0322e-07
30.0,27.0,33.0,2.3932e-06,5.8738e-07,-5.8738e-07,5.06498e-07,-5.06498e-07
36.0,33.0,39.0,1.9002e-06,4.9262e-07,-4.9262e-07,5.52997e-07,-5.52997e-07
42.0,39.0,45.0,2.041e-06,5.10403e-07,-5.10403e-07,6.21354e-07,-6.21354e-07
50.0,45.0,55.0,1.64e-06,3.53663e-07,-3.53663e-07,6.15609e-07,-6.15609e-07
62.5,55.0,70.0,1.0501e-06,2.38881e-07,-2.38881e-07,3.45507e-07,-3.45507e-07

#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,1.0
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
2.0,0.0,4.0,9.5004e-06,1.6767e-06,-1.6767e-06,8.36734e-07,-8.36734e-07
6.5,4.0,9.0,8.8201e-06,1.11867e-06,-1.11867e-06,7.6576e-07,-7.6576e-07
12.0,9.0,15.0,5.2199e-06,8.19793e-07,-8.19793e-07,6.01134e-07,-6.01134e-07
18.0,15.0,21.0,1.9955e-06,5.18853e-07,-5.18853e-07,3.59348e-07,-3.59348e-07
24.0,21.0,27.0,1.0992e-06,3.67029e-07,-3.67029e-07,2.42791e-07,-2.42791e-07
30.0,27.0,33.0,-,0,0,0,0
36.0,33.0,39.0,-,0,0,0,0
42.0,39.0,45.0,-,0,0,0,0
50.0,45.0,55.0,-,0,0,0,0
62.5,55.0,70.0,-,0,0,0,0

