#: table_doi: 10.17182/hepdata.58995.v1/t37
#: name: Table 37
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.6 and jet PT in the range 5 to 6 GeV.

#: data_file: Table37.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00636964,3.18482e-05,-3.18482e-05,0.000480349,-0.000480349
1.5,1.0,2.0,0.0136177,4.08532e-05,-4.08532e-05,0.00073397,-0.00073397
2.5,2.0,3.0,0.0201808,4.03616e-05,-4.03616e-05,0.00111343,-0.00111343
3.5,3.0,4.0,0.02498,4.996e-05,-4.996e-05,0.00115747,-0.00115747
4.5,4.0,5.0,0.0272297,5.44594e-05,-5.44594e-05,0.0011891,-0.0011891
5.5,5.0,6.0,0.0268412,5.36825e-05,-5.36825e-05,0.00152429,-0.00152429
6.5,6.0,7.0,0.0247605,4.9521e-05,-4.9521e-05,0.00148046,-0.00148046
7.5,7.0,8.0,0.0214439,4.28877e-05,-4.28877e-05,0.00125826,-0.00125826
8.5,8.0,9.0,0.0173968,3.47936e-05,-3.47936e-05,0.000925798,-0.000925798
9.5,9.0,10.0,0.0136737,2.73474e-05,-2.73474e-05,0.000739392,-0.000739392
11.0,10.0,12.0,0.00867851,1.7357e-05,-1.7357e-05,0.000632758,-0.000632758
13.5,12.0,15.0,0.00348581,1.04574e-05,-1.04574e-05,0.000351358,-0.000351358
16.5,15.0,18.0,0.00083905,4.19525e-06,-4.19525e-06,0.000129624,-0.000129624
19.5,18.0,21.0,0.000155493,1.55493e-06,-1.55493e-06,2.60389e-05,-2.60389e-05
22.5,21.0,24.0,2.20184e-05,5.50459e-07,-5.50459e-07,4.17793e-06,-4.17793e-06
25.5,24.0,27.0,2.7594e-06,3.47678e-07,-3.47678e-07,5.61757e-07,-5.61757e-07

#: PT(C=JET) [GeV],,,5.0-6.0
#: R,,,0.6
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.0102878,4.11512e-05,-4.11512e-05,0.00077028,-0.00077028
1.5,1.0,2.0,0.0194831,5.84493e-05,-5.84493e-05,0.000929489,-0.000929489
2.5,2.0,3.0,0.0255708,5.11417e-05,-5.11417e-05,0.00101867,-0.00101867
3.5,3.0,4.0,0.0281991,5.63982e-05,-5.63982e-05,0.00107008,-0.00107008
4.5,4.0,5.0,0.0279186,5.58373e-05,-5.58373e-05,0.0012882,-0.0012882
5.5,5.0,6.0,0.0259205,5.18409e-05,-5.18409e-05,0.00147633,-0.00147633
6.5,6.0,7.0,0.0224342,4.48684e-05,-4.48684e-05,0.0012643,-0.0012643
7.5,7.0,8.0,0.0183716,3.67431e-05,-3.67431e-05,0.000985236,-0.000985236
8.5,8.0,9.0,0.0144049,2.88098e-05,-2.88098e-05,0.00072898,-0.00072898
9.5,9.0,10.0,0.0109307,2.18613e-05,-2.18613e-05,0.000563751,-0.000563751
11.0,10.0,12.0,0.0067573,1.35146e-05,-1.35146e-05,0.000472962,-0.000472962
13.5,12.0,15.0,0.0026236,7.87081e-06,-7.87081e-06,0.000268109,-0.000268109
16.5,15.0,18.0,0.000632087,3.16044e-06,-3.16044e-06,0.000105447,-0.000105447
19.5,18.0,21.0,0.000125126,1.37639e-06,-1.37639e-06,2.17324e-05,-2.17324e-05
22.5,21.0,24.0,1.97172e-05,7.49254e-07,-7.49254e-07,3.94058e-06,-3.94058e-06
25.5,24.0,27.0,1.7823e-06,1.37238e-07,-1.37238e-07,4.92997e-07,-4.92997e-07

