#: table_doi: 10.17182/hepdata.58995.v1/t149
#: name: Table 149
#: description: Distribution of the variable SUM(PT) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 8 to 11 GeV.

#: data_file: Table149.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DSUM(PT)
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,8.0-11.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00439992,3.51993e-05,-3.51993e-05,0.000373423,-0.000373423
0.75,0.5,1.0,0.0061486,3.68916e-05,-3.68916e-05,0.00042354,-0.00042354
1.5,1.0,2.0,0.00631792,2.52717e-05,-2.52717e-05,0.000363925,-0.000363925
2.5,2.0,3.0,0.00832215,2.49664e-05,-2.49664e-05,0.000469077,-0.000469077
3.5,3.0,4.0,0.00997347,2.99204e-05,-2.99204e-05,0.000729496,-0.000729496
4.5,4.0,5.0,0.0111055,2.22111e-05,-2.22111e-05,0.000841241,-0.000841241
5.5,5.0,6.0,0.0118877,2.37755e-05,-2.37755e-05,0.00087897,-0.00087897
6.5,6.0,7.0,0.0120021,2.40043e-05,-2.40043e-05,0.000826233,-0.000826233
7.5,7.0,8.0,0.0117672,2.35344e-05,-2.35344e-05,0.000766948,-0.000766948
8.5,8.0,9.0,0.0111078,2.22156e-05,-2.22156e-05,0.000697142,-0.000697142
9.5,9.0,10.0,0.0100423,2.00846e-05,-2.00846e-05,0.000694809,-0.000694809
11.0,10.0,12.0,0.00821124,1.64225e-05,-1.64225e-05,0.000554244,-0.000554244
13.5,12.0,15.0,0.00515431,1.03086e-05,-1.03086e-05,0.000412828,-0.000412828
16.5,15.0,18.0,0.00241704,7.25111e-06,-7.25111e-06,0.000254674,-0.000254674
19.5,18.0,21.0,0.000923081,3.69232e-06,-3.69232e-06,0.000134529,-0.000134529
22.5,21.0,24.0,0.000306234,2.14364e-06,-2.14364e-06,5.77687e-05,-5.77687e-05
25.5,24.0,27.0,8.11221e-05,1.05459e-06,-1.05459e-06,1.62317e-05,-1.62317e-05
28.5,27.0,30.0,1.7708e-05,3.71867e-07,-3.71867e-07,3.49646e-06,-3.49646e-06
31.5,30.0,33.0,3.9972e-06,2.19843e-07,-2.19843e-07,8.66452e-07,-8.66452e-07

#: PT(C=JET) [GeV],,,8.0-11.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
SUM(PT) [GEV],SUM(PT) [GEV] LOW,SUM(PT) [GEV] HIGH,(1/N(C=EVENTS)*D(N)/DSUM(PT) [GEV**-1],stat +,stat -,sys +,sys -
0.25,0.0,0.5,0.00814854,4.88912e-05,-4.88912e-05,0.000646103,-0.000646103
0.75,0.5,1.0,0.0111681,5.58407e-05,-5.58407e-05,0.00067074,-0.00067074
1.5,1.0,2.0,0.0107908,3.23724e-05,-3.23724e-05,0.000441237,-0.000441237
2.5,2.0,3.0,0.0125096,3.75287e-05,-3.75287e-05,0.000614116,-0.000614116
3.5,3.0,4.0,0.0132741,2.65482e-05,-2.65482e-05,0.000752772,-0.000752772
4.5,4.0,5.0,0.0132563,2.65126e-05,-2.65126e-05,0.00085593,-0.00085593
5.5,5.0,6.0,0.0126678,2.53356e-05,-2.53356e-05,0.000795656,-0.000795656
6.5,6.0,7.0,0.0117146,2.34292e-05,-2.34292e-05,0.000746893,-0.000746893
7.5,7.0,8.0,0.0104737,2.09474e-05,-2.09474e-05,0.000629119,-0.000629119
8.5,8.0,9.0,0.00913956,1.82791e-05,-1.82791e-05,0.000508869,-0.000508869
9.5,9.0,10.0,0.00788389,1.57678e-05,-1.57678e-05,0.000465684,-0.000465684
11.0,10.0,12.0,0.00601094,1.20219e-05,-1.20219e-05,0.000318523,-0.000318523
13.5,12.0,15.0,0.00349596,6.99193e-06,-6.99193e-06,0.000293244,-0.000293244
16.5,15.0,18.0,0.00155723,4.67169e-06,-4.67169e-06,0.000161194,-0.000161194
19.5,18.0,21.0,0.00060082,3.0041e-06,-3.0041e-06,8.80873e-05,-8.80873e-05
22.5,21.0,24.0,0.00020416,1.63328e-06,-1.63328e-06,4.02749e-05,-4.02749e-05
25.5,24.0,27.0,6.05086e-05,9.07628e-07,-9.07628e-07,1.38625e-05,-1.38625e-05
28.5,27.0,30.0,1.59306e-05,4.61988e-07,-4.61988e-07,3.75851e-06,-3.75851e-06
31.5,30.0,33.0,3.546e-06,2.48222e-07,-2.48222e-07,9.10044e-07,-9.10044e-07

