#: table_doi: 10.17182/hepdata.58995.v1/t55
#: name: Table 55
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.8 and jet PT in the range 50 to 100 GeV.

#: data_file: Table55.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.8866e-06,2.45074e-06,-2.45074e-06,4.55909e-07,-4.55909e-07
1.5,1.0,2.0,1.9977e-06,1.8459e-06,-1.8459e-06,5.34969e-07,-5.34969e-07
2.5,2.0,3.0,2.7022e-06,1.84831e-06,-1.84831e-06,8.32665e-07,-8.32665e-07
3.5,3.0,4.0,5.0754e-06,2.48186e-06,-2.48186e-06,1.01988e-06,-1.01988e-06
4.5,4.0,5.0,4.6551e-06,1.94118e-06,-1.94118e-06,7.24947e-07,-7.24947e-07
5.5,5.0,6.0,5.1031e-06,1.89326e-06,-1.89326e-06,1.45007e-06,-1.45007e-06
6.5,6.0,7.0,5.7823e-06,2.04692e-06,-2.04692e-06,1.36698e-06,-1.36698e-06
7.5,7.0,8.0,6.0001e-06,2.01003e-06,-2.01003e-06,9.74481e-07,-9.74481e-07
8.5,8.0,9.0,6.1196e-06,2.03169e-06,-2.03169e-06,1.55391e-06,-1.55391e-06
9.5,9.0,10.0,6.3406e-06,2.12411e-06,-2.12411e-06,9.62154e-07,-9.62154e-07
11.0,10.0,12.0,6.8009e-06,1.92467e-06,-1.92467e-06,1.46721e-06,-1.46721e-06
13.5,12.0,15.0,8.1568e-06,1.84345e-06,-1.84345e-06,9.69342e-07,-9.69342e-07
16.5,15.0,18.0,7.2635e-06,1.64881e-06,-1.64881e-06,8.78768e-07,-8.78768e-07
19.5,18.0,21.0,4.7624e-06,1.27157e-06,-1.27157e-06,1.42042e-06,-1.42042e-06
22.5,21.0,24.0,3.2705e-06,1.04655e-06,-1.04655e-06,9.77735e-07,-9.77735e-07
25.5,24.0,27.0,2.224e-06,8.51867e-07,-8.51867e-07,5.41896e-07,-5.41896e-07
28.5,27.0,30.0,1.358e-06,6.65177e-07,-6.65177e-07,7.56026e-07,-7.56026e-07

#: PT(C=JET) [GeV],,,50.0-100.0
#: R,,,0.8
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,4.9937e-06,3.17602e-06,-3.17602e-06,7.31037e-07,-7.31037e-07
1.5,1.0,2.0,7.6769e-06,3.3932e-06,-3.3932e-06,7.2023e-07,-7.2023e-07
2.5,2.0,3.0,8.8915e-06,3.34321e-06,-3.34321e-06,9.93432e-07,-9.93432e-07
3.5,3.0,4.0,1.20988e-05,3.72644e-06,-3.72644e-06,2.05859e-06,-2.05859e-06
4.5,4.0,5.0,1.37654e-05,3.68913e-06,-3.68913e-06,1.59391e-06,-1.59391e-06
5.5,5.0,6.0,1.31121e-05,3.44848e-06,-3.44848e-06,1.8359e-06,-1.8359e-06
6.5,6.0,7.0,1.13116e-05,2.90709e-06,-2.90709e-06,1.62792e-06,-1.62792e-06
7.5,7.0,8.0,1.18838e-05,2.95907e-06,-2.95907e-06,1.89479e-06,-1.89479e-06
8.5,8.0,9.0,1.2164e-05,2.99234e-06,-2.99234e-06,2.48816e-06,-2.48816e-06
9.5,9.0,10.0,9.9895e-06,2.56731e-06,-2.56731e-06,1.33334e-06,-1.33334e-06
11.0,10.0,12.0,7.0256e-06,1.77046e-06,-1.77046e-06,8.47568e-07,-8.47568e-07
13.5,12.0,15.0,3.9476e-06,1.16455e-06,-1.16455e-06,8.49275e-07,-8.49275e-07
16.5,15.0,18.0,1.9489e-06,7.93217e-07,-7.93217e-07,4.98093e-07,-4.98093e-07
19.5,18.0,21.0,-,0,0,0,0
22.5,21.0,24.0,-,0,0,0,0
25.5,24.0,27.0,-,0,0,0,0
28.5,27.0,30.0,-,0,0,0,0

