#: table_doi: 10.17182/hepdata.58995.v1/t34
#: name: Table 34
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 31 to 50 GeV.

#: data_file: Table34.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.30543e-05,6.09638e-06,-6.09638e-06,1.77362e-06,-1.77362e-06
1.5,1.0,2.0,2.76012e-05,8.66678e-06,-8.66678e-06,3.38855e-06,-3.38855e-06
2.5,2.0,3.0,4.09507e-05,1.01148e-05,-1.01148e-05,7.90132e-06,-7.90132e-06
3.5,3.0,4.0,3.98548e-05,8.48906e-06,-8.48906e-06,8.34086e-06,-8.34086e-06
4.5,4.0,5.0,4.47084e-05,8.44989e-06,-8.44989e-06,3.50783e-06,-3.50783e-06
5.5,5.0,6.0,5.26841e-05,8.85093e-06,-8.85093e-06,5.91294e-06,-5.91294e-06
6.5,6.0,7.0,6.09879e-05,9.27015e-06,-9.27015e-06,8.56817e-06,-8.56817e-06
7.5,7.0,8.0,6.48658e-05,9.27581e-06,-9.27581e-06,8.72547e-06,-8.72547e-06
8.5,8.0,9.0,6.62109e-05,9.20331e-06,-9.20331e-06,7.04384e-06,-7.04384e-06
9.5,9.0,10.0,6.56411e-05,8.99283e-06,-8.99283e-06,8.01311e-06,-8.01311e-06
11.0,10.0,12.0,6.05947e-05,7.69553e-06,-7.69553e-06,7.2521e-06,-7.2521e-06
13.5,12.0,15.0,5.6191e-05,6.46196e-06,-6.46196e-06,5.29364e-06,-5.29364e-06
16.5,15.0,18.0,4.53691e-05,5.53502e-06,-5.53502e-06,4.41481e-06,-4.41481e-06
19.5,18.0,21.0,2.78187e-05,4.22844e-06,-4.22844e-06,4.91669e-06,-4.91669e-06
22.5,21.0,24.0,1.62236e-05,3.06626e-06,-3.06626e-06,3.91323e-06,-3.91323e-06
25.5,24.0,27.0,9.68e-06,2.39096e-06,-2.39096e-06,2.90362e-06,-2.90362e-06
28.5,27.0,30.0,5.0052e-06,1.66675e-06,-1.66675e-06,2.30244e-06,-2.30244e-06
32.0,30.0,34.0,2.3929e-06,1.12947e-06,-1.12947e-06,1.14712e-06,-1.14712e-06

#: PT(C=JET) [GeV],,,31.0-50.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,4.11064e-05,1.21264e-05,-1.21264e-05,5.59844e-06,-5.59844e-06
1.5,1.0,2.0,6.15634e-05,1.34824e-05,-1.34824e-05,7.98711e-06,-7.98711e-06
2.5,2.0,3.0,8.91049e-05,1.47023e-05,-1.47023e-05,6.73907e-06,-6.73907e-06
3.5,3.0,4.0,0.000113326,1.54123e-05,-1.54123e-05,8.23586e-06,-8.23586e-06
4.5,4.0,5.0,0.000109245,1.38741e-05,-1.38741e-05,1.22635e-05,-1.22635e-05
5.5,5.0,6.0,0.000102502,1.26077e-05,-1.26077e-05,1.20652e-05,-1.20652e-05
6.5,6.0,7.0,9.46765e-05,1.15505e-05,-1.15505e-05,9.14886e-06,-9.14886e-06
7.5,7.0,8.0,8.78232e-05,1.06266e-05,-1.06266e-05,9.65617e-06,-9.65617e-06
8.5,8.0,9.0,7.86311e-05,9.90752e-06,-9.90752e-06,1.00134e-05,-1.00134e-05
9.5,9.0,10.0,6.36806e-05,8.34216e-06,-8.34216e-06,7.0722e-06,-7.0722e-06
11.0,10.0,12.0,4.73218e-05,6.43577e-06,-6.43577e-06,5.30405e-06,-5.30405e-06
13.5,12.0,15.0,2.87508e-05,4.51388e-06,-4.51388e-06,2.47017e-06,-2.47017e-06
16.5,15.0,18.0,1.32267e-05,2.90988e-06,-2.90988e-06,3.49104e-06,-3.49104e-06
19.5,18.0,21.0,5.2e-06,1.79331e-06,-1.79331e-06,1.46318e-06,-1.46318e-06
22.5,21.0,24.0,2.625e-06,1.28898e-06,-1.28898e-06,8.2628e-07,-8.2628e-07
25.5,24.0,27.0,-,0,0,0,0
28.5,27.0,30.0,-,0,0,0,0
32.0,30.0,34.0,-,0,0,0,0

