#: table_doi: 10.17182/hepdata.58995.v1/t29
#: name: Table 29
#: description: Distribution of the variable N(C=CHARGED) in the AWAY and TRANSVERSE regions for R=0.4 and jet PT in the range 8 to 11 GeV.

#: data_file: Table29.yaml
#: keyword reactions: P P --> JET(S) X | P P --> CHARGED X
#: keyword observables: DN/DN(C
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering | Jet Production
#: keyword cmenergies: 7000.0
#: PT(C=JET) [GeV],,,8.0-11.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,AWAY
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00185304,2.59425e-05,-2.59425e-05,0.000141839,-0.000141839
1.5,1.0,2.0,0.00358365,3.22529e-05,-3.22529e-05,0.000195498,-0.000195498
2.5,2.0,3.0,0.00517888,3.62522e-05,-3.62522e-05,0.000308828,-0.000308828
3.5,3.0,4.0,0.00652344,3.26172e-05,-3.26172e-05,0.0002937,-0.0002937
4.5,4.0,5.0,0.00759406,3.79703e-05,-3.79703e-05,0.000297625,-0.000297625
5.5,5.0,6.0,0.0080808,3.23232e-05,-3.23232e-05,0.000350375,-0.000350375
6.5,6.0,7.0,0.00811979,3.24792e-05,-3.24792e-05,0.00042565,-0.00042565
7.5,7.0,8.0,0.00778087,3.11235e-05,-3.11235e-05,0.000432871,-0.000432871
8.5,8.0,9.0,0.00724386,2.89754e-05,-2.89754e-05,0.000383377,-0.000383377
9.5,9.0,10.0,0.00654075,2.6163e-05,-2.6163e-05,0.000372938,-0.000372938
11.0,10.0,12.0,0.00523518,2.09407e-05,-2.09407e-05,0.000274286,-0.000274286
13.5,12.0,15.0,0.00332228,1.32891e-05,-1.32891e-05,0.000157309,-0.000157309
16.5,15.0,18.0,0.00167782,1.00669e-05,-1.00669e-05,0.000119349,-0.000119349
19.5,18.0,21.0,0.000750338,6.75304e-06,-6.75304e-06,7.41811e-05,-7.41811e-05
22.5,21.0,24.0,0.000295688,3.84394e-06,-3.84394e-06,4.04779e-05,-4.04779e-05
25.5,24.0,27.0,0.000104637,2.30202e-06,-2.30202e-06,1.99688e-05,-1.99688e-05
28.5,27.0,30.0,3.32946e-05,1.2652e-06,-1.2652e-06,8.30946e-06,-8.30946e-06
32.0,30.0,34.0,9.0395e-06,6.32763e-07,-6.32763e-07,2.16659e-06,-2.16659e-06

#: PT(C=JET) [GeV],,,8.0-11.0
#: R,,,0.4
#: RE,,,P P --> JET(S) < CHARGED X > X
#: SQRT(S) [GeV],,,7000.0
#: ,,,TRANSVERSE
N(C=CHARGED),N(C=CHARGED) LOW,N(C=CHARGED) HIGH,(1/N(C=EVENTS)*D(N)/DN(C=CHARGED),stat +,stat -,sys +,sys -
0.5,0.0,1.0,0.00351461,3.51461e-05,-3.51461e-05,0.000232868,-0.000232868
1.5,1.0,2.0,0.00640884,4.48619e-05,-4.48619e-05,0.000339124,-0.000339124
2.5,2.0,3.0,0.00811486,4.05743e-05,-4.05743e-05,0.000328927,-0.000328927
3.5,3.0,4.0,0.00909676,4.54838e-05,-4.54838e-05,0.000326978,-0.000326978
4.5,4.0,5.0,0.00922437,3.68975e-05,-3.68975e-05,0.000363515,-0.000363515
5.5,5.0,6.0,0.00882102,3.52841e-05,-3.52841e-05,0.000424785,-0.000424785
6.5,6.0,7.0,0.00800491,3.20196e-05,-3.20196e-05,0.000375122,-0.000375122
7.5,7.0,8.0,0.0071588,2.86352e-05,-2.86352e-05,0.000328993,-0.000328993
8.5,8.0,9.0,0.00615807,2.46323e-05,-2.46323e-05,0.000300423,-0.000300423
9.5,9.0,10.0,0.00524514,2.62257e-05,-2.62257e-05,0.000255885,-0.000255885
11.0,10.0,12.0,0.0039352,1.9676e-05,-1.9676e-05,0.000182722,-0.000182722
13.5,12.0,15.0,0.00227214,1.13607e-05,-1.13607e-05,0.000123618,-0.000123618
16.5,15.0,18.0,0.00104171,7.29196e-06,-7.29196e-06,8.23345e-05,-8.23345e-05
19.5,18.0,21.0,0.000442671,4.86938e-06,-4.86938e-06,5.63202e-05,-5.63202e-05
22.5,21.0,24.0,0.000169175,3.04516e-06,-3.04516e-06,2.40247e-05,-2.40247e-05
25.5,24.0,27.0,5.91164e-05,1.71438e-06,-1.71438e-06,1.27088e-05,-1.27088e-05
28.5,27.0,30.0,1.78804e-05,9.47662e-07,-9.47662e-07,5.11986e-06,-5.11986e-06
32.0,30.0,34.0,3.8969e-06,3.74101e-07,-3.74101e-07,1.09009e-06,-1.09009e-06

