#: table_doi: 10.17182/hepdata.70547.v2/t65
#: name: Table 65
#: description: Trans.max. scalar pT sum distribution, Z-boson pT = 50 - 110 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table77.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.10025,0.0955,0.105,0.3941479,0.03055023,-0.03055023
0.11075,0.105,0.1165,0.3918808,0.02832556,-0.02832556
0.12225,0.1165,0.128,0.3969837,0.0271337,-0.0271337
0.13369999999999999,0.128,0.1394,0.3456331,0.02756348,-0.02756348
0.1461,0.1394,0.1528,0.2716549,0.02517443,-0.02517443
0.16044999999999998,0.1528,0.1681,0.2478611,0.02207993,-0.02207993
0.17765,0.1681,0.1872,0.2257736,0.01939742,-0.01939742
0.19675,0.1872,0.2063,0.2148872,0.01680899,-0.01680899
0.21775,0.2063,0.2292,0.2715737,0.01484249,-0.01484249
0.24064999999999998,0.2292,0.2521,0.3324858,0.01436213,-0.01436213
0.26165,0.2521,0.2712,0.3302577,0.01473166,-0.01473166
0.28359999999999996,0.2712,0.296,0.3244848,0.0145229,-0.0145229
0.31035,0.296,0.3247,0.2997199,0.01519297,-0.01519297
0.3438,0.3247,0.3629,0.3534068,0.01313447,-0.01313447
0.382,0.3629,0.4011,0.3725387,0.01287425,-0.01287425
0.4202,0.4011,0.4393,0.3509393,0.01281015,-0.01281015
0.45840000000000003,0.4393,0.4775,0.3704016,0.01294797,-0.01294797
0.50615,0.4775,0.5348,0.4064077,0.01194141,-0.01194141
0.56345,0.5348,0.5921,0.3886625,0.01070534,-0.01070534
0.6207499999999999,0.5921,0.6494,0.3967885,0.01083817,-0.01083817
0.6779999999999999,0.6494,0.7066,0.396436,0.009982598,-0.009982598
0.7448,0.7066,0.783,0.4048544,0.008789043,-0.008789043
0.8212,0.783,0.8594,0.4060315,0.00829731,-0.00829731
0.8976,0.8594,0.9358,0.3864529,0.008430308,-0.008430308
0.9931,0.9358,1.0504,0.3809492,0.007732003,-0.007732003
1.0934,1.0504,1.1364,0.3596003,0.007522054,-0.007522054
1.1937,1.1364,1.251,0.3496696,0.00644381,-0.00644381
1.31305,1.251,1.3751,0.3335149,0.005818416,-0.005818416
1.4419499999999998,1.3751,1.5088,0.3115037,0.005564269,-0.005564269
1.5852,1.5088,1.6616,0.2819813,0.005268172,-0.005268172
1.74755,1.6616,1.8335,0.2544497,0.00457168,-0.00457168
1.9242,1.8335,2.0149,0.2267113,0.004206018,-0.004206018
2.11515,2.0149,2.2154,0.2015127,0.004012304,-0.004012304
2.33,2.2154,2.4446,0.1707622,0.003441424,-0.003441424
2.564,2.4446,2.6834,0.1459869,0.002986726,-0.002986726
2.81705,2.6834,2.9507,0.1229879,0.002581888,-0.002581888
3.09875,2.9507,3.2468,0.1005785,0.002287709,-0.002287709
3.4091,3.2468,3.5714,0.08044233,0.001974269,-0.001974269
3.7481,3.5714,3.9248,0.06357873,0.001665527,-0.001665527
4.12055,3.9248,4.3163,0.05155361,0.001473883,-0.001473883
4.5359,4.3163,4.7555,0.03974317,0.001232857,-0.001232857
4.994249999999999,4.7555,5.233,0.02978972,0.001142913,-0.001142913
5.49085,5.233,5.7487,0.02268898,0.0009078357,-0.0009078357
6.03515,5.7487,6.3216,0.01867892,0.0007524763,-0.0007524763
6.641500000000001,6.3216,6.9614,0.01489005,0.0006173727,-0.0006173727
7.309950000000001,6.9614,7.6585,0.01169072,0.0005572243,-0.0005572243
8.0405,7.6585,8.4225,0.008474346,0.0004813908,-0.0004813908
8.842649999999999,8.4225,9.2628,0.006163627,0.00039169,-0.00039169
9.725950000000001,9.2628,10.1891,0.005105255,0.0003305408,-0.0003305408
10.7,10.1891,11.2109,0.003836521,0.0002506926,-0.0002506926
11.7695,11.2109,12.3281,0.002762877,0.0002297792,-0.0002297792
12.94405,12.3281,13.56,0.002030188,0.0001908582,-0.0001908582
14.238,13.56,14.916,0.001508671,0.0001592578,-0.0001592578
15.66085,14.916,16.4057,0.001012726,0.000128579,-0.000128579
17.226950000000002,16.4057,18.0482,0.0008838623,0.000107275,-0.000107275
18.955350000000003,18.0482,19.8625,0.0005604619,7.813826e-05,-7.813826e-05

