#: table_doi: 10.17182/hepdata.70547.v2/t44
#: name: Table 44
#: description: Transverse scalar pT sum distribution, Z-boson pT = 20 - 50 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table50.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,1.092906,0.03909302,-0.03909302
0.0554,0.0525,0.0583,0.9157782,0.03504872,-0.03504872
0.061149999999999996,0.0583,0.064,0.7209201,0.03304819,-0.03304819
0.06684999999999999,0.064,0.0697,0.6175574,0.03321058,-0.03321058
0.07305,0.0697,0.0764,0.5409588,0.02667366,-0.02667366
0.0802,0.0764,0.084,0.4411218,0.02295406,-0.02295406
0.0888,0.084,0.0936,0.3002419,0.01888749,-0.01888749
0.09834999999999999,0.0936,0.1031,0.3501641,0.01822969,-0.01822969
0.10885,0.1031,0.1146,0.5114547,0.01614889,-0.01614889
0.12034999999999998,0.1146,0.1261,0.5207204,0.01659699,-0.01659699
0.13085,0.1261,0.1356,0.5695639,0.01794889,-0.01794889
0.14179999999999998,0.1356,0.148,0.5078185,0.01657687,-0.01657687
0.15515,0.148,0.1623,0.5164756,0.01586252,-0.01586252
0.17185,0.1623,0.1814,0.531658,0.01405662,-0.01405662
0.19095,0.1814,0.2005,0.5428951,0.0128923,-0.0128923
0.21005000000000001,0.2005,0.2196,0.5668699,0.01285853,-0.01285853
0.22915,0.2196,0.2387,0.583967,0.01252721,-0.01252721
0.25305,0.2387,0.2674,0.5757245,0.01201671,-0.01201671
0.2817,0.2674,0.296,0.5935568,0.01192178,-0.01192178
0.31035,0.296,0.3247,0.5821281,0.01134677,-0.01134677
0.33899999999999997,0.3247,0.3533,0.6087959,0.01149903,-0.01149903
0.3724,0.3533,0.3915,0.5930208,0.01092791,-0.01092791
0.4106,0.3915,0.4297,0.6213465,0.01165248,-0.01165248
0.4488,0.4297,0.4679,0.6017559,0.01082753,-0.01082753
0.49655,0.4679,0.5252,0.6034386,0.009602804,-0.009602804
0.5467,0.5252,0.5682,0.5868843,0.008970084,-0.008970084
0.59685,0.5682,0.6255,0.5764206,0.007865818,-0.007865818
0.6565,0.6255,0.6875,0.5673953,0.006936371,-0.006936371
0.72095,0.6875,0.7544,0.551334,0.006089854,-0.006089854
0.7926,0.7544,0.8308,0.5240815,0.005453534,-0.005453534
0.87375,0.8308,0.9167,0.4990326,0.004895816,-0.004895816
0.9621,0.9167,1.0075,0.4757083,0.004619414,-0.004619414
1.0575999999999999,1.0075,1.1077,0.4332116,0.004446768,-0.004446768
1.165,1.1077,1.2223,0.3942987,0.004507457,-0.004507457
1.282,1.2223,1.3417,0.3549326,0.004623221,-0.004623221
1.40855,1.3417,1.4754,0.3162543,0.004249856,-0.004249856
1.5493999999999999,1.4754,1.6234,0.2727877,0.003966722,-0.003966722
1.70455,1.6234,1.7857,0.2316667,0.003638131,-0.003638131
1.87405,1.7857,1.9624,0.1912444,0.003265446,-0.003265446
2.06025,1.9624,2.1581,0.1535196,0.002874173,-0.002874173
2.26795,2.1581,2.3778,0.1220673,0.002428943,-0.002428943
2.49715,2.3778,2.6165,0.09361465,0.002019829,-0.002019829
2.7454,2.6165,2.8743,0.07000207,0.001725367,-0.001725367
3.01755,2.8743,3.1608,0.05324197,0.001441241,-0.001441241
3.3207500000000003,3.1608,3.4807,0.03846791,0.001171029,-0.001171029
3.6550000000000002,3.4807,3.8293,0.02681843,0.0009431573,-0.0009431573
4.02025,3.8293,4.2112,0.01750624,0.0007120643,-0.0007120643
4.4213000000000005,4.2112,4.6314,0.01183277,0.0005345315,-0.0005345315
4.86295,4.6314,5.0945,0.008081434,0.0004326783,-0.0004326783
5.34995,5.0945,5.6054,0.005786699,0.0003498863,-0.0003498863
5.88475,5.6054,6.1641,0.003917405,0.0002674748,-0.0002674748
6.47205,6.1641,6.78,0.002754267,0.000208796,-0.000208796
7.119,6.78,7.458,0.001871428,0.0001682612,-0.0001682612
7.8304,7.458,8.2028,0.001393479,0.0001228759,-0.0001228759
8.61345,8.2028,9.0241,0.0009737763,9.520065e-05,-9.520065e-05
9.4777,9.0241,9.9313,0.000665869,8.363818e-05,-8.363818e-05

