#: table_doi: 10.17182/hepdata.70547.v2/t79
#: name: Table 79
#: description: Towards scalar pT sum distribution, Z-boson pT = 20 - 50 GeV, Dressed leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table91.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Dressed leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,1.531711,0.04186947,-0.04186947
0.0554,0.0525,0.0583,1.222624,0.03719049,-0.03719049
0.061149999999999996,0.0583,0.064,1.098959,0.03518715,-0.03518715
0.06684999999999999,0.064,0.0697,0.8889712,0.04278951,-0.04278951
0.07305,0.0697,0.0764,0.7198336,0.03157155,-0.03157155
0.0802,0.0764,0.084,0.5344288,0.0263735,-0.0263735
0.0888,0.084,0.0936,0.4134727,0.02296228,-0.02296228
0.09834999999999999,0.0936,0.1031,0.4312397,0.01938997,-0.01938997
0.10885,0.1031,0.1146,0.6721111,0.01768242,-0.01768242
0.12034999999999998,0.1146,0.1261,0.7238072,0.01668551,-0.01668551
0.13085,0.1261,0.1356,0.6724723,0.01843087,-0.01843087
0.14179999999999998,0.1356,0.148,0.6120632,0.01776692,-0.01776692
0.15515,0.148,0.1623,0.6079526,0.01690344,-0.01690344
0.17185,0.1623,0.1814,0.6310385,0.01474149,-0.01474149
0.19095,0.1814,0.2005,0.6779005,0.0147856,-0.0147856
0.21005000000000001,0.2005,0.2196,0.6630513,0.01507706,-0.01507706
0.22915,0.2196,0.2387,0.6573114,0.0146796,-0.0146796
0.25305,0.2387,0.2674,0.6660906,0.01267313,-0.01267313
0.2817,0.2674,0.296,0.6827858,0.01305547,-0.01305547
0.31035,0.296,0.3247,0.6615934,0.01315863,-0.01315863
0.33899999999999997,0.3247,0.3533,0.6868039,0.01234606,-0.01234606
0.3724,0.3533,0.3915,0.6780041,0.0120177,-0.0120177
0.4106,0.3915,0.4297,0.6650465,0.01214365,-0.01214365
0.4488,0.4297,0.4679,0.6636746,0.01098222,-0.01098222
0.49655,0.4679,0.5252,0.6499196,0.009810199,-0.009810199
0.5467,0.5252,0.5682,0.6325646,0.008805776,-0.008805776
0.59685,0.5682,0.6255,0.6173324,0.007685122,-0.007685122
0.6565,0.6255,0.6875,0.5936472,0.006656236,-0.006656236
0.72095,0.6875,0.7544,0.5652043,0.006013032,-0.006013032
0.7926,0.7544,0.8308,0.5345151,0.005277089,-0.005277089
0.87375,0.8308,0.9167,0.5024117,0.005011686,-0.005011686
0.9621,0.9167,1.0075,0.46588,0.00497032,-0.00497032
1.0575999999999999,1.0075,1.1077,0.4218706,0.004422755,-0.004422755
1.165,1.1077,1.2223,0.3822937,0.004394302,-0.004394302
1.282,1.2223,1.3417,0.3331757,0.004250357,-0.004250357
1.40855,1.3417,1.4754,0.2886789,0.003926618,-0.003926618
1.5493999999999999,1.4754,1.6234,0.2444962,0.003643275,-0.003643275
1.70455,1.6234,1.7857,0.1997579,0.003450785,-0.003450785
1.87405,1.7857,1.9624,0.1594059,0.003167687,-0.003167687
2.06025,1.9624,2.1581,0.125261,0.002859721,-0.002859721
2.26795,2.1581,2.3778,0.09703402,0.002416554,-0.002416554
2.49715,2.3778,2.6165,0.06977537,0.002006796,-0.002006796
2.7454,2.6165,2.8743,0.04986236,0.001635969,-0.001635969
3.01755,2.8743,3.1608,0.03499323,0.001359865,-0.001359865
3.3207500000000003,3.1608,3.4807,0.02313938,0.001093604,-0.001093604
3.6550000000000002,3.4807,3.8293,0.01504299,0.0009031408,-0.0009031408
4.02025,3.8293,4.2112,0.009735016,0.0008311666,-0.0008311666
4.4213000000000005,4.2112,4.6314,0.006486111,0.0005897195,-0.0005897195
4.86295,4.6314,5.0945,0.00430898,0.0004213983,-0.0004213983
5.34995,5.0945,5.6054,0.002795002,0.0003107796,-0.0003107796
5.88475,5.6054,6.1641,0.001846909,0.0002464638,-0.0002464638
6.47205,6.1641,6.78,0.00123212,0.0001690342,-0.0001690342

