#: table_doi: 10.17182/hepdata.70547.v2/t21
#: name: Table 21
#: description: Towards charged multiplicity distribution, Z-boson pT = 50 - 110 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table21.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.4761153,0.01391051,-0.01391051
0.19095,0.1432,0.2387,0.6044826,0.0144064,-0.0144064
0.28645,0.2387,0.3342,0.6815866,0.01470819,-0.01470819
0.38195,0.3342,0.4297,0.7224983,0.01499049,-0.01499049
0.47745000000000004,0.4297,0.5252,0.7202419,0.0140553,-0.0140553
0.5729500000000001,0.5252,0.6207,0.7189698,0.0128478,-0.0128478
0.66845,0.6207,0.7162,0.700184,0.01192745,-0.01192745
0.7639499999999999,0.7162,0.8117,0.6544908,0.01118629,-0.01118629
0.85945,0.8117,0.9072,0.6177719,0.01001503,-0.01001503
0.95495,0.9072,1.0027,0.5705847,0.009531593,-0.009531593
1.05045,1.0027,1.0982,0.5232959,0.00839703,-0.00839703
1.14595,1.0982,1.1937,0.4587302,0.007342951,-0.007342951
1.24145,1.1937,1.2892,0.4082811,0.007312206,-0.007312206
1.3369,1.2892,1.3846,0.3611,0.007401055,-0.007401055
1.43235,1.3846,1.4801,0.3053581,0.007570754,-0.007570754
1.52785,1.4801,1.5756,0.2587926,0.007998994,-0.007998994
1.6233499999999998,1.5756,1.6711,0.2209841,0.008165237,-0.008165237
1.71885,1.6711,1.7666,0.1900966,0.008065726,-0.008065726
1.8143500000000001,1.7666,1.8621,0.1634643,0.00793994,-0.00793994
1.90985,1.8621,1.9576,0.1364493,0.00742829,-0.00742829
2.00535,1.9576,2.0531,0.1078649,0.007154374,-0.007154374
2.1008500000000003,2.0531,2.1486,0.08874897,0.006444237,-0.006444237
2.19635,2.1486,2.2441,0.07698864,0.006292313,-0.006292313
2.29185,2.2441,2.3396,0.06530103,0.005877877,-0.005877877
2.3873499999999996,2.3396,2.4351,0.05418161,0.004909579,-0.004909579
2.48285,2.4351,2.5306,0.04624984,0.004164551,-0.004164551
2.5783500000000004,2.5306,2.6261,0.03634782,0.003385768,-0.003385768
2.72155,2.6261,2.817,0.02797342,0.002708486,-0.002708486
2.9125,2.817,3.008,0.01902466,0.00236259,-0.00236259
3.1035,3.008,3.199,0.01131884,0.001481557,-0.001481557
3.2945,3.199,3.39,0.006573082,0.00102832,-0.00102832
3.4855,3.39,3.581,0.004841974,0.0008479682,-0.0008479682
3.9391,3.581,4.2972,0.001496307,0.0005930191,-0.0005930191
4.5359,4.2972,4.7746,0.0007019979,0.0002359325,-0.0002359325

