#: table_doi: 10.17182/hepdata.70547.v2/t38
#: name: Table 38
#: description: Trans.max. charged multiplicity distribution, Z-boson pT = 20 - 50 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table44.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.191,0.0955,0.2865,0.3519406,0.008392154,-0.008392154
0.382,0.2865,0.4775,0.5076243,0.007685948,-0.007685948
0.573,0.4775,0.6685,0.5807034,0.006964056,-0.006964056
0.76395,0.6685,0.8594,0.5928885,0.006225021,-0.006225021
0.9549000000000001,0.8594,1.0504,0.5667023,0.005297755,-0.005297755
1.1459000000000001,1.0504,1.2414,0.5135116,0.004181699,-0.004181699
1.3369,1.2414,1.4324,0.4424265,0.003085306,-0.003085306
1.5278999999999998,1.4324,1.6234,0.3659993,0.003321924,-0.003321924
1.7189,1.6234,1.8144,0.2931848,0.004063684,-0.004063684
1.9099,1.8144,2.0054,0.232935,0.00463782,-0.00463782
2.10085,2.0054,2.1963,0.1794957,0.00493747,-0.00493747
2.2918000000000003,2.1963,2.3873,0.1367116,0.004780091,-0.004780091
2.4828,2.3873,2.5783,0.1020361,0.004474614,-0.004474614
2.6738,2.5783,2.7693,0.07461837,0.004003808,-0.004003808
2.8648,2.7693,2.9603,0.05438699,0.003417581,-0.003417581
3.0558,2.9603,3.1513,0.03808209,0.002744624,-0.002744624
3.2468,3.1513,3.3423,0.02704039,0.00210822,-0.00210822
3.43775,3.3423,3.5332,0.01959508,0.001661377,-0.001661377
3.6287000000000003,3.5332,3.7242,0.01433677,0.001360367,-0.001360367
3.8197,3.7242,3.9152,0.01018199,0.001092095,-0.001092095
4.0107,3.9152,4.1062,0.007135422,0.0008420772,-0.0008420772
4.201700000000001,4.1062,4.2972,0.004805848,0.0006417178,-0.0006417178
4.3927,4.2972,4.4882,0.003500655,0.0004702246,-0.0004702246
4.5837,4.4882,4.6792,0.002426498,0.0003831427,-0.0003831427
4.774649999999999,4.6792,4.8701,0.001689766,0.0002917544,-0.0002917544
4.9656,4.8701,5.0611,0.001033842,0.0002331522,-0.0002331522
5.1566,5.0611,5.2521,0.0008888873,0.0001918264,-0.0001918264

