#: table_doi: 10.17182/hepdata.70547.v2/t66
#: name: Table 66
#: description: Trans.max. scalar pT sum distribution, Z-boson pT = 110 - 500 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table78.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Trans-max region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,110.0-500.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.10025,0.0955,0.105,0.3485899,0.05412382,-0.05412382
0.11075,0.105,0.1165,0.3292548,0.055008,-0.055008
0.12225,0.1165,0.128,0.2927173,0.04390434,-0.04390434
0.13369999999999999,0.128,0.1394,0.3208741,0.04775861,-0.04775861
0.1461,0.1394,0.1528,0.2672495,0.04251112,-0.04251112
0.16044999999999998,0.1528,0.1681,0.1944458,0.03959886,-0.03959886
0.17765,0.1681,0.1872,0.1944618,0.03771088,-0.03771088
0.19675,0.1872,0.2063,0.2032595,0.03164464,-0.03164464
0.21775,0.2063,0.2292,0.2705977,0.03011021,-0.03011021
0.24064999999999998,0.2292,0.2521,0.2534805,0.02926191,-0.02926191
0.26165,0.2521,0.2712,0.2983907,0.0313317,-0.0313317
0.28359999999999996,0.2712,0.296,0.2585535,0.02996614,-0.02996614
0.31035,0.296,0.3247,0.2606837,0.0292048,-0.0292048
0.3438,0.3247,0.3629,0.2777373,0.02798636,-0.02798636
0.382,0.3629,0.4011,0.3056544,0.02568874,-0.02568874
0.4202,0.4011,0.4393,0.2923339,0.02658143,-0.02658143
0.45840000000000003,0.4393,0.4775,0.2880957,0.02771204,-0.02771204
0.50615,0.4775,0.5348,0.2989254,0.02343163,-0.02343163
0.56345,0.5348,0.5921,0.3311842,0.02212273,-0.02212273
0.6207499999999999,0.5921,0.6494,0.3620366,0.0207621,-0.0207621
0.6779999999999999,0.6494,0.7066,0.332335,0.02195792,-0.02195792
0.7448,0.7066,0.783,0.3411064,0.0207014,-0.0207014
0.8212,0.783,0.8594,0.3486504,0.01898148,-0.01898148
0.8976,0.8594,0.9358,0.3354889,0.01718912,-0.01718912
0.9931,0.9358,1.0504,0.3214774,0.01621949,-0.01621949
1.0934,1.0504,1.1364,0.3308353,0.01614365,-0.01614365
1.1937,1.1364,1.251,0.3089649,0.01349658,-0.01349658
1.31305,1.251,1.3751,0.3031449,0.01350784,-0.01350784
1.4419499999999998,1.3751,1.5088,0.2938985,0.01188455,-0.01188455
1.5852,1.5088,1.6616,0.2701893,0.0112279,-0.0112279
1.74755,1.6616,1.8335,0.2551958,0.01030052,-0.01030052
1.9242,1.8335,2.0149,0.2242766,0.00890692,-0.00890692
2.11515,2.0149,2.2154,0.188102,0.007833909,-0.007833909
2.33,2.2154,2.4446,0.1676685,0.00749027,-0.00749027
2.564,2.4446,2.6834,0.143707,0.006586514,-0.006586514
2.81705,2.6834,2.9507,0.1187088,0.00578806,-0.00578806
3.09875,2.9507,3.2468,0.1025741,0.005266738,-0.005266738
3.4091,3.2468,3.5714,0.08446564,0.004513955,-0.004513955
3.7481,3.5714,3.9248,0.07594714,0.003937443,-0.003937443
4.12055,3.9248,4.3163,0.06438491,0.003380613,-0.003380613
4.5359,4.3163,4.7555,0.04737187,0.00310242,-0.00310242
4.994249999999999,4.7555,5.233,0.03763981,0.002744105,-0.002744105
5.49085,5.233,5.7487,0.03114354,0.002234182,-0.002234182
6.03515,5.7487,6.3216,0.02403901,0.001953997,-0.001953997
6.641500000000001,6.3216,6.9614,0.01929677,0.001767171,-0.001767171
7.309950000000001,6.9614,7.6585,0.01828487,0.0014157,-0.0014157
8.0405,7.6585,8.4225,0.01291112,0.001292462,-0.001292462
8.842649999999999,8.4225,9.2628,0.01175115,0.001154744,-0.001154744
9.725950000000001,9.2628,10.1891,0.008261926,0.0008515986,-0.0008515986
10.7,10.1891,11.2109,0.008052054,0.0008078915,-0.0008078915
11.7695,11.2109,12.3281,0.007519952,0.0006695677,-0.0006695677
12.94405,12.3281,13.56,0.005600277,0.0006134358,-0.0006134358
14.238,13.56,14.916,0.004332717,0.0005874452,-0.0005874452
15.66085,14.916,16.4057,0.004228485,0.0004447541,-0.0004447541
17.226950000000002,16.4057,18.0482,0.002850031,0.0003542753,-0.0003542753
18.955350000000003,18.0482,19.8625,0.001795279,0.0003150145,-0.0003150145

