#: table_doi: 10.17182/hepdata.70547.v2/t15
#: name: Table 15
#: description: Towards scalar pT sum distribution, Z-boson pT = 110 - 500 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table15.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,110.0-500.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,1.153654,0.1572925,-0.1572925
0.0554,0.0525,0.0583,1.01453,0.1478453,-0.1478453
0.061149999999999996,0.0583,0.064,0.7911894,0.1252303,-0.1252303
0.06684999999999999,0.064,0.0697,0.5185757,0.1353322,-0.1353322
0.07305,0.0697,0.0764,0.5014188,0.1068136,-0.1068136
0.0802,0.0764,0.084,0.4029228,0.09120737,-0.09120737
0.0888,0.084,0.0936,0.3460548,0.07417231,-0.07417231
0.09834999999999999,0.0936,0.1031,0.3085955,0.06495783,-0.06495783
0.10885,0.1031,0.1146,0.4734568,0.06631295,-0.06631295
0.12034999999999998,0.1146,0.1261,0.4984878,0.05469088,-0.05469088
0.13085,0.1261,0.1356,0.5457665,0.0492267,-0.0492267
0.14179999999999998,0.1356,0.148,0.5369822,0.05087434,-0.05087434
0.15515,0.148,0.1623,0.4200322,0.04938342,-0.04938342
0.17185,0.1623,0.1814,0.481861,0.04573545,-0.04573545
0.19095,0.1814,0.2005,0.3940471,0.04270056,-0.04270056
0.21005000000000001,0.2005,0.2196,0.4901346,0.04421575,-0.04421575
0.22915,0.2196,0.2387,0.515175,0.04049199,-0.04049199
0.25305,0.2387,0.2674,0.5673251,0.04302027,-0.04302027
0.2817,0.2674,0.296,0.6091945,0.04425882,-0.04425882
0.31035,0.296,0.3247,0.5489726,0.03996019,-0.03996019
0.33899999999999997,0.3247,0.3533,0.5272795,0.03823981,-0.03823981
0.3724,0.3533,0.3915,0.5567435,0.03643312,-0.03643312
0.4106,0.3915,0.4297,0.5465151,0.03288634,-0.03288634
0.4488,0.4297,0.4679,0.5706382,0.03454905,-0.03454905
0.49655,0.4679,0.5252,0.5284838,0.03244443,-0.03244443
0.5467,0.5252,0.5682,0.5894674,0.03271459,-0.03271459
0.59685,0.5682,0.6255,0.5169008,0.02657761,-0.02657761
0.6565,0.6255,0.6875,0.5142779,0.02537161,-0.02537161
0.72095,0.6875,0.7544,0.500643,0.02305907,-0.02305907
0.7926,0.7544,0.8308,0.488085,0.02150474,-0.02150474
0.87375,0.8308,0.9167,0.4654995,0.01860382,-0.01860382
0.9621,0.9167,1.0075,0.4317154,0.01814829,-0.01814829
1.0575999999999999,1.0075,1.1077,0.4025856,0.01638357,-0.01638357
1.165,1.1077,1.2223,0.3774848,0.01463068,-0.01463068
1.282,1.2223,1.3417,0.3333423,0.01362699,-0.01362699
1.40855,1.3417,1.4754,0.2971232,0.01225267,-0.01225267
1.5493999999999999,1.4754,1.6234,0.2589608,0.01151351,-0.01151351
1.70455,1.6234,1.7857,0.2285324,0.01014301,-0.01014301
1.87405,1.7857,1.9624,0.1964179,0.009149098,-0.009149098
2.06025,1.9624,2.1581,0.1543977,0.01012706,-0.01012706
2.26795,2.1581,2.3778,0.1299723,0.00804517,-0.00804517
2.49715,2.3778,2.6165,0.09988162,0.006254853,-0.006254853
2.7454,2.6165,2.8743,0.07491841,0.005720476,-0.005720476
3.01755,2.8743,3.1608,0.06027305,0.004202028,-0.004202028
3.3207500000000003,3.1608,3.4807,0.0442131,0.003438074,-0.003438074
3.6550000000000002,3.4807,3.8293,0.03206266,0.003070044,-0.003070044
4.02025,3.8293,4.2112,0.03072632,0.002320465,-0.002320465
4.4213000000000005,4.2112,4.6314,0.02391805,0.002191882,-0.002191882
4.86295,4.6314,5.0945,0.01751656,0.001742504,-0.001742504
5.34995,5.0945,5.6054,0.01409338,0.001686944,-0.001686944
5.88475,5.6054,6.1641,0.01007969,0.00146308,-0.00146308
6.47205,6.1641,6.78,0.007650062,0.001004367,-0.001004367
7.119,6.78,7.458,0.005546536,0.0009332926,-0.0009332926
7.8304,7.458,8.2028,0.005194225,0.0008851696,-0.0008851696
8.61345,8.2028,9.0241,0.00279482,0.0007455565,-0.0007455565
9.4777,9.0241,9.9313,0.001973266,0.0005128363,-0.0005128363

