#: table_doi: 10.17182/hepdata.70547.v2/t27
#: name: Table 27
#: description: Transverse charged multiplicity distribution, Z-boson pT = 50 - 110 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table27.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D2N/DETARAP/DPHI
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Transverse region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,50.0-110.0
N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)),N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) LOW,N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI)) HIGH,1/N(EVT)*D(N(EVT))/D(N(P=3)/DELTA(ETARAP)/DELTA(DELTA(PHI))),error +,error -
0.09545,0.0477,0.1432,0.3245963,0.01222211,-0.01222211
0.19095,0.1432,0.2387,0.4450828,0.01233519,-0.01233519
0.28645,0.2387,0.3342,0.54208,0.01247268,-0.01247268
0.38195,0.3342,0.4297,0.60314,0.01252023,-0.01252023
0.47745000000000004,0.4297,0.5252,0.6539437,0.01268271,-0.01268271
0.5729500000000001,0.5252,0.6207,0.6716539,0.01181727,-0.01181727
0.66845,0.6207,0.7162,0.6782794,0.01164472,-0.01164472
0.7639499999999999,0.7162,0.8117,0.648,0.01061301,-0.01061301
0.85945,0.8117,0.9072,0.6146061,0.009584743,-0.009584743
0.95495,0.9072,1.0027,0.5784694,0.00867603,-0.00867603
1.05045,1.0027,1.0982,0.5367,0.007692747,-0.007692747
1.14595,1.0982,1.1937,0.4957499,0.006981718,-0.006981718
1.24145,1.1937,1.2892,0.4521969,0.006617953,-0.006617953
1.3369,1.2892,1.3846,0.4073967,0.006778166,-0.006778166
1.43235,1.3846,1.4801,0.3643859,0.006897734,-0.006897734
1.52785,1.4801,1.5756,0.3229482,0.006847318,-0.006847318
1.6233499999999998,1.5756,1.6711,0.2859451,0.00687153,-0.00687153
1.71885,1.6711,1.7666,0.2444744,0.00688289,-0.00688289
1.8143500000000001,1.7666,1.8621,0.2115628,0.007406812,-0.007406812
1.90985,1.8621,1.9576,0.1780907,0.007224433,-0.007224433
2.00535,1.9576,2.0531,0.1551894,0.007006093,-0.007006093
2.1008500000000003,2.0531,2.1486,0.1356075,0.006982721,-0.006982721
2.19635,2.1486,2.2441,0.1157489,0.006450852,-0.006450852
2.29185,2.2441,2.3396,0.1019571,0.0060296,-0.0060296
2.3873499999999996,2.3396,2.4351,0.08682126,0.00522767,-0.00522767
2.48285,2.4351,2.5306,0.07611246,0.004512743,-0.004512743
2.5783500000000004,2.5306,2.6261,0.06105789,0.003917046,-0.003917046
2.72155,2.6261,2.817,0.04623275,0.003372726,-0.003372726
2.9125,2.817,3.008,0.0325308,0.002706484,-0.002706484
3.1035,3.008,3.199,0.02285689,0.00214959,-0.00214959
3.2945,3.199,3.39,0.01664062,0.001430184,-0.001430184
3.4855,3.39,3.581,0.01181091,0.001195467,-0.001195467
3.9391,3.581,4.2972,0.004251329,0.0009372287,-0.0009372287
4.5359,4.2972,4.7746,0.00203465,0.0003734422,-0.0003734422

