#: table_doi: 10.17182/hepdata.70547.v2/t13
#: name: Table 13
#: description: Towards scalar pT sum distribution, Z-boson pT = 20 - 50 GeV, Born leptons : Statistical and systematic errors are added in quadrature.

#: data_file: Table13.yaml
#: keyword reactions: P P --> CHARGED Z < E+ E- + MU+ MU- > X
#: keyword observables: D3N/DETARAP/DPHI/DPT
#: keyword phrases: Inclusive | Proton-Proton Scattering | Muon production | Electron production
#: - Born leptons,,,
#: - Toward region,,,
#: ABS(ETARAP(P=3)),,,< 2.5
#: PT(P=3) [GEV],,,> 0.5
#: PT(P=4) [GeV],,,20.0-50.0
SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV],SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] LOW,SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI)) [GEV] HIGH,1/N(EVT)*D(N(EVT))/D(SUM(PT(P=3))/DELTA(ETARAP)/DELTA(DELTA(PHI))) [GEV**-1],error +,error -
0.0501,0.0477,0.0525,1.523133,0.0413114,-0.0413114
0.0554,0.0525,0.0583,1.222944,0.03677391,-0.03677391
0.061149999999999996,0.0583,0.064,1.104055,0.0347619,-0.0347619
0.06684999999999999,0.064,0.0697,0.8924162,0.04206184,-0.04206184
0.07305,0.0697,0.0764,0.7257697,0.03130803,-0.03130803
0.0802,0.0764,0.084,0.5348352,0.02629164,-0.02629164
0.0888,0.084,0.0936,0.416864,0.02275544,-0.02275544
0.09834999999999999,0.0936,0.1031,0.4344044,0.0194331,-0.0194331
0.10885,0.1031,0.1146,0.6748232,0.01832433,-0.01832433
0.12034999999999998,0.1146,0.1261,0.7285679,0.01710029,-0.01710029
0.13085,0.1261,0.1356,0.6721757,0.01831246,-0.01831246
0.14179999999999998,0.1356,0.148,0.6130334,0.01775211,-0.01775211
0.15515,0.148,0.1623,0.6078364,0.01679044,-0.01679044
0.17185,0.1623,0.1814,0.6303854,0.01459067,-0.01459067
0.19095,0.1814,0.2005,0.67895,0.01458862,-0.01458862
0.21005000000000001,0.2005,0.2196,0.6618759,0.01490742,-0.01490742
0.22915,0.2196,0.2387,0.659705,0.01452191,-0.01452191
0.25305,0.2387,0.2674,0.6655172,0.0124105,-0.0124105
0.2817,0.2674,0.296,0.6823397,0.01270647,-0.01270647
0.31035,0.296,0.3247,0.6656198,0.01301338,-0.01301338
0.33899999999999997,0.3247,0.3533,0.6872714,0.01224696,-0.01224696
0.3724,0.3533,0.3915,0.6781271,0.01192735,-0.01192735
0.4106,0.3915,0.4297,0.6683158,0.01208821,-0.01208821
0.4488,0.4297,0.4679,0.6653266,0.010875,-0.010875
0.49655,0.4679,0.5252,0.653034,0.00977453,-0.00977453
0.5467,0.5252,0.5682,0.6353059,0.008796693,-0.008796693
0.59685,0.5682,0.6255,0.6196495,0.007626833,-0.007626833
0.6565,0.6255,0.6875,0.5935272,0.006546327,-0.006546327
0.72095,0.6875,0.7544,0.5656184,0.005860495,-0.005860495
0.7926,0.7544,0.8308,0.5345219,0.005265283,-0.005265283
0.87375,0.8308,0.9167,0.502335,0.004986973,-0.004986973
0.9621,0.9167,1.0075,0.4660617,0.00502113,-0.00502113
1.0575999999999999,1.0075,1.1077,0.4210597,0.004405727,-0.004405727
1.165,1.1077,1.2223,0.3817601,0.004403187,-0.004403187
1.282,1.2223,1.3417,0.3326861,0.004205815,-0.004205815
1.40855,1.3417,1.4754,0.2878914,0.003970835,-0.003970835
1.5493999999999999,1.4754,1.6234,0.2435599,0.003671563,-0.003671563
1.70455,1.6234,1.7857,0.1987547,0.003479501,-0.003479501
1.87405,1.7857,1.9624,0.1580166,0.003204074,-0.003204074
2.06025,1.9624,2.1581,0.1241418,0.00287549,-0.00287549
2.26795,2.1581,2.3778,0.09677829,0.002409962,-0.002409962
2.49715,2.3778,2.6165,0.06921452,0.002006493,-0.002006493
2.7454,2.6165,2.8743,0.04954075,0.001605287,-0.001605287
3.01755,2.8743,3.1608,0.03486352,0.001315442,-0.001315442
3.3207500000000003,3.1608,3.4807,0.0229292,0.001051741,-0.001051741
3.6550000000000002,3.4807,3.8293,0.01502923,0.0008750137,-0.0008750137
4.02025,3.8293,4.2112,0.009813835,0.0007820961,-0.0007820961
4.4213000000000005,4.2112,4.6314,0.006532436,0.0005697117,-0.0005697117
4.86295,4.6314,5.0945,0.004288153,0.0004127842,-0.0004127842
5.34995,5.0945,5.6054,0.002785762,0.0003119616,-0.0003119616
5.88475,5.6054,6.1641,0.001811156,0.0002477414,-0.0002477414
6.47205,6.1641,6.78,0.001194084,0.0001703224,-0.0001703224

