#: table_doi: 10.17182/hepdata.90831.v1/t300
#: name: table no 300
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transverse region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_300.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0001,0.0018,-0.0018,0.002,-0.002,0.0036,-0.0036
0.23500000000000001,0.14,0.33,0.02,0.009,-0.009,0.003,-0.003,0.004,-0.004
0.43000000000000005,0.33,0.53,0.059,0.013,-0.013,0.004,-0.004,0.008,-0.008
0.625,0.53,0.72,0.079,0.016,-0.016,0.009,-0.009,0.011,-0.011
0.815,0.72,0.91,0.094,0.019,-0.019,0.012,-0.012,0.011,-0.011
1.0050000000000001,0.91,1.1,0.087,0.016,-0.016,0.035,-0.035,0.01,-0.01
1.195,1.1,1.29,0.13,0.02,-0.02,0.03,-0.03,0.01,-0.01
1.385,1.29,1.48,0.171,0.024,-0.024,0.013,-0.013,0.013,-0.013
1.575,1.48,1.67,0.2,0.021,-0.021,0.01,-0.01,0.018,-0.018
1.7650000000000001,1.67,1.86,0.196,0.025,-0.025,0.004,-0.004,0.027,-0.027
2.1,1.86,2.34,0.203,0.018,-0.018,0.003,-0.003,0.014,-0.014
2.5300000000000002,2.34,2.72,0.243,0.016,-0.016,0.032,-0.032,0.018,-0.018
2.91,2.72,3.1,0.256,0.018,-0.018,0.002,-0.002,0.018,-0.018
3.295,3.1,3.49,0.199,0.017,-0.017,0.001,-0.001,0.017,-0.017
3.68,3.49,3.87,0.181,0.015,-0.015,0.023,-0.023,0.02,-0.02
4.105,3.87,4.34,0.166,0.014,-0.014,0.02,-0.02,0.013,-0.013
4.58,4.34,4.82,0.107,0.013,-0.013,0.002,-0.002,0.011,-0.011
5.0600000000000005,4.82,5.3,0.073,0.011,-0.011,0.036,-0.036,0.01,-0.01
5.54,5.3,5.78,0.09,0.01,-0.01,0,0,0.01,-0.01

