#: table_doi: 10.17182/hepdata.90831.v1/t15
#: name: table no 15
#: description: away region : Mean of arithmetic mean of transverse momenta ($\langle mean p_{T} \rangle \pm stat. \pm syst.det.\pm syst.gen.[GeV]$) 

#: data_file: table_no_15.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle mean transverse momentum [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.1103,0.00052,-0.00052,0.00286,-0.00286,0.00159,-0.00159
15.0,10.0,20.0,1.3027,0.00083,-0.00083,0.00439,-0.00439,0.00287,-0.00287
30.0,20.0,40.0,1.6398,0.0014,-0.0014,0.0074,-0.0074,0.0045,-0.0045
50.0,40.0,60.0,2.104,0.003,-0.003,0.011,-0.011,0.009,-0.009
70.0,60.0,80.0,2.4725,0.0053,-0.0053,0.0145,-0.0145,0.0085,-0.0085
100.0,80.0,120.0,2.8914,0.0071,-0.0071,0.017,-0.017,0.0152,-0.0152
160.0,120.0,200.0,3.478,0.011,-0.011,0.018,-0.018,0.029,-0.029
350.0,200.0,500.0,4.157,0.025,-0.025,0.017,-0.017,0.025,-0.025

