#: table_doi: 10.17182/hepdata.90831.v1/t456
#: name: table no 456
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_456.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.5382,0.0069,-0.0069,0.0874,-0.0874,0.0208,-0.0208
0.23500000000000001,0.14,0.33,0.6284,0.0065,-0.0065,0.0515,-0.0515,0.0134,-0.0134
0.43000000000000005,0.33,0.53,0.6547,0.0057,-0.0057,0.0283,-0.0283,0.0094,-0.0094
0.625,0.53,0.72,0.6072,0.0049,-0.0049,0.0077,-0.0077,0.0051,-0.0051
0.815,0.72,0.91,0.5203,0.0043,-0.0043,0.0131,-0.0131,0.0039,-0.0039
1.0050000000000001,0.91,1.1,0.427,0.0037,-0.0037,0.0215,-0.0215,0.0042,-0.0042
1.195,1.1,1.29,0.3489,0.0033,-0.0033,0.0272,-0.0272,0.0046,-0.0046
1.385,1.29,1.48,0.283,0.003,-0.003,0.019,-0.019,0.004,-0.004
1.575,1.48,1.67,0.2213,0.0026,-0.0026,0.0165,-0.0165,0.0041,-0.0041
1.7650000000000001,1.67,1.86,0.1797,0.0024,-0.0024,0.0136,-0.0136,0.0055,-0.0055
2.1,1.86,2.34,0.1202,0.0015,-0.0015,0.0091,-0.0091,0.0021,-0.0021
2.5300000000000002,2.34,2.72,0.081,0.0013,-0.0013,0.0032,-0.0032,0.0025,-0.0025
2.91,2.72,3.1,0.0576,0.0011,-0.0011,0.0016,-0.0016,0.0018,-0.0018
3.295,3.1,3.49,0.04281,0.00086,-0.00086,0.00078,-0.00078,0.00147,-0.00147
3.68,3.49,3.87,0.02903,0.00068,-0.00068,0.00163,-0.00163,0.00119,-0.00119
4.105,3.87,4.34,0.02203,0.00062,-0.00062,0.00057,-0.00057,0.00069,-0.00069
4.58,4.34,4.82,0.01563,0.00047,-0.00047,0.00018,-0.00018,0.00084,-0.00084
5.0600000000000005,4.82,5.3,0.01226,0.00042,-0.00042,0.00019,-0.00019,0.00081,-0.00081
5.54,5.3,5.78,0.00803,0.00033,-0.00033,6e-05,-6e-05,0.00074,-0.00074

