#: table_doi: 10.17182/hepdata.90831.v1/t17
#: name: table no 17
#: description: transverse region : low thrust ($T<0.75$) Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_17.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.3255,0.0019,-0.0019,0.0254,-0.0254,0.0072,-0.0072
15.0,10.0,20.0,1.5212,0.0025,-0.0025,0.0257,-0.0257,0.006,-0.006
30.0,20.0,40.0,1.7998,0.0034,-0.0034,0.0274,-0.0274,0.0055,-0.0055
50.0,40.0,60.0,2.165,0.007,-0.007,0.032,-0.032,0.003,-0.003
70.0,60.0,80.0,2.5,0.014,-0.014,0.035,-0.035,0.029,-0.029
100.0,80.0,120.0,2.968,0.024,-0.024,0.041,-0.041,0.027,-0.027
160.0,120.0,200.0,3.737,0.052,-0.052,0.042,-0.042,0.008,-0.008
350.0,200.0,500.0,5.17,0.19,-0.19,0.08,-0.08,0.05,-0.05

