#: table_doi: 10.17182/hepdata.90831.v1/t149
#: name: table no 149
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_149.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.679,0.028,-0.028,0.029,-0.029,0.015,-0.015
0.48,0.29,0.67,0.557,0.025,-0.025,0.024,-0.024,0.01,-0.01
0.8600000000000001,0.67,1.05,0.41,0.02,-0.02,0.02,-0.02,0.01,-0.01
1.24,1.05,1.43,0.337,0.017,-0.017,0.015,-0.015,0.008,-0.008
1.62,1.43,1.81,0.199,0.013,-0.013,0.009,-0.009,0.007,-0.007
2.005,1.81,2.2,0.129,0.0092,-0.0092,0.0067,-0.0067,0.0063,-0.0063
2.39,2.2,2.58,0.1118,0.0093,-0.0093,0.0057,-0.0057,0.0055,-0.0055
2.77,2.58,2.96,0.0933,0.0084,-0.0084,0.0046,-0.0046,0.0049,-0.0049
3.15,2.96,3.34,0.0574,0.0073,-0.0073,0.0029,-0.0029,0.0047,-0.0047
3.5300000000000002,3.34,3.72,0.0377,0.0038,-0.0038,0.0021,-0.0021,0.0045,-0.0045
4.2,3.72,4.68,0.0264,0.0031,-0.0031,0.0013,-0.0013,0.0018,-0.0018
5.0600000000000005,4.68,5.44,0.0123,0.0028,-0.0028,0.0012,-0.0012,0.002,-0.002

