#: table_doi: 10.17182/hepdata.90831.v1/t138
#: name: table no 138
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_138.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.2424,0.0086,-0.0086,0.0181,-0.0181,0.0128,-0.0128
0.23500000000000001,0.14,0.33,0.3127,0.0085,-0.0085,0.014,-0.014,0.0093,-0.0093
0.43000000000000005,0.33,0.53,0.391,0.0093,-0.0093,0.0132,-0.0132,0.0087,-0.0087
0.625,0.53,0.72,0.4144,0.0081,-0.0081,0.0119,-0.0119,0.0074,-0.0074
0.815,0.72,0.91,0.4102,0.0073,-0.0073,0.0104,-0.0104,0.006,-0.006
1.0050000000000001,0.91,1.1,0.3977,0.0071,-0.0071,0.0095,-0.0095,0.0053,-0.0053
1.195,1.1,1.29,0.3748,0.0063,-0.0063,0.0087,-0.0087,0.0048,-0.0048
1.385,1.29,1.48,0.3356,0.0062,-0.0062,0.0077,-0.0077,0.0047,-0.0047
1.575,1.48,1.67,0.2975,0.0058,-0.0058,0.0069,-0.0069,0.0048,-0.0048
1.7650000000000001,1.67,1.86,0.2715,0.0057,-0.0057,0.0065,-0.0065,0.0051,-0.0051
2.1,1.86,2.34,0.2096,0.0038,-0.0038,0.0049,-0.0049,0.0022,-0.0022
2.5300000000000002,2.34,2.72,0.1441,0.0033,-0.0033,0.0035,-0.0035,0.0027,-0.0027
2.91,2.72,3.1,0.1153,0.0031,-0.0031,0.0028,-0.0028,0.0027,-0.0027
3.295,3.1,3.49,0.0886,0.0026,-0.0026,0.0021,-0.0021,0.0027,-0.0027
3.68,3.49,3.87,0.0635,0.0022,-0.0022,0.0016,-0.0016,0.0026,-0.0026
4.105,3.87,4.34,0.0457,0.0018,-0.0018,0.0012,-0.0012,0.0017,-0.0017
4.58,4.34,4.82,0.0321,0.0015,-0.0015,0.001,-0.001,0.0013,-0.0013
5.0600000000000005,4.82,5.3,0.0227,0.0013,-0.0013,0.0011,-0.0011,0.001,-0.001
5.54,5.3,5.78,0.01809,0.00099,-0.00099,0.00139,-0.00139,0.00092,-0.00092

