#: table_doi: 10.17182/hepdata.90831.v1/t305
#: name: table no 305
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmin region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_305.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.2334,0.0067,-0.0067,0.008,-0.008,0.0135,-0.0135
0.48,0.29,0.67,0.3667,0.0078,-0.0078,0.006,-0.006,0.0093,-0.0093
0.8600000000000001,0.67,1.05,0.462,0.007,-0.007,0.005,-0.005,0.009,-0.009
1.24,1.05,1.43,0.4385,0.0067,-0.0067,0.0145,-0.0145,0.0052,-0.0052
1.62,1.43,1.81,0.36,0.006,-0.006,0.003,-0.003,0.004,-0.004
2.005,1.81,2.2,0.26,0.005,-0.005,0.013,-0.013,0.004,-0.004
2.39,2.2,2.58,0.1835,0.0042,-0.0042,0.003,-0.003,0.0043,-0.0043
2.77,2.58,2.96,0.119,0.003,-0.003,0.003,-0.003,0.004,-0.004
3.15,2.96,3.34,0.0828,0.0025,-0.0025,0.0014,-0.0014,0.0036,-0.0036
3.5300000000000002,3.34,3.72,0.0585,0.0021,-0.0021,0.0005,-0.0005,0.004,-0.004
4.2,3.72,4.68,0.0302,0.0013,-0.0013,0.0007,-0.0007,0.0012,-0.0012
5.0600000000000005,4.68,5.44,0.0111,0.0009,-0.0009,0.0015,-0.0015,0.0011,-0.0011

