#: table_doi: 10.17182/hepdata.90831.v1/t188
#: name: table no 188
#: description: Figure 05d,  meanPt transmin_zptregion7, $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_188.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.099,0.014,-0.014,0.073,-0.073,0.017,-0.017
0.6000000000000001,0.55,0.65,0.508,0.025,-0.025,0.063,-0.063,0.02,-0.02
0.7,0.65,0.75,0.883,0.035,-0.035,0.048,-0.048,0.024,-0.024
0.8,0.75,0.85,1.18,0.037,-0.037,0.043,-0.043,0.025,-0.025
0.8999999999999999,0.85,0.95,1.321,0.037,-0.037,0.043,-0.043,0.024,-0.024
1.0,0.95,1.05,1.309,0.037,-0.037,0.042,-0.042,0.021,-0.021
1.1,1.05,1.15,1.12,0.034,-0.034,0.033,-0.033,0.017,-0.017
1.2,1.15,1.25,0.802,0.026,-0.026,0.024,-0.024,0.015,-0.015
1.3,1.25,1.35,0.568,0.023,-0.023,0.019,-0.019,0.013,-0.013
1.4,1.35,1.45,0.4,0.02,-0.02,0.01,-0.01,0.01,-0.01
1.5,1.45,1.55,0.351,0.015,-0.015,0.011,-0.011,0.014,-0.014
1.6,1.55,1.65,0.275,0.015,-0.015,0.009,-0.009,0.017,-0.017
1.7,1.65,1.75,0.177,0.012,-0.012,0.007,-0.007,0.017,-0.017
1.8,1.75,1.85,0.191,0.013,-0.013,0.009,-0.009,0.017,-0.017
1.9,1.85,1.95,0.079,0.007,-0.007,0.007,-0.007,0.014,-0.014
2.0,1.95,2.05,0.0919,0.0083,-0.0083,0.0058,-0.0058,0.0114,-0.0114
2.0999999999999996,2.05,2.15,0.0832,0.0058,-0.0058,0.0038,-0.0038,0.0104,-0.0104
2.2,2.15,2.25,0.0748,0.0093,-0.0093,0.0033,-0.0033,0.0115,-0.0115
2.3,2.25,2.35,0.09,0.01,-0.01,0,0,0.01,-0.01
2.4000000000000004,2.35,2.45,0.042,0.0054,-0.0054,0.0023,-0.0023,0.009,-0.009
2.5,2.45,2.55,0.0415,0.0078,-0.0078,0.0024,-0.0024,0.0073,-0.0073
2.5999999999999996,2.55,2.65,0.0359,0.0068,-0.0068,0.0019,-0.0019,0.0076,-0.0076
2.7,2.65,2.75,0.0181,0.0024,-0.0024,0.0021,-0.0021,0.0083,-0.0083
2.8,2.75,2.85,0.029,0.006,-0.006,0.002,-0.002,0.009,-0.009
2.9000000000000004,2.85,2.95,0.0146,0.0026,-0.0026,0.0016,-0.0016,0.008,-0.008

