#: table_doi: 10.17182/hepdata.90831.v1/t170
#: name: table no 170
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_170.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0394,0.0051,-0.0051,0.0138,-0.0138,0.0057,-0.0057
0.6000000000000001,0.55,0.65,0.18,0.01,-0.01,0.02,-0.02,0.01,-0.01
0.7,0.65,0.75,0.394,0.014,-0.014,0.027,-0.027,0.008,-0.008
0.8,0.75,0.85,0.793,0.019,-0.019,0.039,-0.039,0.011,-0.011
0.8999999999999999,0.85,0.95,1.16,0.022,-0.022,0.049,-0.049,0.014,-0.014
1.0,0.95,1.05,1.407,0.022,-0.022,0.053,-0.053,0.015,-0.015
1.1,1.05,1.15,1.386,0.022,-0.022,0.05,-0.05,0.015,-0.015
1.2,1.15,1.25,1.098,0.019,-0.019,0.038,-0.038,0.013,-0.013
1.3,1.25,1.35,0.804,0.016,-0.016,0.027,-0.027,0.011,-0.011
1.4,1.35,1.45,0.557,0.013,-0.013,0.019,-0.019,0.009,-0.009
1.5,1.45,1.55,0.41,0.01,-0.01,0.02,-0.02,0.01,-0.01
1.6,1.55,1.65,0.3123,0.0091,-0.0091,0.0147,-0.0147,0.0057,-0.0057
1.7,1.65,1.75,0.234,0.007,-0.007,0.013,-0.013,0.006,-0.006
1.8,1.75,1.85,0.1764,0.0061,-0.0061,0.0124,-0.0124,0.0067,-0.0067
1.9,1.85,1.95,0.1472,0.0058,-0.0058,0.0107,-0.0107,0.0071,-0.0071
2.0,1.95,2.05,0.1089,0.0041,-0.0041,0.0099,-0.0099,0.0061,-0.0061
2.0999999999999996,2.05,2.15,0.089,0.0055,-0.0055,0.008,-0.008,0.005,-0.005
2.2,2.15,2.25,0.066,0.0034,-0.0034,0.0065,-0.0065,0.0043,-0.0043
2.3,2.25,2.35,0.08,0.0043,-0.0043,0.0068,-0.0068,0.0044,-0.0044
2.4000000000000004,2.35,2.45,0.059,0.0029,-0.0029,0.0056,-0.0056,0.0047,-0.0047
2.5,2.45,2.55,0.054,0.0035,-0.0035,0.0058,-0.0058,0.0047,-0.0047
2.5999999999999996,2.55,2.65,0.0408,0.0028,-0.0028,0.0054,-0.0054,0.0049,-0.0049
2.7,2.65,2.75,0.0331,0.0027,-0.0027,0.0051,-0.0051,0.0047,-0.0047
2.8,2.75,2.85,0.0364,0.0032,-0.0032,0.0054,-0.0054,0.0054,-0.0054
2.9000000000000004,2.85,2.95,0.0235,0.0025,-0.0025,0.0032,-0.0032,0.0054,-0.0054

