#: table_doi: 10.17182/hepdata.90831.v1/t309
#: name: table no 309
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmin region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_309.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.283,0.061,-0.061,0.107,-0.107,0.053,-0.053
0.48,0.29,0.67,0.276,0.064,-0.064,0.273,-0.273,0.035,-0.035
0.8600000000000001,0.67,1.05,0.248,0.046,-0.046,0.032,-0.032,0.043,-0.043
1.24,1.05,1.43,0.376,0.062,-0.062,0.153,-0.153,0.04,-0.04
1.62,1.43,1.81,0.125,0.038,-0.038,0.009,-0.009,0.036,-0.036
2.005,1.81,2.2,0.141,0.031,-0.031,0.006,-0.006,0.031,-0.031
2.39,2.2,2.58,0.123,0.031,-0.031,0.022,-0.022,0.024,-0.024
2.77,2.58,2.96,0.091,0.028,-0.028,0.05,-0.05,0.032,-0.032
3.15,2.96,3.34,0.15,0.04,-0.04,0.01,-0.01,0.04,-0.04
3.5300000000000002,3.34,3.72,0.095,0.034,-0.034,0.026,-0.026,0.055,-0.055
4.2,3.72,4.68,0.154,0.026,-0.026,0.009,-0.009,0.023,-0.023
5.0600000000000005,4.68,5.44,0.077,0.023,-0.023,0.026,-0.026,0.034,-0.034

